,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02,2022-04-03,2022-07-03,2022-10-02,2023-01-01,2023-04-02,2023-07-02,2023-10-01
Net Income,"3,519","4,727","4,326","4,749","2,521","4,320","4,516","3,358","3,215","4,457","3,997","4,272","3,814","4,422","3,827","3,764","-10,713","4,367","3,954","3,934","3,042","3,749","5,607","1,753","4,010","5,796","3,626","3,554","1,738","6,197","6,278","3,667","4,736","5,149","4,814","4,458","3,520",-68,"5,144","26,028"
Depreciation & Amortization,"1,102","1,013",952,939,991,895,889,929,"1,033",891,900,908,"1,055",912,"1,150","1,711","1,869","1,746","1,717","1,731","1,735","1,761","1,705","1,727","1,816","1,747","1,726","1,818","1,940","1,894","1,839","1,814","1,843","1,769","1,744","1,685","1,772","1,880","1,934","1,829"
Share-Based Compensation,144,198,242,206,146,204,270,203,197,205,274,225,174,229,293,236,204,268,312,242,156,258,314,245,160,263,326,256,160,307,354,259,215,278,366,281,213,306,382,296
Other Operating Activities,-626,"-2,015",9,"-1,240",946,"-2,547",-203,"1,650",640,"-3,364",-607,-44,"1,610","-2,650",502,555,"14,745","-2,775",96,365,"1,311","-2,225","-1,678","3,802",412,"-4,448","-2,226","2,755","4,505","-4,324","-3,157","2,550","-1,062","-3,217","-1,343",-140,-155,"1,139","-3,278","-20,664"
Operating Cash Flow,"4,139","3,923","5,529","4,654","4,604","2,872","5,472","6,140","5,085","2,189","4,564","5,361","6,653","2,913","5,772","6,266","6,105","3,606","6,079","6,272","6,244","3,543","5,948","7,527","6,398","3,358","3,452","8,383","8,343","4,074","5,314","8,290","5,732","3,979","5,581","6,284","5,350","3,257","4,182","7,489"
Operating Cash Flow Growth,22.60%,72.29%,9.46%,-21.74%,11.23%,-26.79%,-1.03%,31.93%,10.45%,-23.78%,-16.59%,-12.69%,30.84%,33.07%,26.47%,16.88%,-8.24%,23.79%,5.32%,0.10%,2.28%,-1.75%,-2.15%,20.01%,2.47%,-5.22%,-41.96%,11.37%,30.40%,21.32%,53.94%,-1.11%,-31.30%,-2.33%,5.02%,-24.20%,-6.66%,-18.15%,-25.07%,19.18%
Capital Expenditures,"-1,429",-630,-837,-751,"-1,496",-543,-765,-789,"-1,366",-639,-757,-737,"-1,093",-560,-689,-790,"-1,240",-658,-875,-819,"-1,318",-656,-837,-745,"-1,260",-625,-662,-737,"-1,323",-677,-813,-747,"-1,415",-607,-863,-952,"-1,587",-863,"-1,124",-967
Acquisitions,250,35,538,"3,617","-1,688",-123,"1,083",427,"1,123",20,-65,"-3,132",-65,"-4,821","-29,126",27,601,-62,710,-650,"2,306","-1,430",-898,-131,-86,-922,60,13,"-6,169",603,51,12,-15,-4,-205,9,"-16,909",40,76,121
Change in Investments,-173,"-1,350","-7,780","-2,078",414,"-1,112","-3,872",-615,"-1,080",-917,"2,181","1,496",-930,"4,444","17,649",-380,251,-207,-1,"-2,785","1,656",765,-150,-840,30,"1,223","-6,685","-4,071",-406,-10,640,"-1,968","-3,836","-2,964","-1,460",-720,"14,120","4,150","-2,759","3,498"
Other Investing Activities,-226,-81,-13,-53,-152,-11,-,-24,-68,-1,-37,1,-86,1,-81,-37,-117,2,-35,-15,-416,-96,97,71,-28,-257,-235,-24,-5,-101,-297,-16,-94,-59,-111,-38,-21,-12,31,-111
Investing Cash Flow,"-1,578","-2,026","-8,092",735,"-2,922","-1,789","-3,554","-1,001","-1,391","-1,537","1,322","-2,372","-2,174",-936,"-12,247","-1,180",-505,-925,-201,"-4,269","2,228","-1,417","-1,788","-1,645","-1,344",-581,"-7,522","-4,819","-7,903",-185,-419,"-2,719","-5,360","-3,634","-2,639","-1,701","-4,397","3,315","-3,776","2,541"
