,2017-06-30,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,-,-,"2,262","2,285","2,310","2,603","3,141","3,043","3,141","3,143","3,097","3,103","3,207","3,454","3,420","3,507","3,708","3,909","3,712","3,642","3,667","3,673","3,443","3,251"
Revenue Growth (YoY),-,-,-,-,-,-,38.83%,33.15%,35.98%,20.76%,-1.40%,1.97%,2.10%,9.90%,10.43%,13.02%,15.62%,13.17%,8.54%,3.85%,-1.11%,-6.04%,-7.25%,-10.74%
Cost of Revenue,-,-,"1,869","1,832","1,890","2,068","2,594","2,426","2,489","2,423","2,443","2,452","2,525","2,709","2,770","2,862","2,977","3,115","3,044","2,980","2,994","2,951","2,798","2,630"
Gross Profit,-,-,393.8,453,419.8,534.8,547,617,652,720,654,651,682,745,650,645,731,794,668,662,673,722,645,621
"Selling, General & Admin",-,-,198.3,205.3,220.6,374.8,371,309,354,351,329,308,325,330,313,303,326,342,302,298,317,329,302,299
Research & Development,-,-,14.2,17.3,15.8,16.7,26,23,25,23,26,23,25,26,25,23,24,24,25,24,27,25,27,28
Other Operating Expenses,0,0,3.8,8.9,2.1,-68.6,9,13,2,36,23,13,-41,99,16,10,9,207,1,-213,50,58,28,24
Operating Expenses,-,-,216.3,231.5,238.5,322.9,406,345,381,410,378,344,309,455,354,336,359,573,328,109,394,412,357,351
Operating Income,-,-,177.5,221.5,181.3,211.9,141,272,271,310,276,307,373,290,296,309,372,221,340,553,279,310,288,270
Interest Expense / Income,-,-,56.3,52.1,51.1,48.7,60,52,46,49,40,37,36,40,40,39,36,44,59,79,86,66,85,89
Other Expense / Income,-,-,1.1,-0.3,-10.4,-8.4,-7,-11,-12,18,-23,-4,-1,-79,-9,-16,-5,-36,-9,-18,-18,-4,12,19
Pretax Income,-,-,120.1,169.7,140.6,171.6,88,231,237,243,259,274,338,329,265,286,341,213,290,492,211,248,191,162
Income Tax,-,-,21.7,31.1,28,91.2,22,45,56,64,61,55,71,74,63,61,72,104,58,33,34,68,39,28
Net Income,-,-,98.4,138.6,112.6,80.4,66,186,181,179,198,219,267,255,202,225,269,109,232,459,177,180,152,134
Net Income Growth,-,-,-,-,-,-,-32.93%,34.20%,60.75%,122.64%,200.00%,17.74%,47.51%,42.46%,2.02%,2.74%,0.75%,-57.25%,14.85%,104.00%,-34.20%,65.14%,-34.48%,-70.81%
Shares Outstanding (Basic),"1,154","1,154",-,"1,158","1,158","1,158","1,626","1,620","1,604","1,574","1,568","1,568","1,562","1,542","1,538","1,533","1,514","1,503","1,489","1,489","1,486","1,471","1,448","1,445"
Shares Change,-,-,-,-,0.38%,0.32%,-,39.89%,38.50%,35.95%,-3.53%,-3.19%,-2.62%,-2.07%,-1.92%,-2.25%,-3.09%,-2.53%,-3.20%,-2.88%,-1.85%,-2.08%,-2.72%,-2.93%
EPS (Basic),-,-,0.09,0.12,0.10,0.06,0.04,0.12,0.11,0.11,0.13,0.14,0.17,0.17,0.13,0.15,0.18,0.07,0.16,0.31,0.12,0.12,0.10,0.09
EPS (Diluted),-,-,0.08,0.12,0.10,0.06,0.04,0.12,0.11,0.11,0.13,0.14,0.17,0.16,0.13,0.15,0.18,0.07,0.15,0.31,0.12,0.12,0.10,0.09
EPS Growth,-,-,-,-,-,-,-48.75%,-4.17%,17.53%,82.26%,207.32%,20.87%,51.75%,45.13%,3.97%,6.47%,2.89%,-55.49%,18.32%,107.43%,-33.15%,69.86%,-32.26%,-70.03%
Free Cash Flow,-,-,-410.8,533.8,-183.8,589.8,-202,340,24,835,-221,449,60,731,-257,331,149,794,-408,311,56,806,-255,249
Free Cash Flow Per Share,-,-,-,0.46,-0.16,0.51,-0.12,0.21,0.01,0.53,-0.14,0.29,0.04,0.47,-0.17,0.22,0.10,0.53,-0.27,0.21,0.04,0.55,-0.18,0.17
Dividend Per Share,-,-,-,-,-,-,0.120,0.115,0.115,0.115,0.115,0.117,0.117,0.117,0.117,0.120,0.120,0.120,0.120,0.123,0.122,0.123,0.123,-
Dividend Growth,-,-,-,-,-,-,-,-,-,-,-4.17%,1.74%,1.74%,1.74%,1.74%,2.56%,2.56%,2.56%,2.56%,2.50%,1.67%,2.50%,2.50%,-
Gross Margin,-,-,17.41%,19.82%,18.17%,20.55%,17.41%,20.28%,20.76%,22.91%,21.12%,20.98%,21.27%,21.57%,19.01%,18.39%,19.71%,20.31%,18.00%,18.18%,18.35%,19.66%,18.73%,19.10%
Operating Margin,-,-,7.85%,9.69%,7.85%,8.14%,4.49%,8.94%,8.63%,9.86%,8.91%,9.89%,11.63%,8.40%,8.65%,8.81%,10.03%,5.65%,9.16%,15.18%,7.61%,8.44%,8.36%,8.31%
Profit Margin,-,-,4.35%,6.06%,4.87%,3.09%,2.10%,6.11%,5.76%,5.70%,6.39%,7.06%,8.33%,7.38%,5.91%,6.42%,7.25%,2.79%,6.25%,12.60%,4.83%,4.90%,4.41%,4.12%
Free Cash Flow Margin,-,-,-18.16%,23.36%,-7.96%,22.66%,-6.43%,11.17%,0.76%,26.57%,-7.14%,14.47%,1.87%,21.16%,-7.51%,9.44%,4.02%,20.31%,-10.99%,8.54%,1.53%,21.94%,-7.41%,7.66%
Effective Tax Rate,-,-,18.07%,18.33%,19.91%,53.15%,25.00%,19.48%,23.63%,26.34%,23.55%,20.07%,21.01%,22.49%,23.77%,21.33%,21.11%,48.83%,20.00%,6.71%,16.11%,27.42%,20.42%,17.28%
EBITDA,-,-,262.4,322.8,274.3,403.7,332,431,450,445,444,453,513,517,482,480,524,403,500,704,441,472,425,397
EBITDA Margin,-,-,11.60%,14.12%,11.87%,15.51%,10.57%,14.16%,14.33%,14.16%,14.34%,14.60%,16.00%,14.97%,14.09%,13.69%,14.13%,10.31%,13.47%,19.33%,12.03%,12.85%,12.34%,12.21%
Depreciation & Amortization,-,-,86,101,82.6,183.4,184,148,167,153,145,142,139,148,177,155,147,146,151,133,144,158,149,146
EBIT,-,-,176.4,221.8,191.7,220.3,148,283,283,292,299,311,374,369,305,325,377,257,349,571,297,314,276,251
EBIT Margin,-,-,7.80%,9.71%,8.30%,8.46%,4.71%,9.30%,9.01%,9.29%,9.65%,10.02%,11.66%,10.68%,8.92%,9.27%,10.17%,6.57%,9.40%,15.68%,8.10%,8.55%,8.02%,7.72%
