,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,-,98.4,138.6,112.6,80.4,66,186,181,179,198,219,267,255,202,225,269,109,232,459,177,180,152,134
Depreciation & Amortization,-,86,101,82.6,183.4,184,148,167,153,145,142,139,148,177,155,147,146,151,133,144,158,149,146
Share-Based Compensation,-,4.5,3.8,3.6,7.1,6,7,11,10,14,14,16,14,15,16,16,16,16,13,13,12,-5,11
Other Operating Activities,-,-494.7,297.1,-312.1,383.7,-345,90,-231,572,-467,177,-247,427,-506,39,-166,666,-659,-200,-150,582,-431,72
Operating Cash Flow,-,-305.8,540.5,-113.3,654.6,-89,431,128,914,-110,552,175,844,-112,435,266,937,-260,405,184,932,-135,363
Operating Cash Flow Growth,-,-,-,-,-,-,-20.26%,-,39.63%,-,28.07%,36.72%,-7.66%,-,-21.20%,52.00%,11.02%,-,-6.90%,-30.83%,-0.53%,-,-10.37%
Capital Expenditures,-,-105,-6.7,-70.5,-64.8,-113,-91,-104,-79,-111,-103,-115,-113,-145,-104,-117,-143,-148,-94,-128,-126,-120,-114
Acquisitions,-,-0.8,-0.4,-0.4,258.6,397,1,27,0,138,0,76,-5,0,-16,-1,-1,-92,358,-45,-34,-22,0
Investing Cash Flow,-,-105.8,-7.1,-70.9,193.8,284,-90,-77,-79,27,-103,-39,-118,-145,-120,-118,-144,-240,264,-173,-160,-142,-114
Dividends Paid,-,0,-290.6,-0.9,-388.5,-1,-390,-183,-187,-188,-186,-182,-186,-183,-185,-182,-182,-181,-184,-180,-178,-176,-185
Share Issuance / Repurchase,-,-12.1,15.9,-6.5,1.7,-67,-166,-255,-115,5,-71,-231,-32,-113,-223,-128,-166,-106,-23,-159,-231,-76,-5
Debt Issued / Paid,-,197.2,-115.3,239.4,-381.3,-238,415,290,-343,258,-220,221,-359,363,106,597,-595,613,-209,57,-244,393,-142
Other Financing Activities,-,-30.8,5.8,0.3,0.7,-,5,-,-1,1,-8,-,-1,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,-,154.3,-384.2,232.3,-767.4,-306,-136,-148,-646,76,-485,-192,-578,67,-302,287,-943,326,-416,-282,-653,141,-332
Exchange Rate Effect,-,-9.3,-12.7,9.9,13.1,-11,-11,-39,16,21,34,-9,12,-27,-20,16,-77,-60,-32,-2,6,-29,-11
Net Cash Flow,-,-266.6,136.5,58,53.1,-122,194,-136,205,14,-2,-65,160,-217,-7,451,-302,-213,200,-273,125,-165,-94
Free Cash Flow,-,-410.8,533.8,-183.8,589.8,-202,340,24,835,-221,449,60,731,-257,331,149,794,-408,311,56,806,-255,249
Free Cash Flow Growth,-,-,-,-,-,-,-36.31%,-,41.57%,-,32.06%,150.00%,-12.46%,-,-26.28%,148.33%,8.62%,-,-6.04%,-62.42%,1.51%,-,-19.94%
Free Cash Flow Margin,-,-18.16%,23.36%,-7.96%,22.66%,-6.43%,11.17%,0.76%,26.57%,-7.14%,14.47%,1.87%,21.16%,-7.51%,9.44%,4.02%,20.31%,-10.99%,8.54%,1.53%,21.94%,-7.41%,7.66%
Free Cash Flow Per Share,-,-,0.46,-0.16,0.51,-0.12,0.21,0.01,0.53,-0.14,0.29,0.04,0.47,-0.17,0.22,0.10,0.53,-0.27,0.21,0.04,0.55,-0.18,0.17
