,2017-06-30,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,"13,307","15,853","17,562","13,025","16,075","17,332","18,461","18,244","17,669","17,829","18,413","17,151","18,679","15,977","17,734","16,908","14,685","13,268","13,933","13,066"
Market Cap Growth,-,-,-,-,-,-,-,-,-,20.80%,9.33%,5.12%,40.07%,9.92%,2.87%,-0.26%,-5.99%,5.72%,-10.39%,-3.69%,-1.41%,-21.38%,-16.96%,-21.43%,-
Enterprise Value,"4,324","4,228",-,-,-,"18,809","21,652","23,591","19,474","22,032","23,619","24,643","24,608","23,570","24,239","24,923","23,793","24,887","22,840","24,275","23,823","21,205","20,302","21,067","20,178"
PE Ratio,-,-,-,-,-,30.95,39.87,39.47,25.37,26.27,23.30,23.76,21.14,18.82,18.91,19.40,18.03,23.20,19.13,16.59,17.31,14.01,13.71,21.67,20.53
PS Ratio,-,-,-,-,-,1.41,1.53,1.58,1.09,1.29,1.40,1.48,1.45,1.37,1.35,1.36,1.22,1.28,1.08,1.19,1.13,1.00,0.92,0.99,0.93
PB Ratio,-,-,-,-,-,2.37,2.92,3.29,2.75,3.48,3.70,3.85,3.93,3.71,3.83,4.13,3.80,4.58,4.08,4.07,3.98,3.65,3.40,3.52,3.29
P/FCF Ratio,-,-,-,-,-,25.16,21.49,32.28,17.32,16.12,17.72,16.98,16.25,17.34,18.14,21.29,17.98,18.37,18.45,20.96,22.45,19.20,14.45,16.28,15.24
P/OCF Ratio,-,-,-,-,-,17.15,15.97,19.88,11.58,11.61,12.72,12.44,11.92,12.09,12.22,13.72,11.97,12.24,11.59,13.16,13.36,11.65,9.57,10.37,9.71
Debt / Equity Ratio,9.43,7.74,-,-,-,1.09,1.16,1.26,1.47,1.45,1.50,1.45,1.52,1.42,1.51,1.60,1.71,1.71,1.90,1.69,1.76,1.79,1.94,1.91,1.91
Quick Ratio,0.45,0.40,-,-,-,0.54,0.59,0.62,0.62,0.59,0.67,0.66,0.67,0.62,0.64,0.59,0.72,0.53,0.55,0.64,0.59,0.57,0.60,0.57,0.57
Current Ratio,0.83,0.72,-,-,-,1.15,1.19,1.24,1.23,1.14,1.27,1.28,1.30,1.21,1.31,1.26,1.40,1.15,1.27,1.34,1.27,1.19,1.27,1.25,1.25
Interest Coverage,-,-,3.13,4.26,3.75,4.52,2.47,5.44,6.15,5.96,7.48,8.41,10.39,9.23,7.63,8.33,10.47,5.84,5.92,7.23,3.45,4.76,3.25,2.82,3.49
Return on Capital (ROIC),,-,-,-,-,-,4.87%,4.54%,4.73%,5.38%,6.71%,7.38%,7.60%,8.37%,8.47%,8.47%,8.52%,8.07%,7.91%,8.13%,10.18%,9.68%,11.10%,10.51%,7.91%
Dividend Yield,-,-,-,-,-,0.00%,1.20%,2.20%,4.30%,4.60%,4.20%,3.90%,4.00%,4.10%,4.10%,3.90%,4.20%,3.80%,4.50%,4.10%,4.30%,4.90%,5.40%,3.80%,5.53%
Payout Ratio,-,-,0.00%,0.00%,0.00%,0.00%,292.70%,100.00%,100.90%,101.80%,90.60%,83.60%,67.60%,70.90%,89.30%,81.10%,67.40%,160.00%,76.90%,39.80%,101.70%,99.20%,117.10%,0.00%,113.64%
Buyback Yield / Dilution,-,-,-,-,-0.38%,-0.32%,-,-39.89%,-38.50%,-35.95%,3.53%,3.19%,2.62%,2.07%,1.92%,2.25%,3.09%,2.53%,3.20%,2.88%,1.85%,2.08%,2.72%,2.93%,2.93%
Total Shareholder Return,-,-,-,-,-0.38%,-0.32%,1.20%,-37.69%,-34.20%,-31.35%,7.73%,7.09%,6.62%,6.17%,6.02%,6.15%,7.29%,6.33%,7.70%,6.98%,6.15%,6.98%,8.12%,6.73%,8.47%
