,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"9,511","9,851","9,809","15,968","21,410","19,659","16,241","41,795","41,777","45,894","44,101"
Market Cap Growth,32.40%,3.58%,-0.43%,62.80%,34.07%,-8.18%,-17.39%,157.35%,-0.04%,9.86%,-
Enterprise Value,"9,187","9,719","9,816","17,616","22,281","29,535","25,320","50,417","49,145","52,100","49,515"
PE Ratio,24.06,26.70,30.27,97.01,83.83,55.24,28.46,119.62,32.50,20.51,19.07
PS Ratio,4.93,4.59,4.51,4.69,5.38,3.68,3.08,7.69,6.13,5.44,5.16
PB Ratio,4.45,4.82,4.56,4.88,6.53,3.72,2.91,7.83,7.09,7.05,6.23
P/FCF Ratio,16.41,17.23,14.84,15.85,17.50,13.59,10.98,22.81,16.80,14.64,15.66
P/OCF Ratio,14.06,13.66,13.18,15.07,15.08,11.74,10.52,21.81,14.70,12.67,13.90
EV/Sales Ratio,4.76,4.53,4.52,5.17,5.60,5.52,4.80,9.27,7.21,6.17,5.80
EV/EBITDA Ratio,13.71,14.09,14.68,25.19,14.35,18.65,13.59,27.26,17.05,12.67,12.19
EV/EBIT Ratio,19.10,23.61,25.46,76.56,23.80,41.75,39.09,72.40,28.25,16.73,15.68
EV/FCF Ratio,15.85,17.00,14.85,17.49,18.22,20.42,17.11,27.52,19.76,16.62,17.59
Debt / Equity Ratio,0.48,0.89,1.14,0.90,0.94,1.95,1.70,1.67,1.30,0.99,0.80
Debt / EBITDA Ratio,1.52,2.65,3.67,4.22,1.98,6.51,5.09,4.81,2.67,1.57,1.40
Debt / FCF Ratio,1.76,3.20,3.71,2.93,2.51,7.13,6.41,4.86,3.09,2.05,2.02
Quick Ratio,4.72,6.31,7.16,2.53,1.37,0.55,0.82,0.53,0.99,0.49,0.51
Current Ratio,5.86,7.53,8.11,3.27,1.66,0.93,1.35,0.89,1.75,0.98,0.98
Asset Turnover,0.49,0.46,0.40,0.47,0.49,0.29,0.30,0.33,0.42,0.52,0.52
Interest Coverage,9.87,6.64,3.71,1.57,4.71,1.41,1.30,1.95,6.77,15.27,16.56
Return on Equity (ROE),19.30%,17.00%,15.20%,6.00%,7.60%,6.90%,10.40%,6.50%,22.40%,35.90%,34.40%
Return on Assets (ROA),9.90%,8.00%,6.00%,2.20%,3.20%,1.90%,3.20%,2.10%,7.90%,13.80%,14.40%
Return on Capital (ROIC),13.29%,11.60%,8.81%,8.71%,5.11%,7.97%,16.29%,7.21%,11.81%,18.50%,19.67%
Earnings Yield,4.16%,3.75%,3.30%,1.03%,1.19%,1.81%,3.51%,0.84%,3.08%,4.88%,5.34%
FCF Yield,6.10%,5.80%,6.74%,6.31%,5.71%,7.36%,9.11%,4.38%,5.95%,6.83%,6.38%
Dividend Yield,3.00%,2.90%,3.00%,2.00%,1.60%,1.80%,2.20%,1.00%,1.20%,1.50%,2.21%
Payout Ratio,71.20%,77.50%,90.10%,189.70%,131.60%,96.60%,61.50%,111.50%,39.10%,31.00%,42.06%
Buyback Yield / Dilution,-5.76%,-2.73%,2.76%,-8.00%,-6.01%,-0.40%,-2.52%,-5.62%,-4.56%,1.52%,1.60%
Total Shareholder Return,-2.76%,0.17%,5.76%,-6.00%,-4.41%,1.40%,-0.32%,-4.62%,-3.36%,3.02%,3.81%
