,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"198,515","196,265","199,265","197,100","215,897","252,318","216,827","204,605","331,440","287,626","155,954"
Market Cap Growth,7.51%,-1.13%,1.53%,-1.09%,9.54%,16.87%,-14.07%,-5.64%,61.99%,-13.22%,-
Enterprise Value,"202,596","196,825","214,874","221,336","239,396","275,225","259,331","232,218","338,807","300,723","175,369"
PE Ratio,9.02,21.49,28.63,27.32,10.13,22.62,13.53,22.34,15.08,9.17,15.09
PS Ratio,3.85,3.96,4.08,3.73,4.11,6.18,5.30,4.91,4.08,2.87,2.28
PB Ratio,2.60,2.75,3.08,3.31,3.03,3.98,3.43,3.24,4.29,3.01,1.61
P/FCF Ratio,12.24,12.66,15.10,13.89,14.80,18.43,20.57,16.80,11.10,11.05,19.07
P/OCF Ratio,11.23,11.49,13.57,12.17,12.85,15.94,17.22,14.21,10.17,9.83,12.95
EV/Sales Ratio,3.93,3.97,4.40,4.19,4.56,6.74,6.34,5.58,4.17,3.00,2.56
EV/EBITDA Ratio,6.19,11.06,15.23,15.70,12.92,16.16,11.60,16.34,11.67,7.56,10.61
EV/EBIT Ratio,7.70,16.06,24.01,26.55,19.53,25.28,15.61,24.37,14.22,8.67,16.87
EV/FCF Ratio,12.49,12.70,16.29,15.59,16.41,20.10,24.60,19.07,11.34,11.55,21.44
Debt / Equity Ratio,0.48,0.51,0.60,0.71,0.61,0.66,0.83,0.63,0.50,0.37,0.66
Debt / EBITDA Ratio,1.12,2.06,2.76,2.99,2.35,2.45,2.33,2.80,1.32,0.90,3.85
Debt / FCF Ratio,2.25,2.37,2.95,2.97,2.98,3.05,4.95,3.27,1.29,1.38,7.78
Quick Ratio,1.79,2.06,1.07,0.84,0.93,0.84,0.44,0.78,1.00,0.80,1.78
Current Ratio,2.41,2.58,1.49,1.25,1.35,1.57,0.88,1.35,1.40,1.22,2.38
Asset Turnover,0.29,0.29,0.30,0.31,0.31,0.25,0.25,0.25,0.47,0.52,0.33
Return on Equity (ROE),27.90%,12.00%,10.50%,11.60%,34.20%,16.20%,26.00%,14.20%,30.20%,35.10%,10.70%
Return on Assets (ROA),12.30%,5.30%,4.20%,4.20%,12.50%,6.80%,9.90%,5.40%,12.80%,16.30%,5.10%
Return on Capital (ROIC),11.65%,8.45%,6.73%,7.11%,18.63%,3.50%,2.69%,6.56%,19.39%,23.88%,6.54%
Earnings Yield,11.08%,4.65%,3.49%,3.66%,9.87%,4.42%,7.39%,4.48%,6.63%,10.91%,6.72%
FCF Yield,8.17%,7.90%,6.62%,7.20%,6.76%,5.43%,4.86%,5.95%,9.01%,9.05%,5.24%
Dividend Yield,3.10%,3.30%,3.50%,3.70%,3.50%,3.10%,3.70%,4.10%,2.60%,3.10%,6.08%
Payout Ratio,29.70%,72.20%,99.10%,101.70%,35.90%,71.60%,50.00%,92.10%,39.80%,28.60%,91.80%
Buyback Yield / Dilution,8.16%,6.83%,2.60%,1.57%,1.64%,1.34%,5.05%,0.76%,-1.35%,-0.44%,1.26%
Total Shareholder Return,11.26%,10.13%,6.10%,5.27%,5.14%,4.44%,8.75%,4.86%,1.25%,2.66%,7.34%
