,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"12,074","12,354","14,974","18,186","17,976","17,305","19,597","22,130","17,819","14,455","16,101","17,605","21,081","23,494","25,450","25,506","25,033","21,929","27,102","20,438","24,200","24,739","22,703","27,929","6,727","10,532","13,863","16,774","20,804","21,710","22,657","19,594","21,349","8,901","9,667","12,614","16,682","26,537","23,605","33,149","29,746"
Market Cap Growth,68.94%,64.32%,78.01%,74.17%,48.89%,40.08%,30.87%,21.69%,-0.87%,-16.47%,-17.84%,-20.45%,18.30%,62.53%,58.07%,44.88%,18.75%,-6.66%,6.49%,-19.87%,-3.33%,12.81%,-16.23%,36.65%,-72.20%,-57.43%,-38.94%,-39.94%,209.27%,106.14%,63.44%,16.81%,2.62%,-59.00%,-57.33%,-35.62%,-21.86%,198.14%,144.18%,162.80%,-
Enterprise Value,"19,855","19,762","21,776","26,441","26,306","25,926","27,939","30,675","26,404","24,329","25,640","26,860","29,541","31,384","32,902","32,925","33,730","30,339","37,021","30,928","35,033","36,156","33,825","39,419","19,548","25,886","30,385","33,085","37,293","39,128","40,827","38,556","42,481","30,645","32,048","34,673","37,503","46,829","43,572","54,782","51,379"
PE Ratio,114.09,22.43,7.64,41.42,99.36,23.39,21.41,26.75,44.94,15.72,5.81,16.86,24.54,15.89,8.45,22.14,28.62,11.76,8.36,16.18,24.23,13.08,6.43,25.56,-1.16,-1.61,-2.57,-3.07,-4.60,-4.03,-3.98,-3.61,-4.45,-4.36,106.08,-6.65,-5.74,14.46,5.85,29.81,33.26
PS Ratio,1.52,1.54,1.85,2.25,2.25,2.14,2.39,2.67,2.12,1.71,1.90,2.07,2.45,2.71,2.93,2.91,2.85,2.45,2.96,2.15,2.44,2.38,2.11,2.55,0.64,1.33,2.95,7.59,95.40,232.50,38.79,12.79,8.37,1.90,1.34,1.43,1.56,2.21,1.79,2.38,2.14
PB Ratio,1.38,1.40,1.66,2.20,2.25,2.08,2.37,2.74,2.26,1.77,1.83,1.93,2.27,2.43,2.44,2.38,2.35,2.04,2.39,1.84,2.15,2.14,1.90,2.30,0.66,1.17,1.66,1.91,2.27,2.75,3.50,3.85,5.35,2.62,3.02,4.40,5.85,7.89,5.34,7.02,6.30
P/FCF Ratio,18.62,17.08,16.45,21.33,-265.77,-206.38,-27.32,-30.70,53.51,32.90,-48.50,-77.50,944.19,50.20,11.64,10.62,10.83,26.09,42.25,42.49,-133.78,20.22,52.82,80.62,9.72,-10.85,-4.50,-3.68,-3.65,-3.33,-4.71,-4.31,-5.20,-2.16,-2.47,-3.69,-7.49,36.77,13.17,13.57,12.18
P/OCF Ratio,8.55,8.31,9.24,11.08,10.31,9.33,10.30,11.70,9.16,7.24,7.40,7.53,8.38,8.29,8.76,8.59,8.71,7.30,8.61,6.45,6.96,6.81,6.07,7.27,1.81,3.71,-26.26,-7.30,-5.57,-4.58,-7.67,-7.84,-11.37,-5.57,-14.68,-42.08,34.62,11.44,7.30,8.42,7.55
Debt / Equity Ratio,0.91,0.86,0.77,1.02,1.07,1.06,1.03,1.07,1.10,1.23,1.11,1.03,0.92,0.83,0.73,0.70,0.83,0.79,0.90,0.97,0.98,1.01,0.95,0.96,1.63,2.18,2.35,2.28,2.35,2.75,3.32,4.26,5.79,7.02,7.47,8.36,7.73,6.25,4.65,4.68,4.68
Quick Ratio,0.15,0.13,0.12,0.12,0.12,0.08,0.09,0.08,0.08,0.09,0.10,0.10,0.08,0.07,0.08,0.09,0.10,0.08,0.09,0.09,0.08,0.08,0.09,0.07,0.46,0.92,0.69,0.87,1.60,0.98,0.70,0.43,0.31,0.23,0.21,0.29,0.17,0.11,0.10,0.10,0.10
Current Ratio,0.30,0.28,0.23,0.21,0.22,0.19,0.21,0.19,0.20,0.20,0.18,0.17,0.14,0.15,0.16,0.18,0.20,0.20,0.19,0.17,0.16,0.17,0.17,0.15,0.51,0.99,0.76,0.95,1.70,1.07,0.79,0.49,0.40,0.30,0.29,0.37,0.26,0.20,0.19,0.19,0.19
Asset Turnover,Upgrade,0.09,0.10,0.12,0.09,0.09,0.10,0.12,0.09,0.09,0.09,0.11,0.09,0.09,0.10,0.12,0.09,0.08,0.10,0.10,0.08,0.08,0.09,0.11,0.08,0.06,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.06,0.09,0.08,0.09,0.11,0.13,0.09
Interest Coverage,1.42,3.00,8.81,1.85,1.51,3.41,3.86,3.90,2.49,3.58,8.90,3.68,3.48,5.48,10.07,4.40,4.04,5.58,9.24,3.74,3.18,5.15,8.73,3.16,-14.06,-5.86,-3.84,-3.72,-2.97,-3.36,-2.34,-3.64,-3.09,-0.76,0.85,-0.22,0.76,2.17,3.71,-1.65,-1.65
Return on Equity (ROE),Upgrade,4.83%,6.07%,7.33%,9.22%,9.82%,9.98%,6.89%,8.26%,9.12%,9.39%,13.98%,14.07%,15.10%,15.89%,15.31%,15.18%,15.30%,16.02%,15.73%,16.31%,16.35%,16.02%,16.04%,15.45%,1.81%,-21.50%,-49.92%,-66.18%,-59.80%,-65.86%,-81.49%,-103.44%,-133.55%,-132.15%,-94.94%,-75.32%,-59.23%,-21.40%,6.03%,21.57%
Return on Assets (ROA),Upgrade,2.11%,2.68%,3.37%,3.69%,3.75%,3.88%,2.71%,3.18%,3.43%,3.40%,5.47%,5.75%,6.35%,6.99%,7.23%,7.29%,6.80%,7.17%,6.58%,6.54%,6.41%,6.20%,6.44%,6.20%,0.55%,-5.79%,-13.06%,-17.86%,-15.97%,-15.41%,-16.13%,-16.31%,-16.17%,-13.23%,-9.09%,-6.40%,-5.14%,-2.19%,0.81%,2.90%
Return on Capital (ROIC),Upgrade,-4.95%,-2.88%,-2.33%,2.38%,2.79%,3.05%,1.31%,2.26%,3.06%,2.81%,5.30%,5.55%,6.44%,7.48%,7.66%,7.74%,7.32%,7.42%,6.89%,6.83%,6.69%,6.94%,7.19%,7.37%,0.98%,-5.19%,-11.71%,-16.00%,-13.35%,-13.01%,-13.80%,-14.47%,-14.47%,-11.48%,-7.05%,-3.64%,0.62%,2.32%,4.82%,6.96%
