,2016-12-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"6,607",-,"6,188",-,-,"3,403","2,724","2,969","2,446","2,823","2,367","3,633","3,724","4,549","5,104","4,133","3,491","2,911","2,988","3,143","2,367","2,216","3,886","3,319","2,924","3,080","2,987"
Short-Term Investments,0,-,4,-,-,106,100,101,20,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"6,607",0,"6,192",0,0,"3,509","2,824","3,070","2,466","2,834","2,367","3,634","3,726","4,549","5,104","4,133","3,491","2,911","2,988","3,143","2,367","2,216","3,886","3,319","2,924","3,080","2,987"
Cash Growth,-,-,-,-,-,-,-54.39%,-,-,-19.24%,-16.18%,18.37%,51.09%,60.52%,115.63%,13.73%,-6.31%,-36.01%,-41.46%,-23.95%,-32.20%,-23.87%,30.05%,5.60%,23.53%,38.99%,-23.13%
Receivables,"5,374",-,"7,932",-,-,"9,202","6,006","8,773","6,446","6,006","5,907","5,538","5,031","5,428","5,555","6,025","6,936","7,316","7,319","7,877","8,011","6,906","6,277","6,367","6,100","5,898","5,156"
Inventory,"7,363",-,"8,376",-,-,"9,615","6,899","9,508","6,841","6,416","6,214","6,324","5,784","5,609","5,701","6,157","6,952","7,111","7,372","7,760","8,225","7,571","6,988","6,825","6,487","6,211","6,076"
Other Current Assets,"4,315",-,"4,744",-,-,"4,634","23,641","4,310","2,884","3,693","2,327","2,642","2,456","2,203","2,724","2,848","2,973","3,055","3,169","3,385","3,166","3,084","3,326","2,845","3,038","3,109","3,395"
Total Current Assets,"23,659",-,"27,244",-,-,"26,960","39,370","25,661","18,637","18,949","16,815","18,138","16,997","17,789","19,084","19,163","20,352","20,393","20,848","22,165","21,769","19,777","20,477","19,356","18,549","18,298","17,614"
"Property, Plant & Equipment","23,486",-,"23,812",-,-,"23,396","21,418","26,076","23,433","23,133","23,068","22,748","22,499","22,222","22,095","21,707","21,609","21,375","21,967","21,686","21,432","21,263","21,669","21,580","21,699","21,848","22,386"
Long-Term Investments,"7,424",-,"6,846",-,-,"6,902","6,326","6,403","6,311","6,625","5,055","4,068","4,160","4,203","4,567","4,505","4,998","5,435","5,716","5,342","5,181","5,016","5,048","4,950","4,719","4,748","4,445"
