,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,"13,633","3,033","14,899","12,789","12,634","11,944","10,969","11,014","10,764","10,204","9,770","8,354","9,712","10,706","11,882","13,885","14,837","14,364","15,264","15,664","14,115","11,859","11,851","11,420","10,730","10,621"
Revenue Growth (YoY),-,-,-,-,-7.33%,293.80%,-26.38%,-13.88%,-14.80%,-14.57%,-10.93%,-24.15%,-9.77%,4.92%,21.62%,66.21%,52.77%,34.17%,28.46%,12.81%,-4.87%,-17.44%,-22.36%,-27.09%,-23.98%,-10.44%
Cost of Revenue,"10,663","4,732","11,552","10,540","10,456","10,098","9,142","9,420","9,377","8,718","8,230","7,610","8,371","9,135","10,062","10,740","11,611","11,778","12,402","12,899","12,381","10,656","10,629","9,875","9,592","9,646"
Gross Profit,"2,970","-1,699","3,347","2,249","2,178","1,846","1,827","1,594","1,387","1,486","1,540",744,"1,341","1,571","1,820","3,145","3,226","2,586","2,862","2,765","1,734","1,203","1,222","1,545","1,138",975
"Selling, General & Admin",724,-408,751,485,409,406,448,422,388,332,334,357,372,408,366,440,403,436,498,435,356,386,428,408,380,411
Research & Development,408,-432,386,221,193,178,190,208,194,173,179,182,193,214,194,228,210,225,218,217,191,225,214,205,197,213
Other Operating Expenses,309,"3,116",443,434,481,483,655,518,110,"2,957",342,99,598,-960,-27,125,450,-119,126,10,14,-423,543,58,-11,542
Operating Expenses,"1,441","2,276","1,580","1,140","1,083","1,067","1,293","1,148",692,"3,462",855,638,"1,163",-338,533,793,"1,063",542,842,662,561,188,"1,185",671,566,"1,166"
Operating Income,"1,529","-3,975","1,767","1,109","1,095",779,534,446,695,"-1,976",685,106,178,"1,909","1,287","2,352","2,163","2,044","2,020","2,103","1,173","1,015",37,874,572,-191
Interest Expense / Income,256,213,270,261,258,282,241,237,233,222,215,200,202,210,196,187,178,170,167,165,155,175,185,172,192,197
Other Expense / Income,-134,"-1,893",-208,-734,-456,-448,-404,9,39,11,93,97,-42,-99,-217,-260,-240,-219,-219,-211,38,9,-8,7,-12,-26
Pretax Income,"1,407","-2,295","1,705","1,582","1,293",945,697,200,423,"-2,209",377,-191,18,"1,798","1,308","2,425","2,225","2,093","2,072","2,149",980,831,-140,695,392,-362
Income Tax,624,232,363,249,280,54,141,125,90,114,138,34,43,562,317,524,542,357,503,488,241,218,-47,210,90,-257
Net Income,783,"-2,527","1,342","1,333","1,013",891,556,75,333,"-2,323",239,-225,-25,"1,236",991,"1,901","1,683","1,736","1,569","1,661",739,613,-93,485,302,-105
Net Income Growth,-,-,-,-,29.37%,-,-58.57%,-94.37%,-67.13%,-,-57.01%,-,-,-,314.64%,-,-,40.45%,58.32%,-12.62%,-56.09%,-64.69%,-,-70.80%,-59.13%,-
Shares Outstanding (Basic),-,745,752,747,747,747,747,743,740,740,740,739,741,742,745,747,745,738,735,726,714,709,708,707,704,704
Shares Outstanding (Diluted),-,-,-,747,747,747,747,748,743,732,742,739,741,749,750,753,750,743,740,732,718,713,708,710,708,707
