,2016-12-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,-,-,-,-,-,-,-,-,"36,925","35,414","40,582","21,687","30,192","34,870","41,167","47,566","47,269","42,927","41,951","46,882","37,577","31,549","35,462","38,642","37,672","36,251","38,465","38,963"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,-,-,-18.23%,-1.54%,1.44%,119.33%,56.56%,23.11%,1.90%,-1.44%,-20.50%,-26.50%,-15.47%,-17.58%,0.25%,14.90%,8.47%,-
Enterprise Value,"14,756",-,"14,809",-,-,"17,091","17,065","19,379","54,655","52,841","57,371","38,246","46,008","49,588","55,107","62,159","61,340","56,445","55,098","59,692","50,264","44,092","48,282","51,898","51,045","49,441","51,925","52,423"
PE Ratio,-,-,-,-,-,-,-,-,14.57,19.09,-29.86,-12.94,-15.28,-14.94,33.61,24.06,11.52,7.39,6.65,6.81,5.65,5.53,7.74,13.23,21.60,27.74,65.31,67.66
PS Ratio,-,-,-,-,-,-,-,-,0.79,0.79,0.95,0.52,0.77,0.92,1.07,1.17,1.02,0.84,0.76,0.80,0.63,0.53,0.62,0.72,0.77,0.79,0.86,0.87
PB Ratio,-,-,-,-,-,-,-,-,2.06,2.04,3.00,1.68,2.41,2.82,3.31,3.40,3.04,2.61,2.31,2.48,1.98,1.74,1.71,1.92,1.88,1.85,2.07,2.09
P/FCF Ratio,-,-,-,-,-,-,-,-,15.19,10.00,10.45,5.69,6.35,6.97,8.29,13.46,12.20,9.17,8.88,7.14,6.00,5.84,6.50,9.10,10.44,11.39,14.69,14.88
P/OCF Ratio,-,-,-,-,-,-,-,-,7.83,6.20,6.84,3.75,4.64,5.33,6.61,10.13,9.25,7.08,5.99,5.27,4.29,3.96,4.74,6.03,6.39,6.45,7.40,7.50
Debt / Equity Ratio,0.82,-,0.81,-,-,0.76,0.61,0.83,1.13,1.16,1.41,1.56,1.56,1.56,1.53,1.34,1.13,1.00,0.89,0.84,0.79,0.81,0.81,0.82,0.81,0.83,0.88,0.88
Quick Ratio,0.95,-,0.98,-,-,0.76,0.57,0.77,0.77,0.79,0.77,0.82,0.89,0.98,0.96,0.89,0.85,0.80,0.78,0.84,0.78,0.74,0.90,0.92,0.94,0.88,0.82,0.82
Current Ratio,1.88,-,1.90,-,-,1.60,2.53,1.67,1.61,1.69,1.58,1.63,1.74,1.74,1.72,1.69,1.65,1.59,1.58,1.70,1.64,1.61,1.81,1.85,1.92,1.79,1.77,1.77
Interest Coverage,-,6.50,-9.77,7.31,7.06,6.01,4.35,3.89,1.84,2.82,-8.95,2.75,0.05,1.09,9.56,7.67,13.97,13.50,13.31,13.41,14.02,7.32,5.75,0.24,5.04,3.04,-0.84,1.78
Return on Capital (ROIC),,-,-,-8.49%,-,-,-1.66%,7.48%,5.98%,5.74%,4.98%,-2.56%,-2.50%,-2.77%,-5.32%,5.10%,6.56%,11.72%,17.55%,17.93%,19.25%,19.06%,17.44%,12.79%,8.97%,6.28%,5.12%,2.56%
Dividend Yield,-,-,-,-,-,-,-,-,1.40%,2.90%,3.80%,9.60%,6.90%,6.00%,5.00%,4.40%,4.40%,4.90%,4.90%,4.40%,5.40%,6.40%,5.60%,5.10%,5.30%,5.40%,5.10%,5.05%
Payout Ratio,-,-,-,-,0.00%,0.00%,0.00%,0.00%,700.00%,155.60%,-22.40%,218.80%,-225.80%,-1750.00%,42.20%,53.00%,27.70%,31.10%,30.00%,33.00%,30.70%,68.00%,80.50%,-538.50%,102.90%,162.80%,-466.70%,341.46%
Buyback Yield / Dilution,-,-,-,-,-,-,-0.32%,0.58%,-0.09%,0.56%,2.07%,0.70%,1.15%,0.34%,-2.39%,-1.05%,-1.84%,-1.28%,0.79%,1.33%,2.84%,4.25%,4.08%,4.27%,2.95%,1.48%,0.86%,2.29%
Total Shareholder Return,-,-,-,-,-,-,-0.32%,0.58%,1.31%,3.46%,5.87%,10.30%,8.05%,6.34%,2.61%,3.35%,2.56%,3.62%,5.69%,5.73%,8.24%,10.65%,9.68%,9.37%,8.25%,6.88%,5.96%,7.33%
