,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,1010100000,1168900000,1173600000,1178300000,1186000000,1183300000,1419200000,1473200000,1562800000,1565200000,1562300000,1577800000,1589500000,1565500000,1583300000,1568100000,1551500000,1557100000,1562800000,1590800000
totalCurrentAssets,494700000,517100000,516000000,515600000,522200000,510300000,745000000,770800000,764800000,768600000,768700000,772600000,758100000,687900000,624300000,601300000,582600000,588100000,587800000,604400000
cashAndCashEquivalentsAtCarryingValue,182700000,178400000,176200000,181000000,172600000,158600000,397200000,374700000,380800000,383600000,369300000,369900000,349400000,254400000,142400000,125200000,81300000,46700000,48200000,42200000
cashAndShortTermInvestments,182700000,178400000,176200000,181000000,172600000,158600000,397200000,374700000,380800000,383600000,369300000,369900000,349400000,254400000,142400000,125200000,81300000,46700000,48200000,42200000
inventory,46800000,69300000,75500000,68200000,61100000,62700000,66900000,78300000,81200000,85700000,90700000,90900000,91700000,107100000,118200000,120300000,125500000,134000000,145900000,150100000
currentNetReceivables,64600000,239300000,236900000,241800000,85000000,259300000,246200000,276600000,95300000,264600000,265000000,274700000,100800000,280700000,315000000,302200000,328500000,353800000,337700000,351900000
totalNonCurrentAssets,752800000,613700000,696200000,700800000,966300000,591300000,589300000,603300000,963000000,684700000,681100000,686000000,986800000,742400000,793600000,803800000,1130100000,799600000,800500000,803200000
propertyPlantEquipment,67100000,113500000,115500000,115700000,116900000,81700000,84900000,99100000,107300000,111900000,112500000,119200000,129300000,135200000,165400000,163000000,167300000,169400000,174500000,183200000
accumulatedDepreciationAmortizationPPE,68600000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
intangibleAssets,441800000,493800000,491800000,495900000,495100000,504300000,504700000,517300000,526900000,525300000,524100000,523000000,537100000,574400000,616800000,613700000,613400000,611800000,610400000,608900000
intangibleAssetsExcludingGoodwill,16100000,34400000,32400000,37800000,39500000,41000000,39200000,42000000,43000000,41600000,40400000,39300000,43200000,51500000,64900000,61900000,55200000,53600000,52200000,50700000
goodwill,425700000,459400000,459400000,458100000,455600000,463300000,465500000,475300000,483900000,483700000,483700000,483700000,493900000,522900000,551900000,551800000,558200000,558200000,558200000,558200000
investments,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
longTermInvestments,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
shortTermInvestments,None,None,None,None,None,None,None,211300000,None,None,None,None,None,None,None,None,None,None,None,None
otherCurrentAssets,10300000,9600000,11900000,9900000,11400000,14500000,19600000,22600000,17800000,21200000,30300000,25400000,22500000,34600000,36500000,40000000,35400000,39300000,43200000,41900000
otherNonCurrentAssets,6500000,6400000,6500000,6300000,9700000,9300000,9200000,8900000,84400000,83600000,83900000,84600000,87500000,90100000,91900000,93500000,95000000,97000000,97800000,99600000
totalLiabilities,490800000,601000000,598700000,596100000,596900000,588100000,579800000,623000000,622700000,621400000,611800000,620900000,629200000,618000000,637400000,624900000,604000000,613500000,602500000,618100000
totalCurrentLiabilities,164700000,195300000,188900000,181500000,182700000,142500000,128000000,155300000,197600000,161100000,150200000,144900000,221100000,154300000,109300000,100700000,234200000,245000000,250900000,263000000
currentAccountsPayable,46600000,47400000,52700000,42400000,53800000,44300000,44900000,54700000,55400000,51900000,59900000,43600000,50400000,51700000,58200000,53500000,57300000,54900000,58400000,57400000
deferredRevenue,37000000,None,40600000,34000000,68600000,38300000,34400000,36300000,68000000,41100000,43500000,57700000,116200000,49700000,59200000,48900000,62100000,65200000,73100000,79400000
currentDebt,None,None,12700000,11500000,10500000,9400000,700000,800000,900000,900000,900000,1200000,1200000,1200000,1700000,1600000,1700000,1700000,1400000,1600000
shortTermDebt,73200000,13300000,12100000,10900000,9900000,8700000,8300000,8900000,8900000,8900000,9300000,9200000,10100000,10500000,10600000,10700000,10800000,11100000,11600000,12100000
totalNonCurrentLiabilities,326100000,374400000,448500000,453200000,452600000,446600000,448200000,462200000,463900000,449800000,448000000,453800000,451300000,447600000,460900000,461800000,419700000,418000000,401400000,404600000
capitalLeaseObligations,None,38900000,38700000,38600000,38400000,38600000,38400000,38900000,38800000,38600000,38300000,43500000,43200000,42900000,51300000,50400000,49900000,49500000,49800000,49500000
longTermDebt,294200000,294400000,294600000,294800000,295100000,295300000,296000000,300500000,301500000,301600000,301900000,296500000,296700000,295000000,293800000,292600000,250200000,250300000,232100000,None
currentLongTermDebt,None,13300000,12100000,10900000,9900000,8700000,None,None,None,None,None,None,None,None,None,None,None,None,None,None
longTermDebtNoncurrent,294200000,294400000,294600000,294800000,295100000,295300000,295900000,300300000,301000000,300300000,300300000,296500000,296700000,295000000,293800000,292600000,250200000,250300000,232100000,234200000
shortLongTermDebtTotal,294200000,294400000,294600000,294800000,295100000,295300000,296000000,300500000,301500000,301600000,301900000,296500000,296700000,338800000,335900000,338600000,301800000,301400000,284700000,289300000
otherCurrentLiabilities,4700000,9300000,8900000,8900000,10000000,10100000,10500000,16200000,11900000,13000000,11800000,10600000,25700000,9200000,12500000,15200000,15600000,19300000,10400000,15900000
otherNonCurrentLiabilities,25500000,73500000,74600000,77500000,78700000,73900000,77000000,84700000,83000000,72000000,71600000,77300000,76200000,73900000,82900000,82100000,77400000,76800000,77400000,76800000
totalShareholderEquity,519300000,567900000,574900000,582200000,589100000,595200000,839400000,850200000,940100000,943800000,950500000,956900000,960300000,947500000,945900000,943200000,947500000,943600000,960300000,972700000
treasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
retainedEarnings,-724500000,-721400000,-717500000,-715000000,-712000000,-712200000,-712900000,-710500000,-632400000,-630500000,-629400000,-631800000,-634400000,-650300000,-655000000,-663000000,-671300000,-678300000,-681000000,-682600000
commonStock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commonStockSharesOutstanding,103766899,105885792,105914292,106269609,106635508,106960828,122510125,122755405,123047147,123738251,123807616,123986345,123987424,124825355,125627337,125947889,125985306,126678288,127641905,128072596
startPeriod,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30,2018-9-30
endPeriod,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,16.09,17.87,22.98,25.08,19.98,21.39,20.11,22.26,28.53,34.11,30.29,29.87,23.51,21.95,22.26,16.23,11.42,13.66,15.65,17.31
stockLow,11.91,13.0,14.48,17.4,16.83,5.0,12.78,14.4,18.22,22.31,23.28,21.22,18.83,14.93,12.54,10.2,8.9,9.87,12.12,13.13
stockAverage,13.77,15.7,18.87,21.03,18.55,17.3,15.98,18.42,21.76,28.03,26.41,24.82,21.15,18.23,15.66,13.45,9.95,11.9,13.53,14.87
