,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-29,2017-04-30,2017-07-30,2017-10-29,2018-01-28,2018-04-29,2018-07-29,2018-10-28,2019-01-27,2019-04-28,2019-07-28,2019-11-03,2020-02-02,2020-05-03,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01,2022-07-31,2022-10-30,2023-01-29,2023-04-30,2023-07-30,2023-10-29,Current
Market Capitalization,"32,019","34,508","30,962","30,659","29,331","30,731","31,574","25,597","24,389","26,522","24,421","27,764","34,219","35,524","41,233","42,813","55,322","44,540","45,659","42,783","51,449","52,555","54,013","55,452","49,679","43,339","55,160","70,794","90,499","116,239","112,795","106,137","114,906","115,826","104,888","119,777","124,717","112,016","125,225","104,011","100,987"
Market Cap Growth,-12.24%,-0.80%,-3.95%,-2.15%,-8.40%,-10.94%,1.98%,-16.51%,-16.85%,-13.70%,-22.66%,8.46%,40.30%,33.94%,68.84%,54.21%,61.67%,25.38%,10.73%,-0.07%,-7.00%,17.99%,18.30%,29.61%,-3.44%,-17.54%,2.12%,27.67%,82.17%,168.21%,104.49%,49.92%,26.97%,-0.35%,-7.01%,12.85%,8.54%,-3.29%,19.39%,-13.16%,-
Enterprise Value,"63,243","67,689","64,687","63,831","61,973","63,690","64,588","58,284","57,103","60,188","57,252","59,039","64,907","66,439","72,171","73,523","92,000","81,913","84,106","81,135","90,880","93,790","96,062","96,929","90,976","84,582","95,443","109,726","129,502","156,420","153,237","146,532","157,744","160,814","151,757","166,902","174,805","164,848","180,512","159,964","156,940"
PE Ratio,8.97,9.96,9.33,9.70,10.23,11.92,14.11,13.19,13.49,16.45,15.36,18.22,23.30,19.94,21.31,19.83,38.83,24.41,21.82,18.07,15.13,15.79,16.29,17.05,15.18,15.46,20.32,25.73,26.17,25.37,20.74,17.80,20.36,19.46,17.01,16.80,15.23,12.52,12.47,10.23,10.42
PS Ratio,0.84,0.93,0.85,0.85,0.84,0.93,1.01,0.89,0.87,0.96,0.91,1.04,1.28,1.31,1.46,1.44,1.78,1.33,1.27,1.15,1.34,1.35,1.39,1.41,1.28,1.18,1.55,1.99,2.44,2.92,2.66,2.41,2.58,2.53,2.17,2.28,2.24,1.88,2.04,1.70,1.65
PB Ratio,3.12,3.24,2.86,3.38,3.56,3.76,4.09,3.80,3.70,3.70,3.29,4.26,5.01,4.62,4.81,4.48,5.98,4.28,4.41,3.79,4.54,4.41,4.40,4.86,4.17,3.65,4.28,5.47,6.43,7.70,7.17,5.76,6.45,6.13,5.51,5.91,5.85,5.00,5.43,4.77,4.64
P/FCF Ratio,13.71,15.81,15.79,15.66,13.46,12.26,13.66,12.91,15.87,16.37,12.48,13.41,14.49,13.48,20.67,40.97,122.15,-297.33,-81.99,120.51,-608.15,2887.62,42.63,34.42,18.54,10.91,9.65,10.71,11.85,14.44,15.51,14.66,25.96,33.57,38.51,39.87,30.41,27.23,25.64,17.05,16.55
P/OCF Ratio,8.52,9.64,9.25,8.70,7.80,7.31,7.82,6.81,6.99,7.36,6.28,7.36,8.98,9.07,12.99,19.50,33.80,39.08,57.45,23.48,35.07,33.97,18.64,16.25,10.91,7.63,7.81,9.46,11.13,13.69,14.57,13.74,22.84,27.72,27.39,25.49,20.77,17.74,17.45,12.11,11.76
Debt / Equity Ratio,3.36,3.40,3.39,4.08,4.44,4.57,4.81,5.46,5.49,5.28,5.00,5.46,5.07,4.61,4.37,4.19,4.39,3.99,4.09,3.74,3.80,3.75,3.70,3.97,3.76,4.23,3.76,3.56,3.26,3.14,3.05,2.63,2.66,2.58,2.69,2.56,2.53,2.59,2.68,2.91,2.91
Interest Coverage,6.60,9.80,9.45,7.18,4.09,7.13,5.39,3.80,3.02,4.84,4.56,3.14,2.58,6.18,5.14,3.96,2.82,5.56,5.12,4.06,2.93,5.21,3.99,3.13,2.69,3.66,5.37,4.90,6.65,9.66,9.84,8.68,6.03,14.68,9.57,9.28,6.21,7.77,6.80,4.93,6.31
Return on Capital (ROIC),Upgrade,9.06%,8.40%,7.93%,7.84%,7.40%,6.66%,6.02%,5.55%,5.34%,4.67%,4.72%,4.86%,4.81%,5.40%,5.44%,5.62%,3.28%,4.13%,4.70%,5.24%,8.06%,7.61%,7.59%,7.77%,7.88%,6.46%,6.21%,6.32%,7.22%,8.64%,9.81%,10.06%,9.78%,9.78%,9.79%,11.01%,12.20%,12.71%,13.68%,14.16%
Dividend Yield,2.40%,2.20%,2.50%,2.60%,2.70%,2.70%,2.50%,3.10%,3.10%,2.90%,3.10%,2.70%,2.20%,2.20%,1.90%,1.80%,1.40%,1.70%,1.80%,1.90%,1.70%,1.80%,1.70%,1.70%,1.90%,2.20%,1.70%,1.30%,1.10%,0.90%,0.90%,1.10%,1.00%,1.10%,1.20%,1.10%,1.10%,1.20%,1.10%,1.40%,1.63%
Payout Ratio,27.90%,19.10%,25.50%,32.30%,53.10%,29.30%,39.00%,55.00%,75.00%,38.20%,38.70%,65.90%,95.20%,23.70%,30.00%,37.50%,-36.10%,16.10%,24.60%,28.00%,48.70%,21.30%,26.80%,32.90%,46.10%,35.70%,29.30%,31.70%,19.50%,15.70%,16.80%,25.20%,35.70%,15.30%,18.20%,15.20%,18.20%,12.90%,12.20%,16.20%,16.98%
Buyback Yield / Dilution,4.48%,5.93%,6.29%,5.94%,7.91%,8.14%,8.49%,8.22%,8.13%,6.83%,5.51%,5.77%,-0.66%,-2.05%,-2.98%,-2.12%,-0.97%,-1.92%,-0.89%,-1.24%,0.03%,2.13%,2.50%,2.05%,1.70%,1.86%,1.25%,1.25%,0.35%,0.32%,0.76%,1.67%,2.12%,2.25%,2.46%,2.96%,3.33%,3.77%,4.45%,5.10%,4.15%
Total Shareholder Return,6.88%,8.13%,8.79%,8.54%,10.61%,10.84%,10.99%,11.32%,11.23%,9.73%,8.61%,8.47%,1.54%,0.15%,-1.08%,-0.32%,0.43%,-0.22%,0.91%,0.66%,1.73%,3.93%,4.20%,3.75%,3.60%,4.06%,2.95%,2.55%,1.45%,1.22%,1.66%,2.77%,3.12%,3.35%,3.66%,4.06%,4.43%,4.97%,5.55%,6.50%,5.78%
