,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,Upgrade,"11,906","38,467","26,694","24,191","24,896","14,789","12,564","8,021","11,629","8,267","9,568"
Market Cap Growth,Upgrade,-,223.09%,-30.60%,-9.38%,2.91%,-40.60%,-15.05%,-36.16%,44.98%,-28.91%,-
Enterprise Value,Upgrade,"18,419","48,110","40,306","41,538","44,577","43,904","42,024","41,569","44,385","41,994","39,266"
PE Ratio,Upgrade,-6.49,13.35,3.51,9.36,19.42,10.47,7.45,-0.90,-5.83,65.09,6.37
PS Ratio,Upgrade,0.45,0.90,0.65,0.60,0.58,0.33,0.28,0.46,0.39,0.17,0.18
PB Ratio,Upgrade,-4.36,19.03,4.74,6.39,-31.92,-87.51,-106.47,-1.17,-1.58,-1.43,-1.63
P/FCF Ratio,Upgrade,-5.15,-17.50,200.71,26.35,-21.97,-146.43,-25.28,-0.96,23.98,-12.30,3.53
P/OCF Ratio,Upgrade,17.64,12.49,4.27,3.71,5.25,4.19,3.29,-1.23,16.52,3.80,1.92
EV/Sales Ratio,Upgrade,0.69,1.13,0.98,1.03,1.05,0.99,0.92,2.40,1.49,0.86,0.74
EV/EBITDA Ratio,Upgrade,-60.59,8.57,5.67,5.97,6.90,8.61,7.41,-5.29,27.97,9.45,5.99
EV/EBIT Ratio,Upgrade,-13.91,11.74,7.33,8.08,10.02,14.93,12.54,-4.07,-59.34,19.55,9.22
EV/FCF Ratio,Upgrade,-7.97,-21.89,303.05,45.25,-39.34,-434.70,-84.55,-4.99,91.52,-62.49,14.47
Debt / Equity Ratio,Upgrade,-6.15,8.77,3.65,6.43,-32.13,-201.36,-283.42,-5.97,-6.29,-7.53,-8.02
Debt / EBITDA Ratio,Upgrade,-55.26,3.16,2.89,3.50,3.88,6.67,5.90,-5.22,29.10,9.83,6.29
Debt / FCF Ratio,Upgrade,-7.27,-8.06,154.59,26.52,-22.12,-336.92,-67.29,-4.93,95.21,-65.01,15.18
Quick Ratio,Upgrade,0.86,0.73,0.62,0.62,0.46,0.37,0.31,0.53,0.79,0.56,0.55
Current Ratio,Upgrade,1.04,0.88,0.73,0.74,0.60,0.48,0.45,0.67,0.91,0.71,0.69
Asset Turnover,Upgrade,0.81,0.97,0.86,0.79,0.81,0.81,0.75,0.28,0.43,0.73,0.80
Interest Coverage,Upgrade,-1.55,4.62,6.25,5.19,4.22,2.78,3.06,-8.33,-0.42,1.09,1.97
Return on Equity (ROE),Upgrade,34.20%,94.70%,192.70%,60.10%,49.60%,-215.20%,-1094.80%,195.30%,26.20%,-1.60%,-30.50%
Return on Assets (ROA),Upgrade,-5.60%,6.60%,15.90%,5.10%,2.40%,2.60%,2.80%,-14.30%,-2.90%,0.20%,2.40%
Return on Capital (ROIC),Upgrade,9.94%,19.31%,39.04%,11.20%,6.58%,5.88%,6.87%,-30.51%,-2.73%,2.90%,7.97%
Earnings Yield,Upgrade,-15.40%,7.49%,28.51%,10.68%,5.15%,9.55%,13.42%,-110.77%,-17.14%,1.54%,16.79%
FCF Yield,Upgrade,-19.41%,-5.71%,0.50%,3.79%,-4.55%,-0.68%,-3.96%,-103.76%,4.17%,-8.13%,28.37%
Dividend Yield,Upgrade,0.00%,0.40%,0.90%,0.90%,0.80%,1.20%,1.40%,0.60%,0.00%,0.00%,0.00%
Payout Ratio,Upgrade,0.00%,5.00%,3.50%,8.50%,15.30%,13.20%,10.50%,-0.50%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,Upgrade,-,-52.12%,12.12%,17.80%,7.65%,3.74%,4.89%,-16.11%,-27.31%,-0.37%,-0.54%
Total Shareholder Return,Upgrade,-,-51.72%,13.02%,18.70%,8.45%,4.94%,6.29%,-15.51%,-27.31%,-0.37%,-0.54%
