,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"7,951","7,855","7,693","8,567","8,738","8,235","8,823","9,716","10,732","12,319","12,414","12,418","11,896","11,904","12,557","12,278","12,116","10,912","12,263","12,588","14,086","17,168","19,162","17,142","12,238","10,296","12,545","14,057","16,597","18,787","18,401","18,324","21,808","18,989","14,152","16,106","17,619","15,279","16,049","16,233","17,552"
Market Cap Growth,3.46%,3.22%,-0.36%,-1.27%,9.90%,4.84%,14.70%,13.41%,22.82%,49.61%,40.70%,27.81%,10.84%,-3.38%,1.15%,-1.13%,1.85%,-8.33%,-2.35%,2.52%,16.26%,57.34%,56.26%,36.18%,-13.12%,-40.03%,-34.53%,-18.00%,35.62%,82.47%,46.67%,30.35%,31.39%,1.07%,-23.09%,-12.10%,-19.21%,-19.54%,13.41%,0.79%,-
Enterprise Value,"8,368","8,273","8,159","8,852","8,972","8,620","9,265","10,028","10,979","12,625","12,561","12,487","12,195","12,141","12,726","12,472","12,341","11,280","12,507","12,670","14,161","17,249","19,222","17,260","12,712","10,557","12,598","14,056","16,555","18,691","18,220","18,082","21,711","18,776","13,956","15,733","17,559","15,398","16,019","16,175","17,494"
PE Ratio,21.84,23.38,10.51,12.83,17.07,11.70,12.68,15.57,14.27,25.04,17.24,31.05,14.80,29.76,30.78,4.78,-97.71,12.57,5.54,-6.96,5.07,10.03,19.32,6.85,-2.50,2.83,6.48,3.35,6.69,6.68,30.07,3.12,-19.97,-5.88,-8.46,3.97,19.58,7.15,-40.53,3.43,9.55
PS Ratio,1.72,1.66,1.58,1.73,1.73,1.60,1.72,1.89,2.06,2.33,2.30,2.28,2.12,2.12,2.23,2.14,2.23,1.95,2.01,2.33,2.22,2.56,2.96,2.16,2.16,1.59,1.79,1.87,1.68,1.99,2.04,1.90,2.53,2.66,2.09,2.46,2.32,1.63,1.64,1.62,1.75
PB Ratio,1.29,1.24,1.21,1.30,1.32,1.27,1.39,1.51,1.59,1.77,1.74,1.76,1.64,1.61,1.67,1.49,1.52,1.38,1.47,1.61,1.63,1.88,2.04,1.74,1.52,1.11,1.29,1.30,1.49,1.58,1.55,1.40,1.80,1.80,1.50,1.53,1.64,1.39,1.51,1.34,1.45
P/FCF Ratio,10.08,9.14,8.67,9.70,10.11,8.65,8.98,9.86,10.18,11.26,11.58,11.08,10.91,12.27,12.04,12.19,11.70,10.36,11.62,11.28,12.13,14.25,16.39,14.20,10.34,8.94,9.47,9.84,11.28,11.34,10.37,9.78,11.09,10.49,7.84,8.62,8.65,7.31,7.62,7.76,8.39
P/OCF Ratio,9.99,9.05,8.59,9.62,10.01,8.59,8.89,9.77,10.09,11.14,11.45,10.96,10.78,12.12,11.87,11.98,11.52,10.20,11.45,11.12,11.93,13.99,16.06,13.88,10.13,8.76,9.32,9.71,11.13,11.20,10.26,9.69,11.01,10.41,7.78,8.55,8.59,7.26,7.56,7.71,8.33
Debt / Equity Ratio,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.10,0.11,0.11,0.10,0.11,0.10,0.10,0.09,0.09,0.12,0.10,0.10,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.07
Quick Ratio,0.25,0.24,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.25,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.24,0.26,0.26,0.24,0.25,0.24,30.83,31.41,71.76,71.74,73.51,74.53,530.93,559.78,594.89,-22.23,98.60,97.88,198.36,214.04,0,0
Current Ratio,0.05,0.04,0.04,0.05,0.06,0.04,0.04,0.05,0.05,0.04,0.06,0.06,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.06,0.06,0.06,0.05,0.05,0.03,5.79,7.43,16.67,16.61,17.00,18.39,479.69,497.67,521.18,-19.41,89.56,19.10,178.08,35.96,0,0
Asset Turnover,Upgrade,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.09,0.03,0.09,0.08,0.07,0.08,0.00,0.11,0.08,0.10,0.08,0.08,0.06,0.11,0.04,0.03,0.05,0.10,0.07,0.08,0.06,0.10
Interest Coverage,9.50,9.23,20.92,343.08,14.38,20.08,18.36,344.38,21.38,13.77,20.46,340.36,22.23,10.85,10.92,371.36,-2.85,21.31,45.14,351.92,67.69,41.77,22.00,479.46,-120.23,82.79,48.23,525.21,60.08,68.08,15.15,132.86,-26.69,-79.08,-40.36,100.00,20.14,51.08,-11.38,106.43,106.43
Return on Equity (ROE),Upgrade,7.36%,6.75%,7.53%,7.99%,8.50%,10.07%,10.16%,9.86%,10.30%,9.20%,9.09%,8.37%,8.32%,7.88%,6.69%,12.68%,10.23%,11.75%,16.57%,3.66%,11.74%,13.40%,9.81%,20.25%,0.95%,6.02%,8.14%,11.27%,27.49%,24.09%,21.32%,22.48%,16.98%,5.14%,-0.31%,-4.61%,0.11%,12.28%,15.75%,15.23%
Return on Assets (ROA),Upgrade,2.53%,2.33%,2.60%,2.80%,2.97%,3.46%,3.44%,3.36%,3.57%,3.18%,3.16%,2.90%,2.91%,2.74%,2.33%,4.78%,3.79%,4.27%,6.14%,1.31%,4.34%,5.03%,3.71%,7.86%,0.33%,2.19%,3.01%,4.42%,10.81%,9.62%,8.44%,9.39%,6.79%,1.86%,-0.10%,-1.63%,0.04%,4.32%,5.41%,5.62%
Return on Capital (ROIC),Upgrade,46.06%,44.95%,45.47%,47.58%,47.85%,49.82%,50.80%,51.36%,50.03%,47.89%,47.09%,53.65%,52.54%,51.52%,49.67%,191.07%,195.20%,195.86%,192.51%,61.29%,63.89%,62.75%,58.51%,59.54%,45.89%,45.11%,45.25%,48.88%,65.65%,60.32%,57.82%,21.35%,15.49%,2.36%,-4.45%,-8.03%,-2.86%,10.32%,14.31%,13.93%
Earnings Yield,1.14%,1.07%,2.38%,1.95%,1.46%,2.14%,1.97%,1.61%,1.75%,1.00%,1.45%,0.81%,1.69%,0.84%,0.81%,5.23%,-0.26%,1.99%,4.51%,-3.59%,4.93%,2.49%,1.29%,3.65%,-10.02%,8.83%,3.86%,7.46%,3.74%,3.74%,0.83%,8.02%,-1.25%,-4.26%,-2.95%,6.29%,1.28%,3.49%,-0.62%,7.29%,10.50%
FCF Yield,1.58%,2.80%,3.65%,2.77%,2.45%,3.05%,3.21%,3.15%,2.37%,1.86%,2.67%,2.21%,1.13%,2.54%,2.36%,2.48%,1.25%,2.79%,2.91%,2.77%,1.38%,1.56%,2.06%,1.90%,1.33%,4.28%,3.98%,2.62%,2.10%,2.98%,3.25%,2.51%,0.89%,2.91%,4.68%,3.90%,1.40%,3.74%,4.04%,-,11.92%
Dividend Yield,0.84%,0.90%,0.91%,0.82%,0.81%,0.90%,0.83%,1.52%,0.69%,0.63%,0.63%,0.62%,0.65%,0.68%,0.65%,1.31%,0.66%,0.79%,0.69%,0.68%,0.60%,0.52%,0.47%,0.53%,0.74%,0.92%,0.76%,0.68%,0.57%,0.53%,0.54%,0.55%,0.45%,0.57%,0.76%,0.66%,0.60%,0.77%,0.72%,-,2.90%
Payout Ratio,73.63%,84.52%,38.25%,41.92%,55.47%,42.05%,41.95%,94.87%,39.36%,62.60%,43.33%,77.00%,38.31%,81.00%,79.41%,25.08%,-258.06%,39.63%,15.37%,-18.81%,12.23%,21.03%,36.29%,14.38%,-7.34%,10.45%,19.63%,9.06%,15.32%,14.22%,65.36%,6.80%,-36.26%,-13.49%,-25.84%,10.56%,47.11%,21.91%,-116.16%,-,27.67%
Buyback Yield / Dilution,-0.06%,0.18%,0.36%,0.24%,-0.36%,-0.24%,-0.30%,-0.24%,-0.24%,-0.60%,-0.79%,-0.48%,-0.30%,0.30%,0.54%,0.54%,1.50%,0.90%,1.15%,1.69%,0.49%,-0.43%,-0.98%,-1.54%,0.61%,2.24%,2.17%,1.94%,-0.18%,-0.87%,-0.56%,-0.25%,1.29%,2.03%,3.01%,2.65%,1.18%,1.00%,0.70%,0.82%,0.82%
Total Shareholder Return,0.78%,1.09%,1.27%,1.06%,0.45%,0.66%,0.52%,1.28%,0.45%,0.02%,-0.16%,0.14%,0.35%,0.98%,1.18%,1.85%,2.16%,1.69%,1.84%,2.37%,1.09%,0.10%,-0.51%,-1.01%,1.35%,3.16%,2.93%,2.61%,0.39%,-0.33%,-0.01%,0.30%,1.75%,2.60%,3.77%,3.31%,1.79%,1.77%,1.41%,0.82%,3.72%
