,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,623,159,63,206,503,"3,198","22,168","24,681","36,014","18,044","17,903"
Market Cap Growth,133.88%,-74.48%,-60.70%,229.66%,143.98%,535.86%,593.18%,11.34%,45.92%,-49.90%,-
Enterprise Value,581,148,79,227,506,"3,007","21,819","24,702","35,692","17,643","17,501"
PE Ratio,-77.42,-7.21,-0.93,-4.56,-43.26,19.85,165.44,169.69,90.63,41.11,42.81
PS Ratio,1.81,0.45,0.19,0.72,1.59,5.12,28.63,17.86,15.45,7.88,7.82
PB Ratio,13.28,3.84,48.10,-22.59,64.68,11.75,45.80,57.38,43.62,18.34,18.20
P/FCF Ratio,56.81,-4.72,-1.39,-6.33,41.98,25.73,113.23,82.40,51.57,30.77,30.53
P/OCF Ratio,25.74,-7.52,-1.90,-7.25,31.18,23.00,102.47,70.11,48.35,25.90,25.69
EV/Sales Ratio,1.69,0.41,0.24,0.79,1.60,4.82,28.17,17.87,15.31,7.70,7.64
EV/EBITDA Ratio,204.99,-15.28,-1.50,-8.06,49.99,26.40,137.65,125.44,68.60,29.57,29.33
EV/EBIT Ratio,-107.20,-7.31,-1.24,-6.11,1091.55,30.13,155.39,148.73,77.34,33.80,33.53
EV/FCF Ratio,52.98,-4.38,-1.74,-6.96,42.27,24.20,111.45,82.47,51.11,30.09,29.85
Debt / Equity Ratio,-,0.41,26.08,-5.45,14.12,0.39,0.68,2.41,1.56,1.32,1.32
Debt / EBITDA Ratio,-,-1.76,-0.64,-1.77,10.84,0.93,2.09,5.27,2.48,2.17,2.17
Debt / FCF Ratio,-,-0.50,-0.75,-1.53,9.16,0.85,1.69,3.46,1.85,2.21,2.21
Quick Ratio,1.48,1.02,0.95,1.03,1.26,2.22,1.61,3.07,3.22,4.02,4.02
Current Ratio,1.96,1.67,1.42,1.42,1.51,2.51,1.75,3.33,3.55,4.59,4.59
Asset Turnover,2.54,2.09,1.98,1.69,1.15,1.23,0.72,0.64,0.89,0.67,0.67
Interest Coverage,-2.91,-40.32,-22.80,-4.52,0.04,10.30,6.69,3.68,48.90,59.05,59.05
Return on Equity (ROE),-19.80%,-47.20%,-544.60%,1526.60%,94.30%,116.00%,33.80%,24.30%,71.70%,44.60%,44.60%
Return on Assets (ROA),-5.90%,-12.90%,-41.40%,-26.70%,-4.20%,31.60%,12.40%,6.80%,15.20%,12.70%,12.70%
Return on Capital (ROIC),-9.43%,-33.04%,-178.13%,-96.93%,1.36%,48.63%,25.67%,17.69%,18.62%,16.74%,16.74%
Earnings Yield,-1.29%,-13.88%,-107.89%,-21.92%,-2.31%,5.04%,0.60%,0.59%,1.10%,2.43%,2.45%
FCF Yield,1.76%,-21.17%,-72.16%,-15.80%,2.38%,3.89%,0.88%,1.21%,1.94%,3.25%,3.28%
Buyback Yield / Dilution,-3.02%,-4.03%,-13.19%,-64.17%,-20.11%,-32.15%,-7.80%,-0.68%,-1.06%,0.76%,0.76%
Total Shareholder Return,-3.02%,-4.03%,-13.19%,-64.17%,-20.11%,-32.15%,-7.80%,-0.68%,-1.06%,0.76%,0.76%
