,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"27,730","27,427","32,556","32,960","36,629","48,888","65,796","56,694","51,619","62,957","50,429"
Market Cap Growth,24.12%,-1.09%,18.70%,1.24%,11.13%,33.47%,34.58%,-13.83%,-8.95%,21.96%,-
Enterprise Value,"33,512","33,100","36,474","33,245","37,466","49,799","67,345","58,530","56,554","71,945","60,937"
PE Ratio,27.96,21.46,51.59,10.99,24.46,27.78,34.87,27.01,22.88,27.37,21.65
PS Ratio,2.66,3.51,4.34,4.03,4.10,5.48,7.43,5.49,4.07,5.00,4.06
PB Ratio,3.77,3.78,4.60,3.27,3.37,4.42,5.45,4.19,3.93,4.40,3.39
P/FCF Ratio,33.52,31.01,24.10,22.14,37.42,49.88,87.07,65.09,211.47,-44.31,-28.63
P/OCF Ratio,12.66,13.40,14.41,13.04,14.38,16.46,20.15,17.00,16.28,19.64,16.20
EV/Sales Ratio,3.21,4.23,4.86,4.06,4.20,5.58,7.60,5.67,4.45,5.71,4.91
EV/EBITDA Ratio,13.72,13.03,17.94,7.83,12.00,14.39,18.40,14.54,13.39,16.40,13.65
EV/EBIT Ratio,22.55,19.69,30.94,9.83,17.41,20.95,27.22,21.65,19.60,23.75,19.80
EV/FCF Ratio,40.50,37.42,27.00,22.33,38.28,50.81,89.12,67.20,231.69,-50.64,-33.58
Debt / Equity Ratio,0.83,0.81,0.74,0.39,0.35,0.30,0.65,0.56,0.63,0.76,0.86
Debt / EBITDA Ratio,2.50,2.32,2.56,0.93,1.22,0.96,2.16,1.90,1.95,2.49,2.86
Debt / FCF Ratio,7.39,6.65,3.86,2.66,3.90,3.39,10.46,8.77,33.74,-7.70,-6.00
Quick Ratio,0.84,0.57,0.93,2.15,1.95,2.28,3.36,2.79,1.62,1.12,1.52
Current Ratio,1.11,0.77,1.32,2.36,2.17,2.54,3.59,2.99,1.81,1.34,1.81
Asset Turnover,0.58,0.45,0.43,0.47,0.48,0.46,0.40,0.39,0.47,0.42,0.39
Interest Coverage,11.88,16.35,10.23,28.04,16.50,17.35,22.64,19.07,22.54,17.06,16.21
Return on Equity (ROE),13.40%,17.30%,8.90%,33.40%,14.20%,15.80%,16.20%,16.10%,16.50%,16.30%,16.30%
Return on Assets (ROA),5.50%,7.30%,3.60%,17.10%,8.00%,9.20%,8.50%,8.00%,8.30%,7.60%,7.40%
Return on Capital (ROIC),7.24%,7.61%,7.41%,9.43%,9.92%,11.72%,8.93%,8.83%,8.95%,7.97%,7.36%
Earnings Yield,3.58%,4.66%,1.94%,9.10%,4.09%,3.60%,2.87%,3.70%,4.37%,3.65%,4.63%
FCF Yield,2.98%,3.23%,4.15%,4.52%,2.67%,2.00%,1.15%,1.54%,0.47%,-2.26%,-4.21%
Dividend Yield,2.30%,2.50%,1.70%,2.40%,3.10%,2.10%,1.70%,2.30%,2.70%,2.40%,3.12%
Payout Ratio,64.80%,53.80%,86.60%,26.30%,76.10%,57.30%,60.70%,61.70%,62.60%,66.40%,67.56%
Buyback Yield / Dilution,-1.37%,-0.98%,-0.46%,-0.69%,-0.45%,-0.36%,-0.32%,-0.09%,-0.18%,-0.09%,-0.09%
Total Shareholder Return,0.93%,1.52%,1.24%,1.71%,2.65%,1.74%,1.38%,2.21%,2.52%,2.31%,3.03%
