,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"38,221","37,670","41,850","45,842","59,092","71,956","63,989","84,516","87,744","90,800","103,918"
Market Cap Growth,14.39%,-1.44%,11.10%,9.54%,28.90%,21.77%,-11.07%,32.08%,3.82%,3.48%,-
Enterprise Value,"36,789","36,013","40,667","45,064","58,924","72,261","64,443","85,293","89,802","92,161","105,615"
PE Ratio,25.21,25.94,28.04,25.64,31.35,31.38,25.94,32.53,29.76,26.61,29.42
PS Ratio,3.74,3.44,3.59,3.71,4.45,5.10,4.39,5.63,5.32,5.04,5.59
PB Ratio,5.73,7.83,9.34,11.53,12.48,13.33,11.12,14.91,27.21,25.88,24.06
P/FCF Ratio,25.17,22.66,27.41,27.69,28.90,33.79,26.23,32.43,34.01,24.97,30.41
P/OCF Ratio,20.98,19.08,22.06,21.56,23.49,26.77,21.15,27.32,28.31,21.58,26.32
EV/Sales Ratio,3.60,3.29,3.49,3.64,4.44,5.12,4.42,5.68,5.44,5.12,5.68
EV/EBITDA Ratio,14.33,14.25,15.77,14.96,21.33,20.39,17.10,21.69,20.40,17.59,19.18
EV/EBIT Ratio,15.99,16.02,17.75,16.71,24.70,23.05,19.59,24.93,23.11,19.65,21.35
EV/FCF Ratio,24.23,21.67,26.63,27.22,28.82,33.93,26.42,32.73,34.80,25.35,30.91
Debt / Equity Ratio,0.33,0.00,0.45,0.50,0.42,0.42,0.41,0.59,1.08,0.98,0.77
Debt / EBITDA Ratio,0.85,0.00,0.78,0.66,0.72,0.64,0.63,0.85,0.79,0.66,0.61
Debt / FCF Ratio,1.44,0.01,1.31,1.21,0.98,1.06,0.97,1.29,1.35,0.95,0.98
Quick Ratio,0.22,0.12,0.14,0.15,0.14,0.14,0.15,0.14,0.08,0.12,0.10
Current Ratio,1.14,1.06,1.10,1.10,1.05,1.05,1.05,1.07,0.99,0.99,1.01
Asset Turnover,0.30,0.30,0.28,0.32,0.33,0.34,0.35,0.31,0.26,0.34,0.34
Interest Coverage,377.08,345.95,40.76,33.71,23.23,24.14,30.72,57.30,47.45,18.52,14.48
Return on Equity (ROE),23.60%,27.30%,33.50%,44.30%,45.30%,45.70%,44.90%,45.10%,66.20%,106.90%,94.90%
Return on Assets (ROA),4.40%,4.00%,3.50%,4.60%,4.60%,5.50%,5.80%,5.30%,4.60%,6.40%,6.60%
Return on Capital (ROIC),13.55%,27.08%,22.55%,26.89%,31.34%,30.10%,30.00%,28.49%,43.87%,49.84%,47.42%
Earnings Yield,3.97%,3.86%,3.57%,3.90%,3.19%,3.19%,3.85%,3.07%,3.36%,3.76%,3.42%
FCF Yield,3.97%,4.41%,3.65%,3.61%,3.46%,2.96%,3.81%,3.08%,2.94%,4.00%,3.29%
Dividend Yield,2.40%,2.40%,2.30%,2.20%,1.90%,1.90%,2.40%,1.90%,1.90%,2.20%,2.21%
Payout Ratio,59.10%,63.50%,63.60%,56.10%,58.90%,58.10%,61.40%,60.70%,57.50%,58.10%,65.12%
Buyback Yield / Dilution,0.82%,1.51%,3.51%,1.92%,1.55%,1.29%,1.12%,1.06%,1.64%,1.28%,0.89%
Total Shareholder Return,3.22%,3.91%,5.81%,4.12%,3.45%,3.19%,3.52%,2.96%,3.54%,3.48%,3.10%
