,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"20,677","22,601","22,878","24,158","28,280","27,493","23,571","26,646","26,259","28,381","33,412","27,864","33,783","37,636","40,172","43,197","48,510","51,238","49,141","42,638","52,343","56,082","60,339","66,733","59,743","79,372","86,905","79,092","84,936","98,877","102,398","113,735","98,894","114,567","101,834","109,123","111,016","128,606","116,273","139,557","133,043"
Market Cap Growth,41.39%,55.02%,26.74%,14.08%,36.77%,21.65%,3.03%,10.30%,-7.14%,3.23%,41.75%,4.57%,28.65%,32.61%,20.23%,55.03%,43.59%,36.14%,22.33%,-1.29%,7.90%,9.45%,22.79%,56.51%,14.14%,41.53%,44.03%,18.52%,42.17%,24.58%,17.83%,43.80%,16.43%,15.87%,-0.55%,-4.05%,12.26%,12.25%,14.18%,27.89%,-
Enterprise Value,"19,945","21,783","21,759","22,453","28,268","27,267","25,619","28,770","28,600","30,593","34,976","29,028","34,937","38,818","41,428","43,975","50,324","52,963","50,599","44,324","55,187","58,447","62,600","68,387","62,343","81,216","88,410","79,615","85,054","98,264","101,112","111,825","106,571","122,416","111,823","119,355","121,840","139,092","126,632","150,240","143,726"
PE Ratio,23.26,24.38,25.36,-210.07,-463.60,-,380.18,23.05,22.91,24.13,18.40,13.23,15.28,16.74,22.68,28.88,30.55,31.47,28.75,21.78,27.89,28.45,28.83,31.43,25.40,30.66,35.81,33.82,34.58,40.16,36.52,37.61,28.22,31.14,29.18,33.60,39.54,54.80,46.87,53.14,51.47
PS Ratio,4.30,4.65,4.61,4.78,5.52,5.32,4.51,5.01,4.88,5.14,5.93,4.92,5.85,6.49,6.84,7.13,7.85,8.16,7.79,6.81,8.36,8.82,9.28,9.96,8.64,11.10,11.89,10.63,11.07,12.62,12.68,13.71,11.41,11.99,9.86,9.76,9.29,10.67,9.47,11.17,10.65
PB Ratio,15.17,15.67,14.85,49.50,52.47,36.03,35.82,137.35,118.29,75.48,72.32,42.87,42.82,36.93,47.88,60.93,6930.02,87.89,54.30,67.90,160.07,109.54,174.39,139.32,-238.97,377.96,196.62,155.39,82.30,78.16,55.50,55.97,2.49,2.91,2.74,3.00,3.06,3.63,3.28,4.08,3.89
P/FCF Ratio,39.01,29.28,23.68,21.28,-61.61,-77.23,-113.32,302.80,15.00,16.13,18.19,19.28,21.04,25.80,29.09,22.82,25.67,24.19,23.63,21.85,27.59,27.07,25.86,25.08,19.54,24.08,25.95,22.66,23.78,27.79,27.43,31.92,32.76,45.23,43.02,43.41,38.63,40.42,34.54,39.12,37.30
P/OCF Ratio,32.06,25.60,21.18,19.69,-76.23,-106.15,-250.76,117.38,13.89,14.99,16.97,17.86,19.55,23.61,26.67,21.43,23.98,22.82,22.20,20.66,26.21,25.83,24.78,24.04,18.89,23.46,25.34,22.17,23.24,27.16,26.95,31.61,32.40,44.35,41.91,41.92,37.32,39.09,33.33,37.62,35.86
Debt / Equity Ratio,0.59,0.55,0.52,1.63,2.16,1.96,5.30,18.61,17.75,10.05,8.58,5.48,4.52,3.50,4.25,5.03,510.00,6.28,4.05,5.83,13.09,8.37,12.37,9.54,-18.21,21.56,10.57,9.14,4.49,3.64,2.50,2.27,0.30,0.29,0.31,0.32,0.34,0.34,0.34,0.35,0.35
Quick Ratio,1.12,1.16,1.19,0.88,0.84,1.24,0.97,0.85,0.86,0.90,1.11,1.35,1.43,1.50,1.45,1.28,0.98,1.18,1.37,1.30,1.12,1.28,1.04,1.45,1.16,1.40,1.63,1.60,1.77,2.00,2.17,2.14,1.21,1.15,0.71,0.63,0.61,0.68,0.80,0.68,0.68
