,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"31,135","27,526","25,562","28,404","34,511","34,684","38,830","31,238","38,627","44,731","46,388"
Market Cap Growth,25.00%,-11.59%,-7.14%,11.12%,21.50%,0.50%,11.95%,-19.55%,23.65%,15.80%,-
Enterprise Value,"33,489","28,150","26,183","28,905","36,309","36,125","40,503","33,996","41,532","48,230","47,847"
PE Ratio,9.86,9.33,10.09,10.68,7.50,11.88,11.75,6.54,8.93,10.65,10.40
PS Ratio,1.30,1.21,1.23,1.26,1.59,1.59,1.74,1.41,1.75,2.29,2.45
PB Ratio,2.13,1.50,1.44,1.39,1.40,1.48,1.34,0.93,1.16,2.22,2.05
P/FCF Ratio,2.95,4.20,3.77,4.74,5.63,5.77,7.12,5.24,7.65,11.53,13.68
P/OCF Ratio,2.95,4.20,3.77,4.74,5.63,5.77,7.12,5.24,7.65,11.53,13.68
EV/Sales Ratio,1.40,1.24,1.25,1.28,1.68,1.66,1.82,1.54,1.88,2.47,2.53
EV/EBITDA Ratio,6.55,5.85,6.31,6.67,8.53,8.59,8.67,7.72,7.47,9.99,8.40
EV/EBIT Ratio,6.55,5.85,6.31,6.67,8.53,8.59,8.67,7.72,7.47,9.99,8.40
EV/FCF Ratio,3.18,4.30,3.86,4.83,5.93,6.01,7.42,5.71,8.22,12.43,14.11
Debt / Equity Ratio,0.33,0.29,0.28,0.26,0.22,0.25,0.23,0.24,0.24,0.37,0.31
Debt / EBITDA Ratio,0.96,1.10,1.20,1.24,1.24,1.37,1.41,1.79,1.43,1.54,1.22
Debt / FCF Ratio,0.46,0.81,0.73,0.90,0.86,0.96,1.20,1.33,1.58,1.92,2.05
Asset Turnover,0.20,0.18,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.14
Interest Coverage,17.44,15.17,14.36,16.18,17.74,18.94,20.50,18.19,23.36,21.37,28.07
Return on Equity (ROE),21.60%,17.00%,14.30%,12.40%,20.80%,12.30%,11.70%,15.70%,13.00%,16.80%,22.00%
Return on Assets (ROA),2.60%,2.40%,2.10%,2.00%,3.40%,2.10%,2.20%,3.00%,2.70%,3.10%,3.50%
Return on Capital (ROIC),17.17%,13.37%,12.00%,10.97%,16.32%,10.54%,9.78%,12.20%,10.96%,15.98%,16.01%
Earnings Yield,10.14%,10.72%,9.91%,9.36%,13.34%,8.42%,8.51%,15.30%,11.20%,9.39%,9.86%
FCF Yield,33.88%,23.80%,26.51%,21.08%,17.76%,17.34%,14.05%,19.07%,13.08%,8.67%,7.31%
Dividend Yield,2.10%,2.50%,2.60%,2.40%,2.00%,2.30%,2.00%,2.50%,2.30%,2.20%,2.52%
Payout Ratio,20.90%,22.90%,26.90%,25.70%,15.00%,27.40%,24.30%,16.70%,20.60%,24.20%,26.21%
Buyback Yield / Dilution,0.40%,2.87%,4.59%,4.44%,3.62%,2.91%,3.64%,4.05%,5.51%,5.77%,6.07%
Total Shareholder Return,2.50%,5.37%,7.19%,6.84%,5.62%,5.21%,5.64%,6.55%,7.81%,7.97%,8.59%
