,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,"3,158","2,951","2,533","2,659","4,604","2,920","3,304","4,778","4,325","4,201"
Other Operating Activities,"7,389","3,599","4,243","3,328","1,524","3,094","2,151","1,180",726,-322
Operating Cash Flow,"10,547","6,550","6,776","5,987","6,128","6,014","5,455","5,958","5,051","3,879"
Operating Cash Flow Growth,-29.46%,-37.90%,3.45%,-11.64%,2.36%,-1.86%,-9.29%,9.22%,-15.22%,-23.20%
Acquisitions,0,0,-40,0,0,0,0,0,0,0
Change in Investments,"-11,056","-4,271","-4,771","-3,779","-5,363","-3,758","-3,048","-4,354","-2,419","-1,652"
Other Investing Activities,-35,30,-86,-76,-68,176,-123,-265,41,112
Investing Cash Flow,"-11,091","-4,241","-4,897","-3,855","-5,431","-3,582","-3,171","-4,619","-2,378","-1,540"
Dividends Paid,-635,-654,-656,-658,-661,-793,-771,-769,-855,-979
Share Issuance / Repurchase,-725,"-1,177","-1,279","-1,376","-1,318","-1,243","-1,578","-1,503","-2,275","-2,384"
Debt Issued / Paid,700,415,-274,376,-121,470,615,"1,195",453,-139
Other Financing Activities,"1,796","1,269",22,39,35,-50,21,-38,-62,-49
Financing Cash Flow,"1,136",-147,"-2,187","-1,619","-2,065","-1,616","-1,713","-1,115","-2,739","-3,551"
Exchange Rate Effect,-90,-47,0,-4,0,30,-12,21,-24,104
Net Cash Flow,502,"2,115",-308,509,"-1,368",846,559,245,-90,"-1,108"
Free Cash Flow,"10,547","6,550","6,776","5,987","6,128","6,014","5,455","5,958","5,051","3,879"
Free Cash Flow Growth,-29.46%,-37.90%,3.45%,-11.64%,2.36%,-1.86%,-9.29%,9.22%,-15.22%,-23.20%
Free Cash Flow Margin,44.06%,28.82%,32.46%,26.54%,28.28%,27.64%,24.45%,26.90%,22.85%,19.89%
Free Cash Flow Per Share,11.35,7.26,7.87,7.28,7.74,7.82,7.35,8.35,7.50,6.11
