,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,"2,543","4,658","4,350","4,859","3,491","4,337","4,896","5,141","5,051","3,943"
Cash & Cash Equivalents,"2,543","4,658","4,350","4,859","3,491","4,337","4,896","5,141","5,051","3,943"
Cash Growth,24.60%,83.17%,-6.61%,11.70%,-28.15%,24.23%,12.89%,5.00%,-1.75%,-21.94%
Receivables,"1,165",842,705,669,827,851,828,796,672,647
"Property, Plant & Equipment",481,429,427,433,434,443,581,601,538,530
Total Assets,"121,307","119,767","118,256","129,819","137,217","140,406","152,768","165,086","157,542","131,738"
Accounts Payable,"5,820","2,193",941,526,606,"1,052","1,876",964,"2,162","1,809"
Deferred Revenue,"10,642","8,626","7,857","6,916","5,959","5,090","4,243","3,597","2,576","1,825"
Total Liabilities,"106,687","101,420","100,548","109,337","112,619","116,944","123,809","131,527","124,289","111,598"
Total Debt,"4,897","5,282","4,971","5,360","5,289","5,778","6,569","7,899","7,956","7,442"
Debt Growth,12.52%,7.86%,-5.89%,7.83%,-1.32%,9.25%,13.69%,20.25%,0.72%,-6.46%
Common Stock,"-4,702","-5,788","-6,924","-8,129","-9,325","-10,477","-11,947","-13,359","-15,521","-17,798"
Retained Earnings,"19,885","22,156","24,007","25,981","29,895","31,788","34,291","37,984","41,381","44,367"
Comprehensive Income,-563,"1,979",625,"2,630","4,028","2,151","6,615","8,934","7,393","-6,429"
Shareholders' Equity,"14,620","18,347","17,708","20,482","24,598","23,462","28,959","33,559","33,253","20,140"
Net Cash / Debt,"-2,354",-624,-621,-501,"-1,798","-1,441","-1,673","-2,758","-2,905","-3,499"
Net Cash Per Share,-2.52,-0.69,-0.72,-0.61,-2.25,-1.86,-2.24,-3.85,-4.29,-5.49
Book Value Per Share,15.74,20.33,20.56,24.89,31.06,30.49,39.01,47.02,49.37,31.73
