,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"26,339","15,632","22,998","29,317","21,457","27,417","33,612","31,201","34,168","33,958","37,772"
Market Cap Growth,-0.28%,-40.65%,47.12%,27.47%,-26.81%,27.78%,22.60%,-7.17%,9.51%,-0.62%,-
Enterprise Value,"25,631","15,460","23,474","29,756","22,408","28,314","33,914","32,173","39,450","37,913","41,727"
PE Ratio,15.95,11.17,16.50,29.35,10.02,12.13,18.79,14.64,15.89,46.20,51.74
PS Ratio,1.37,0.82,1.31,1.44,0.90,1.16,1.70,1.30,1.22,1.00,1.11
PB Ratio,3.40,2.11,3.35,4.04,2.92,3.65,4.17,3.83,3.81,3.84,4.27
P/FCF Ratio,17.94,12.11,16.92,16.29,13.46,11.40,15.32,20.50,32.67,12.33,13.72
P/OCF Ratio,11.62,7.57,11.86,12.88,9.02,8.62,12.35,13.83,17.42,8.56,9.52
EV/Sales Ratio,1.33,0.81,1.34,1.46,0.94,1.20,1.71,1.34,1.41,1.11,1.22
EV/EBITDA Ratio,8.94,6.10,9.52,9.81,6.53,7.85,10.98,9.22,10.46,12.98,14.29
EV/EBIT Ratio,10.62,7.66,12.12,12.14,7.94,9.65,14.04,11.37,13.21,20.00,22.01
EV/FCF Ratio,17.46,11.98,17.27,16.53,14.06,11.77,15.46,21.14,37.72,13.77,15.16
Debt / Equity Ratio,0.22,0.22,0.27,0.28,0.34,0.32,0.52,0.51,0.88,0.76,0.76
Debt / EBITDA Ratio,0.59,0.65,0.75,0.66,0.72,0.66,1.35,1.19,2.08,2.29,2.29
Debt / FCF Ratio,1.15,1.27,1.37,1.11,1.55,0.98,1.90,2.73,7.51,2.43,2.43
Quick Ratio,1.33,1.22,1.02,0.91,0.84,0.82,1.21,1.01,0.68,0.65,0.65
Current Ratio,2.25,2.09,1.78,1.57,1.54,1.50,1.88,1.74,1.26,1.18,1.18
Asset Turnover,1.25,1.22,1.17,1.20,1.26,1.18,0.94,1.04,1.03,1.07,1.07
Interest Coverage,37.70,31.06,28.07,30.26,24.75,26.93,24.16,25.49,15.01,5.06,5.06
Return on Equity (ROE),21.60%,18.20%,20.20%,13.50%,29.30%,28.80%,23.80%,26.50%,24.90%,7.40%,7.40%
Return on Assets (ROA),10.70%,8.90%,9.30%,5.90%,11.40%,11.30%,8.50%,9.20%,7.90%,2.30%,2.30%
Return on Capital (ROIC),15.68%,13.86%,14.32%,9.42%,19.91%,21.16%,15.40%,15.01%,12.24%,4.72%,4.72%
Earnings Yield,6.27%,8.95%,6.06%,3.41%,9.98%,8.24%,5.32%,6.83%,6.30%,2.16%,1.95%
FCF Yield,5.57%,8.26%,5.91%,6.14%,7.43%,8.78%,6.53%,4.88%,3.06%,8.11%,7.29%
Dividend Yield,1.90%,4.00%,2.90%,2.40%,3.30%,2.70%,2.30%,2.60%,2.50%,2.70%,2.52%
Payout Ratio,31.10%,44.70%,48.50%,70.30%,33.60%,33.70%,43.80%,38.00%,39.70%,125.20%,130.49%
Buyback Yield / Dilution,2.49%,2.78%,5.26%,1.37%,3.26%,4.58%,3.39%,3.36%,1.40%,-0.51%,-0.51%
Total Shareholder Return,4.39%,6.78%,8.16%,3.77%,6.56%,7.28%,5.69%,5.96%,3.90%,2.19%,2.01%
