,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"20,952","24,083","16,754","22,399","24,992","19,967","27,359","29,891","30,642","34,419","56,372"
Market Cap Growth,31.27%,14.94%,-30.43%,33.70%,11.58%,-20.11%,37.02%,9.26%,2.51%,12.33%,-
Enterprise Value,"26,358","29,304","21,881","27,818","30,140","25,461","33,244","35,776","36,086","39,585","61,648"
PE Ratio,17.89,17.72,10.45,42.94,14.92,9.10,11.46,22.97,16.43,11.43,13.77
PS Ratio,1.22,1.27,0.88,1.32,1.29,0.85,1.07,1.60,1.30,1.19,1.65
PB Ratio,3.16,3.57,2.41,3.31,3.10,2.32,2.82,2.88,2.64,2.61,3.52
P/FCF Ratio,41.66,41.08,20.17,66.68,28.75,19.20,30.76,22.16,55.32,21.03,18.52
P/OCF Ratio,8.82,11.34,6.55,9.74,9.20,6.67,9.56,10.01,14.01,11.37,13.26
EV/Sales Ratio,1.54,1.54,1.14,1.63,1.55,1.08,1.30,1.91,1.53,1.37,1.80
EV/EBITDA Ratio,9.90,9.55,6.51,12.36,8.79,6.28,7.54,12.32,10.46,8.15,9.40
EV/EBIT Ratio,14.24,13.62,8.91,22.12,12.98,8.50,9.98,19.30,14.17,9.74,10.86
EV/FCF Ratio,52.41,49.98,26.34,82.82,34.68,24.48,37.37,26.52,65.15,24.19,20.25
Debt / Equity Ratio,1.27,1.22,1.24,1.25,1.10,1.16,1.16,1.04,0.90,0.87,0.81
Debt / EBITDA Ratio,3.17,2.68,2.56,3.77,2.59,2.46,2.55,3.74,3.02,2.36,1.97
Debt / FCF Ratio,16.75,14.04,10.34,25.23,10.22,9.57,12.62,8.05,18.83,7.01,4.25
Quick Ratio,1.54,1.53,1.69,1.75,1.62,1.55,1.66,1.69,1.47,1.50,1.90
Current Ratio,1.93,1.96,2.07,2.11,2.03,1.92,2.01,2.13,2.04,2.00,2.50
Asset Turnover,0.87,0.91,0.91,0.81,0.87,0.95,0.94,0.69,0.82,0.92,0.96
Interest Coverage,11.87,16.09,20.81,9.89,15.53,16.04,14.45,9.65,16.88,18.79,13.44
Return on Equity (ROE),18.60%,19.50%,22.70%,7.80%,21.90%,25.00%,24.90%,13.00%,16.60%,23.70%,28.20%
Return on Assets (ROA),5.90%,6.50%,7.60%,2.50%,7.50%,8.90%,8.70%,4.80%,6.50%,9.60%,11.50%
Return on Capital (ROIC),8.39%,9.59%,10.81%,3.70%,10.20%,12.11%,11.80%,6.50%,8.69%,12.37%,16.12%
Earnings Yield,5.59%,5.64%,9.57%,2.33%,6.70%,10.99%,8.73%,4.35%,6.09%,8.75%,7.28%
FCF Yield,2.40%,2.43%,4.96%,1.50%,3.48%,5.21%,3.25%,4.51%,1.81%,4.75%,5.40%
Dividend Yield,2.90%,2.70%,4.90%,2.40%,3.10%,5.40%,4.50%,2.30%,3.20%,4.20%,0.96%
Payout Ratio,51.30%,48.60%,51.30%,104.70%,46.00%,49.40%,52.00%,52.80%,52.90%,48.50%,13.21%
Buyback Yield / Dilution,0.17%,-0.25%,0.14%,1.07%,-0.31%,0.31%,1.22%,0.01%,-0.29%,-0.13%,-0.38%
Total Shareholder Return,3.07%,2.45%,5.04%,3.47%,2.79%,5.71%,5.72%,2.31%,2.91%,4.07%,0.58%
