,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"16,208","19,305","20,637","18,839","20,952","21,219","19,870","21,328","19,576","23,873","23,581","21,183","22,199","22,451","21,758","23,397","26,061","25,359","27,352","26,676","26,309","30,002","29,729","31,390","29,863","22,685","24,857","27,771","29,491","30,412","30,197","30,790","33,743","35,145","31,593","28,051","30,571","31,148","31,240","28,404","29,794"
Market Cap Growth,4.69%,11.11%,24.88%,13.09%,29.27%,9.91%,-3.71%,13.21%,-6.57%,12.51%,18.68%,-0.68%,13.40%,-5.96%,-7.73%,10.46%,17.40%,12.96%,25.71%,14.01%,0.95%,18.31%,8.69%,17.67%,13.51%,-24.39%,-16.39%,-11.53%,-1.25%,34.06%,21.49%,10.87%,14.42%,15.57%,4.62%,-8.89%,-9.40%,-11.37%,-1.12%,1.26%,-
Enterprise Value,"24,418","27,238","29,094","27,099","29,648","29,295","28,587","30,289","29,114","33,531","33,868","31,685","33,559","33,971","33,849","35,845","39,358","38,907","41,587","41,366","41,610","45,454","45,642","47,395","46,212","38,919","41,527","44,250","46,443","47,293","47,439","48,955","52,700","53,070","50,549","47,758","50,545","50,327","50,525","48,254","49,644"
PE Ratio,13.04,14.75,17.37,15.17,13.80,12.35,10.74,11.55,11.66,15.26,16.77,16.37,25.03,42.36,48.14,45.00,16.56,12.57,12.56,12.15,18.30,18.99,20.31,21.57,17.64,15.74,14.29,14.53,15.48,14.45,20.45,-46.51,-52.07,-27.08,-31.91,40.77,29.65,13.43,11.24,10.13,10.66
PS Ratio,1.63,1.86,2.00,1.81,1.93,1.97,1.83,1.96,1.88,2.41,2.49,2.29,2.48,2.51,2.37,2.61,2.87,2.72,2.98,2.86,2.71,3.04,2.93,3.12,2.96,2.30,2.59,2.87,3.07,3.13,3.17,3.40,3.47,3.84,3.38,2.89,3.12,2.77,2.70,2.41,2.53
PB Ratio,1.40,1.64,1.74,1.56,1.72,1.69,1.56,1.65,1.50,1.79,1.77,1.57,1.69,1.73,1.68,1.78,1.88,1.80,1.93,1.86,1.83,2.03,2.02,2.10,1.98,1.49,1.61,1.75,1.85,1.87,1.90,2.19,2.34,2.59,2.35,2.12,2.23,2.12,2.08,1.87,1.96
P/FCF Ratio,46.71,27.54,32.81,30.00,61.62,27.74,32.47,124.00,349.57,-32.84,-34.48,-34.50,-25.05,-24.95,-25.21,-24.00,-28.02,-25.93,-25.42,-23.14,-27.18,-47.47,-79.07,-871.94,105.52,77.42,79.41,45.38,61.44,68.96,55.82,-56.19,-81.50,40.49,137.36,67.43,57.36,-1245.93,55.49,37.28,39.10
P/OCF Ratio,5.13,5.68,6.32,5.78,6.63,5.70,5.04,5.54,5.00,6.91,6.92,6.14,6.70,6.81,6.50,7.12,7.99,7.92,8.72,8.84,9.03,10.03,9.58,10.03,8.84,6.85,7.72,8.71,9.51,10.22,12.14,17.46,19.44,29.76,30.29,22.28,20.34,10.86,8.79,7.29,7.64
Debt / Equity Ratio,0.75,0.73,0.76,0.74,0.75,0.72,0.73,0.72,0.76,0.77,0.82,0.81,0.90,0.90,0.97,0.97,0.98,0.97,1.01,1.03,1.08,1.05,1.08,1.08,1.09,1.12,1.10,1.10,1.09,1.09,1.09,1.42,1.37,1.44,1.58,1.52,1.49,1.38,1.32,1.31,1.31
Quick Ratio,0.65,0.91,0.73,0.83,0.56,0.91,0.83,0.64,0.46,0.64,0.59,0.59,0.56,0.52,0.52,0.39,0.47,0.41,0.34,0.33,0.38,0.38,0.35,0.36,0.34,0.44,0.32,0.46,0.40,0.54,0.38,0.42,0.41,0.67,0.56,0.33,0.41,0.57,0.38,0.32,0.32
Current Ratio,1.18,1.15,1.10,1.23,1.18,1.15,1.17,0.89,0.98,1.11,1.12,1.14,0.99,0.87,1.01,0.80,0.80,0.71,0.71,0.72,0.71,0.68,0.79,0.75,0.64,0.72,0.65,0.77,0.66,0.79,0.71,0.84,0.88,0.89,0.78,0.60,0.64,0.80,0.67,0.63,0.63
Interest Coverage,4.07,7.66,4.45,8.05,8.97,11.04,6.47,8.54,5.32,9.20,3.87,6.20,-1.57,2.46,2.85,7.47,4.04,8.38,4.30,5.17,2.48,7.38,1.97,3.95,4.52,4.22,4.71,5.67,4.76,6.24,-0.63,-14.60,5.71,-0.12,1.65,1.34,6.63,9.81,5.02,1.35,5.67
