,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash & Equivalents,611.38,437.47,283.66,481.92,635.07,656.1,808.04,801.65,"1,441","1,398"
Cash & Cash Equivalents,611.38,437.47,283.66,481.92,635.07,656.1,808.04,801.65,"1,441","1,398"
Cash Growth,13.84%,-28.45%,-35.16%,69.90%,31.78%,3.31%,23.16%,-0.79%,79.75%,-2.98%
Receivables,"2,076","2,223","2,542","2,696","3,481","4,314","4,468","5,087","5,755","6,334"
Total Assets,"19,808","20,818","20,545","21,322","23,592","24,751","27,324","32,712","38,185","39,966"
Accounts Payable,116.39,139.84,173.09,190.99,218.02,218.44,291.66,294.35,450,567
Total Liabilities,"12,746","12,945","12,937","13,246","15,223","16,890","18,191","22,985","28,046","31,526"
Total Debt,488.32,638.36,632.96,633.18,633.4,633.61,633.83,"1,910","3,089","3,084"
Debt Growth,-40.32%,30.73%,-0.85%,0.03%,0.03%,0.03%,0.03%,201.40%,61.69%,-0.16%
Common Stock,44.58,-416.41,-781.63,"-1,130.77","-1,155.79","-1,208.08","-1,201.8","-1,376.18","-1,573","-1,605"
Retained Earnings,"6,766","7,819","8,622","9,423","9,686","9,531","10,307","10,567","11,700","12,042"
Comprehensive Income,157.73,48.32,-231.76,-216.76,-160.89,-462.56,28.15,534.9,12,"-1,996"
Shareholders' Equity,"6,968","7,451","7,609","8,075","8,369","7,861","9,133","9,726","10,139","8,441"
Net Cash / Debt,123.06,-200.89,-349.3,-151.25,1.67,22.48,174.2,"-1,108.74","-1,648","-1,686"
Net Cash / Debt Growth,-,-,-,-,-,1244.62%,674.86%,-,-,-
Book Value Per Share,145.47,164.68,176.60,197.57,203.78,193.39,223.94,243.36,257.54,215.52
