,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"7,467","7,706","7,888","8,845","9,087","8,852","11,290","9,356","10,784","12,974","15,962"
Market Cap Growth,31.33%,3.20%,2.37%,12.13%,2.74%,-2.59%,27.55%,-17.13%,15.27%,20.31%,-
Enterprise Value,"7,343","7,906","8,237","8,996","9,085","8,829","11,116","10,464","12,432","14,660","17,282"
PE Ratio,5.93,6.43,8.07,8.88,18.82,99.41,11.18,18.20,7.82,21.73,6.84
PS Ratio,1.32,1.36,1.39,1.53,1.37,1.20,1.37,0.98,0.91,1.08,1.13
PB Ratio,1.07,1.03,1.04,1.10,1.09,1.13,1.24,0.96,1.06,1.54,1.42
P/FCF Ratio,6.80,7.31,7.12,6.39,7.82,14.51,6.10,3.26,2.81,3.51,3.51
P/OCF Ratio,6.80,7.31,7.12,6.39,7.82,14.51,6.10,3.26,2.81,3.51,3.51
EV/Sales Ratio,1.30,1.39,1.45,1.55,1.37,1.20,1.35,1.09,1.05,1.22,1.22
EV/EBITDA Ratio,4.60,5.55,7.17,7.92,20.14,-41.81,9.83,16.85,7.69,21.28,6.71
EV/EBIT Ratio,4.60,5.55,7.17,7.92,20.14,-41.81,9.83,16.85,7.69,21.28,6.71
EV/FCF Ratio,6.69,7.50,7.43,6.50,7.81,14.47,6.00,3.64,3.24,3.97,3.80
Debt / Equity Ratio,0.07,0.09,0.08,0.08,0.08,0.08,0.07,0.20,0.30,0.37,0.27
Debt / EBITDA Ratio,0.31,0.45,0.55,0.56,1.40,-3.00,0.56,3.08,1.91,4.48,1.20
Debt / FCF Ratio,0.44,0.61,0.57,0.46,0.54,1.04,0.34,0.66,0.81,0.83,0.68
Asset Turnover,0.28,0.27,0.27,0.27,0.29,0.31,0.31,0.32,0.33,0.31,0.33
Interest Coverage,34.59,36.99,31.72,31.36,14.27,-6.80,35.68,17.25,23.09,6.82,20.45
Return on Equity (ROE),18.60%,16.40%,12.80%,12.50%,5.80%,1.10%,11.40%,5.50%,13.70%,6.90%,22.30%
Return on Assets (ROA),6.40%,5.70%,4.60%,4.70%,2.10%,0.40%,3.80%,1.70%,3.80%,1.60%,5.10%
Return on Capital (ROIC),17.46%,15.24%,12.25%,11.82%,5.77%,-2.49%,10.63%,4.70%,10.89%,6.07%,16.22%
Earnings Yield,16.87%,15.56%,12.40%,11.26%,5.31%,1.01%,8.94%,5.49%,12.79%,4.60%,13.84%
FCF Yield,14.71%,13.69%,14.05%,15.64%,12.80%,6.89%,16.40%,30.72%,35.54%,28.48%,28.51%
Dividend Yield,1.40%,1.90%,2.20%,2.20%,2.30%,2.40%,2.10%,2.60%,2.30%,2.00%,1.90%
Payout Ratio,8.50%,12.20%,17.90%,19.70%,42.90%,243.10%,23.20%,48.40%,17.90%,42.80%,13.01%
Buyback Yield / Dilution,7.36%,5.54%,4.78%,5.13%,-0.48%,1.03%,-0.33%,2.00%,1.49%,0.52%,-10.13%
Total Shareholder Return,8.76%,7.44%,6.98%,7.33%,1.82%,3.43%,1.77%,4.60%,3.79%,2.52%,-8.23%
