,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"3,425","3,658","4,197","4,387","5,559","7,896","10,094","17,511","13,600","12,852","11,257"
Market Cap Growth,34.59%,6.83%,14.71%,4.53%,26.73%,42.04%,27.83%,73.49%,-22.34%,-5.50%,-
Enterprise Value,"3,074","3,625","4,196","4,573","5,716","8,235","10,256","17,700","13,679","13,102","11,677"
PE Ratio,30.87,33.96,40.17,57.65,44.07,82.19,44.02,124.72,49.99,45.05,52.27
PS Ratio,9.57,8.09,8.41,7.79,8.65,11.06,13.66,18.81,12.30,11.31,9.83
PB Ratio,4.31,4.32,4.77,4.62,5.15,6.77,7.31,11.20,7.99,6.54,5.73
P/FCF Ratio,27.86,30.63,32.98,34.13,37.20,50.55,65.77,56.88,48.51,59.46,49.94
P/OCF Ratio,25.04,26.25,29.11,30.52,32.63,43.48,49.18,49.73,41.81,50.52,40.72
EV/Sales Ratio,8.59,8.01,8.41,8.12,8.89,11.53,13.88,19.01,12.37,11.53,10.20
EV/EBITDA Ratio,17.03,18.79,21.85,25.50,28.50,38.87,27.10,70.60,32.36,28.67,31.31
EV/EBIT Ratio,19.05,23.28,28.12,38.32,41.99,61.59,34.69,108.62,42.53,37.47,44.45
EV/FCF Ratio,25.01,30.34,32.97,35.57,38.25,52.72,66.83,57.49,48.79,60.62,51.81
Debt / Equity Ratio,0.02,0.09,0.11,0.36,0.31,0.43,0.31,0.27,0.19,0.23,0.28
Debt / EBITDA Ratio,0.07,0.40,0.50,1.92,1.69,2.38,1.15,1.68,0.77,1.00,1.49
Debt / FCF Ratio,0.11,0.64,0.75,2.67,2.27,3.23,2.82,1.37,1.16,2.10,2.47
Quick Ratio,15.85,4.55,3.49,2.03,3.80,2.98,3.69,2.48,2.51,3.29,2.54
Current Ratio,17.79,6.24,4.69,2.57,5.01,4.05,4.88,3.35,3.44,4.84,4.37
Asset Turnover,0.44,0.42,0.44,0.37,0.41,0.38,0.37,0.44,0.48,0.46,0.43
Interest Coverage,-,100.85,85.37,16.21,13.36,6.16,15.40,11.68,28.44,31.18,23.42
Return on Equity (ROE),14.60%,13.10%,12.20%,8.40%,12.30%,8.50%,17.70%,9.30%,16.10%,15.30%,11.50%
Return on Assets (ROA),13.60%,10.00%,9.30%,5.00%,8.00%,5.10%,11.50%,6.60%,11.90%,11.50%,8.40%
Return on Capital (ROIC),13.59%,11.12%,10.95%,6.34%,9.62%,7.53%,7.19%,11.27%,12.82%,10.40%,9.50%
Earnings Yield,3.24%,2.94%,2.49%,1.73%,2.27%,1.22%,2.27%,0.80%,2.00%,2.22%,1.99%
FCF Yield,3.59%,3.27%,3.03%,2.93%,2.69%,1.98%,1.52%,1.76%,2.06%,1.68%,2.00%
Dividend Yield,1.30%,1.30%,1.10%,1.10%,0.90%,0.60%,0.50%,0.30%,0.40%,0.40%,0.45%
Payout Ratio,40.80%,43.90%,45.50%,62.70%,38.10%,50.40%,21.30%,35.20%,18.50%,17.70%,23.36%
Buyback Yield / Dilution,-0.28%,-0.61%,-0.26%,-0.47%,-1.48%,-2.20%,-1.31%,-2.75%,-1.35%,1.38%,1.04%
Total Shareholder Return,1.02%,0.69%,0.84%,0.63%,-0.58%,-1.60%,-0.81%,-2.45%,-0.95%,1.78%,1.49%
