,2014-01-26,2014-04-27,2014-08-03,2014-11-02,2015-02-01,2015-05-03,2015-08-02,2015-11-01,2016-01-31,2016-05-01,2016-07-31,2016-10-30,2017-01-29,2017-04-30,2017-07-30,2017-10-29,2018-01-28,2018-04-29,2018-07-29,2018-10-28,2019-01-27,2019-04-28,2019-07-28,2019-10-27,2020-01-26,2020-04-26,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30,2022-05-01,2022-07-31,2022-10-30,2023-01-29,2023-04-30,2023-07-30,2023-10-29,Current
Market Capitalization,"13,322","14,100","13,257","13,879","14,332","14,202","15,312","15,734","17,489","19,077","19,219","16,690","19,215","17,514","16,017","14,464","14,231","12,651","12,308","11,043","10,307","11,635","12,335","13,993","14,718","15,314","14,978","14,107","14,575","14,469","13,249","12,046","13,343","14,246","14,833","15,785","15,312","16,262","13,787","12,049","12,356"
Market Cap Growth,15.99%,-2.86%,-10.06%,4.02%,7.58%,0.73%,15.50%,13.36%,22.02%,34.33%,25.52%,6.08%,9.87%,-8.20%,-16.66%,-13.33%,-25.94%,-27.77%,-23.15%,-23.65%,-27.57%,-8.03%,0.22%,26.71%,42.79%,31.61%,21.43%,0.81%,-0.97%,-5.52%,-11.54%,-14.61%,-8.45%,-1.54%,11.96%,31.05%,14.76%,14.14%,-7.06%,-23.67%,-
Enterprise Value,"17,234","17,787","17,040","17,712","18,024","17,757","19,141","19,567","21,027","22,380","22,456","19,988","22,384","20,593","19,234","17,762","17,941","22,295","21,775","20,684","19,561","20,713","20,778","22,269","20,481","20,767","20,315","19,465","19,650","19,461","18,238","17,024","18,015","18,798","19,534","20,507","19,724","20,798","18,287","16,664","16,971"
PE Ratio,25.62,26.96,15.31,14.73,17.08,17.03,22.99,25.71,26.70,28.86,34.14,25.25,38.66,35.89,18.06,16.63,13.50,26.08,47.16,61.35,-62.85,37.17,58.46,76.47,10.15,9.98,9.20,7.97,18.04,18.09,13.22,12.63,14.49,15.01,19.60,19.91,18.83,20.72,16.07,15.16,15.70
PS Ratio,1.64,1.73,1.60,1.66,1.72,1.72,1.90,1.96,2.19,2.40,2.41,2.10,2.42,2.21,2.74,2.50,2.45,2.17,1.86,1.55,1.45,1.62,1.52,1.73,1.82,1.83,1.72,1.59,1.63,1.66,1.56,1.44,1.61,1.69,1.73,1.77,1.67,1.75,1.47,1.30,1.33
PB Ratio,9.45,8.80,8.21,8.58,9.39,8.89,11.09,11.13,11.46,11.38,12.60,10.50,13.07,11.83,9.78,8.61,7.33,9.01,9.02,7.85,8.12,9.48,11.18,11.29,5.90,5.95,5.84,5.10,4.99,4.83,4.20,3.72,3.98,4.20,4.45,4.55,4.25,4.54,3.77,3.21,3.29
P/FCF Ratio,24.13,23.15,23.10,19.28,18.69,19.51,18.21,17.80,17.54,17.44,16.64,14.48,17.50,17.87,16.86,15.95,15.30,13.53,13.71,12.44,10.12,11.98,12.16,14.31,17.07,14.65,13.65,12.61,13.50,16.39,17.43,13.80,14.53,14.38,15.80,18.14,17.42,23.98,17.84,18.42,18.89
P/OCF Ratio,15.09,15.36,14.75,13.23,12.80,12.83,12.70,12.47,12.71,13.19,12.89,11.37,13.69,13.57,12.44,11.53,11.11,9.72,9.43,8.19,6.91,8.14,8.82,10.37,12.11,11.14,10.73,10.12,10.84,12.56,12.80,10.54,11.21,11.35,12.56,14.09,13.35,16.29,12.06,11.05,11.34
Debt / Equity Ratio,2.98,2.44,2.49,2.52,2.55,2.37,2.96,2.90,2.52,2.20,2.32,2.26,2.37,2.29,2.16,2.06,2.01,7.01,6.98,7.00,7.45,7.56,7.68,6.73,2.33,2.60,2.42,2.20,2.06,1.74,1.60,1.56,1.50,1.40,1.44,1.40,1.27,1.33,1.28,1.25,1.25
Quick Ratio,0.34,0.32,0.30,0.34,0.35,0.37,0.32,0.38,0.42,0.43,0.36,0.41,0.42,0.40,0.39,0.36,0.31,0.32,0.17,0.33,0.34,0.27,0.18,0.23,0.28,0.58,0.47,0.51,0.59,0.40,0.37,0.34,0.42,0.26,0.23,0.28,0.28,0.33,0.32,0.35,0.35
Current Ratio,0.68,0.69,0.70,0.74,0.73,0.82,0.75,0.81,0.83,0.86,0.75,0.78,0.78,0.76,0.79,0.77,0.64,0.68,0.64,0.69,0.70,0.62,0.58,0.60,0.61,0.84,0.78,0.85,0.91,0.94,0.93,0.80,0.85,0.69,0.68,0.76,0.77,0.92,0.93,0.97,0.97
Interest Coverage,15.79,9.48,10.06,15.00,13.00,9.86,1.59,10.90,14.82,9.28,-1.24,15.79,7.10,10.31,15.39,13.32,7.59,-6.95,2.24,3.75,0.99,2.31,0.95,3.93,9.33,5.00,2.75,8.38,7.31,5.02,8.74,8.00,7.02,5.78,3.78,9.30,7.78,5.43,5.59,7.33,6.52
Return on Capital (ROIC),Upgrade,14.99%,15.46%,15.59%,16.63%,16.84%,16.85%,13.71%,12.65%,13.79%,13.96%,13.17%,14.76%,12.08%,12.01%,19.21%,19.05%,20.36%,10.26%,8.21%,7.55%,7.89%,8.22%,8.74%,8.45%,9.92%,9.25%,10.37%,11.69%,10.92%,11.87%,14.17%,13.41%,12.83%,13.48%,11.09%,11.26%,11.69%,11.07%,11.95%,11.06%
Dividend Yield,2.20%,2.70%,3.00%,2.80%,2.70%,2.70%,2.50%,2.50%,2.20%,2.00%,2.00%,2.40%,2.10%,2.40%,2.60%,2.90%,3.00%,3.30%,3.40%,3.80%,4.10%,3.60%,3.40%,3.00%,2.90%,2.80%,2.80%,3.00%,3.00%,3.00%,3.30%,3.70%,3.30%,3.10%,3.00%,2.80%,2.90%,2.70%,3.20%,3.70%,3.57%
Payout Ratio,30.00%,52.90%,52.90%,39.50%,43.90%,53.80%,520.00%,49.50%,36.70%,52.00%,-120.00%,36.80%,106.10%,60.30%,33.00%,38.50%,36.80%,-26.70%,109.40%,54.70%,-175.00%,125.00%,-1166.70%,63.60%,8.70%,62.50%,125.00%,34.30%,45.70%,69.80%,38.90%,43.00%,52.90%,59.70%,115.60%,37.40%,47.40%,68.50%,64.90%,46.80%,56.06%
Buyback Yield / Dilution,-,0.32%,0.32%,0.32%,0.63%,1.27%,1.90%,1.27%,0.64%,0.32%,-0.32%,0.64%,0.96%,1.61%,2.25%,2.58%,2.59%,1.63%,0.66%,-,-0.33%,-0.33%,-,-0.33%,-0.66%,-0.66%,-0.66%,-0.33%,-0.33%,-0.33%,-0.33%,0.33%,0.66%,0.98%,1.97%,0.66%,0.66%,0.33%,-0.67%,0.66%,0.66%
Total Shareholder Return,2.20%,3.02%,3.32%,3.12%,3.33%,3.97%,4.40%,3.77%,2.84%,2.32%,1.68%,3.04%,3.06%,4.01%,4.85%,5.48%,5.59%,4.93%,4.06%,3.80%,3.77%,3.27%,3.40%,2.67%,2.24%,2.14%,2.14%,2.67%,2.67%,2.67%,2.97%,4.03%,3.96%,4.08%,4.97%,3.46%,3.56%,3.03%,2.53%,4.36%,4.24%
