,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"5,512","6,191","7,231","11,808","12,228","19,723","38,055","51,645","44,066","74,102","79,031"
Market Cap Growth,37.51%,12.32%,16.80%,63.30%,3.55%,61.29%,92.95%,35.71%,-14.68%,68.16%,-
Enterprise Value,"5,180","5,823","7,456","11,850","12,140","19,364","37,473","50,904","43,932","73,742","78,672"
PE Ratio,34.69,24.53,35.60,57.86,35.36,19.94,64.43,74.21,51.91,71.17,75.99
PS Ratio,3.49,3.64,3.98,6.08,5.72,8.44,14.18,17.28,12.37,18.12,19.32
PB Ratio,4.13,4.50,9.75,11.94,9.49,9.38,15.26,18.84,16.05,21.77,23.22
P/FCF Ratio,19.90,18.57,18.44,28.60,22.51,30.11,46.97,49.87,39.39,59.43,63.39
P/OCF Ratio,17.40,16.37,16.25,25.08,20.22,27.03,42.05,46.91,35.48,54.92,58.58
EV/Sales Ratio,3.28,3.42,4.11,6.10,5.68,8.29,13.97,17.03,12.33,18.03,19.24
EV/EBITDA Ratio,15.66,14.06,19.60,25.97,23.43,31.17,46.63,55.56,36.50,50.38,53.74
EV/EBIT Ratio,24.08,19.68,28.59,34.78,30.39,38.90,57.34,64.81,41.12,55.95,59.69
EV/FCF Ratio,18.71,17.47,19.02,28.70,22.35,29.56,46.26,49.15,39.27,59.14,63.10
Debt / Equity Ratio,0.52,0.25,0.93,0.74,0.35,0.16,0.14,0.13,0.27,0.19,0.19
Debt / EBITDA Ratio,2.09,0.83,1.82,1.60,0.86,0.56,0.43,0.38,0.62,0.44,0.44
Debt / FCF Ratio,2.50,1.03,1.77,1.77,0.82,0.53,0.43,0.34,0.67,0.52,0.52
Quick Ratio,0.82,1.64,1.09,1.39,1.17,1.50,1.59,1.47,1.02,0.94,0.94
Current Ratio,1.33,1.80,1.20,1.53,1.34,1.74,1.86,1.77,1.27,1.24,1.24
Asset Turnover,0.56,0.67,0.79,0.85,0.88,0.84,0.68,0.72,0.76,0.76,0.76
Interest Coverage,6.30,10.45,11.02,13.28,17.27,26.44,31.50,46.26,46.58,36.43,36.43
Return on Equity (ROE),12.50%,18.30%,20.40%,21.50%,28.40%,62.00%,25.40%,26.70%,31.30%,33.70%,33.70%
Return on Assets (ROA),5.70%,10.00%,8.80%,8.90%,14.20%,35.40%,14.90%,16.60%,18.00%,19.40%,19.40%
Return on Capital (ROIC),8.96%,15.66%,14.61%,12.21%,20.99%,41.47%,21.22%,22.85%,24.96%,25.07%,25.07%
Earnings Yield,2.88%,4.08%,2.81%,1.73%,2.83%,5.01%,1.55%,1.35%,1.93%,1.41%,1.32%
FCF Yield,5.02%,5.39%,5.42%,3.50%,4.44%,3.32%,2.13%,2.01%,2.54%,1.68%,1.58%
Buyback Yield / Dilution,-4.15%,-1.80%,6.74%,3.79%,-0.33%,0.22%,0.31%,0.28%,1.38%,0.82%,0.82%
Total Shareholder Return,-4.15%,-1.80%,6.74%,3.79%,-0.33%,0.22%,0.31%,0.28%,1.38%,0.82%,0.82%
