,2014-03-28,2014-06-27,2014-09-26,2014-12-26,2015-03-27,2015-06-26,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-09-27,2019-12-27,2020-03-27,2020-06-26,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29,Current
Market Capitalization,"8,326","7,083","6,610","5,817","5,681","5,303","4,630","5,141","5,362","6,065","6,280","6,883","6,693","6,550","7,011","7,946","8,380","9,002","10,856","8,192","10,490","11,528","12,288","11,896","9,963","10,733","12,271","14,124","16,905","17,283","17,548","17,954","18,036","16,258","13,844","15,169","14,890","15,081","17,188","16,358","18,539"
Market Cap Growth,13.57%,-1.78%,-12.99%,-28.45%,-31.76%,-25.12%,-29.96%,-11.62%,-5.62%,14.35%,35.64%,33.87%,24.81%,8.00%,11.63%,15.45%,25.21%,37.44%,54.84%,3.09%,25.18%,28.06%,13.20%,45.22%,-5.03%,-6.90%,-0.14%,18.73%,69.68%,61.02%,43.01%,27.12%,6.69%,-5.93%,-21.11%,-15.51%,-17.44%,-7.24%,24.15%,7.84%,-
Enterprise Value,"8,631","7,141","6,678","5,898","5,972","5,435","4,767","5,322","5,335","5,936","6,012","6,536","6,356","6,077","6,475","9,479","10,062","10,523","12,368","9,977","12,657","11,778","12,607","12,891","11,406","11,864","13,637","15,443","20,000","19,956","20,358","20,704","20,901","19,535","16,869","18,204","17,860","17,914","19,831","18,782","20,962"
PE Ratio,20.98,20.07,20.15,17.39,17.06,14.77,15.28,20.61,23.05,28.79,29.84,30.66,31.98,28.57,23.87,33.76,35.82,30.51,66.42,28.69,35.69,17.26,14.49,12.13,11.98,19.44,24.95,28.71,28.41,33.50,36.79,50.71,41.77,35.19,21.50,23.49,19.25,20.34,25.82,23.31,26.35
PS Ratio,0.67,0.56,0.52,0.45,0.45,0.43,0.38,0.44,0.46,0.53,0.57,0.65,0.66,0.65,1.11,1.43,1.37,1.38,1.03,0.69,0.87,0.93,0.97,0.91,0.75,0.80,0.90,1.04,1.23,1.23,1.25,1.27,1.25,1.11,0.93,0.99,0.96,0.95,1.05,0.98,1.11
PB Ratio,1.88,1.57,1.48,1.31,1.30,1.22,1.08,1.19,1.23,1.37,1.47,1.69,1.63,1.55,1.58,1.35,1.41,1.51,1.85,1.42,1.92,1.90,2.15,1.98,1.79,1.84,2.11,2.32,2.81,2.81,2.95,2.96,2.97,2.74,2.28,2.45,2.33,2.31,2.63,2.45,2.78
P/FCF Ratio,31.85,19.34,11.02,13.85,10.93,10.03,11.68,17.20,9.22,12.64,10.25,9.95,12.56,12.71,15.27,20.15,26.72,25.23,27.87,68.37,38.81,-84.71,-24.81,-29.05,-23.06,97.40,17.82,14.96,16.24,20.07,27.68,21.36,24.79,53.84,38.83,46.78,45.91,16.97,20.49,16.87,19.12
P/OCF Ratio,21.26,14.26,9.16,10.89,9.02,8.51,9.55,13.81,8.32,11.16,9.23,9.01,10.85,10.65,12.20,15.54,19.58,19.43,22.56,39.09,28.22,-1421.33,-33.53,-42.65,-33.63,47.00,15.21,13.37,14.80,18.08,24.16,19.20,21.93,40.66,29.16,33.31,32.17,14.60,17.63,15.00,16.99
Debt / Equity Ratio,0.23,0.18,0.18,0.17,0.17,0.16,0.14,0.15,0.12,0.11,0.09,0.10,0.08,0.07,0.05,0.44,0.42,0.39,0.37,0.46,0.52,0.21,0.25,0.27,0.56,0.37,0.44,0.44,0.74,0.66,0.64,0.66,0.67,0.74,0.69,0.69,0.66,0.60,0.55,0.53,0.53
Quick Ratio,1.72,1.62,1.53,1.52,1.58,1.54,1.52,1.61,1.55,1.58,1.55,1.62,1.58,1.55,1.49,1.42,1.43,1.38,1.00,1.15,1.07,1.15,1.28,1.30,1.84,1.53,1.49,1.61,1.37,1.42,1.28,1.36,1.21,1.38,1.40,1.43,1.48,1.41,1.31,1.32,1.32
