,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,769,597,675,670,"1,303","1,641","1,446","2,724","2,001","2,544","3,501"
Market Cap Growth,77.32%,-22.38%,12.94%,-0.66%,94.42%,25.94%,-11.88%,88.36%,-26.53%,27.12%,-
Enterprise Value,572,368,447,470,"1,046","1,318","1,154","2,766","2,116","2,574","3,511"
PE Ratio,56.09,206.31,75.23,51.15,72.94,34.59,35.20,116.74,-477.82,-14.44,-24.67
PS Ratio,3.06,2.30,2.89,2.88,4.85,5.22,3.94,6.90,4.49,4.71,5.36
PB Ratio,2.25,1.71,1.87,1.75,3.19,3.55,2.84,4.45,3.29,4.62,4.41
P/FCF Ratio,28.64,17.50,-121.10,-34.34,21.84,90.90,103.59,36.18,-62.72,-733.52,-47.16
P/OCF Ratio,22.63,15.15,1224.23,-63.83,18.83,60.89,57.61,31.47,-208.06,223.14,-64.94
EV/Sales Ratio,2.27,1.42,1.91,2.02,3.90,4.19,3.14,7.00,4.75,4.76,5.37
EV/EBITDA Ratio,23.78,35.92,28.30,20.53,31.08,23.92,20.40,56.56,36.15,-35.04,-122.72
EV/EBIT Ratio,38.39,194.65,37.43,26.34,37.80,27.79,27.40,112.94,-232.07,-14.18,-25.83
EV/FCF Ratio,21.29,10.80,-80.31,-24.10,17.53,73.00,82.64,36.74,-66.31,-742.16,-47.33
Debt / Equity Ratio,-,-,0.00,0.00,-,-,0.02,0.36,0.36,0.30,0.14
Debt / EBITDA Ratio,-,-,0.03,0.01,-,-,0.18,4.56,3.70,-2.22,-4.54
Debt / FCF Ratio,-,-,-0.08,-0.01,-,-,0.73,2.96,-6.79,-46.95,-1.75
Quick Ratio,6.37,5.99,6.53,5.88,5.33,9.08,6.75,3.27,2.63,2.69,2.90
Current Ratio,8.13,7.04,7.43,7.37,6.43,10.47,7.53,4.18,3.64,3.93,4.79
Asset Turnover,0.69,0.67,0.60,0.58,0.61,0.64,0.66,0.59,0.49,0.61,0.73
Interest Coverage,-,-,-,-,-,-,-,39.62,-1.68,-19.38,-12.36
Return on Equity (ROE),4.30%,0.80%,2.50%,3.70%,4.60%,10.50%,8.30%,4.30%,-0.70%,-29.60%,-19.10%
Return on Assets (ROA),3.80%,0.70%,2.30%,3.30%,4.10%,9.60%,7.40%,3.50%,-0.50%,-19.90%,-13.60%
Return on Capital (ROIC),3.34%,0.88%,4.16%,3.99%,4.80%,6.66%,7.93%,5.07%,-1.20%,-25.03%,-12.10%
Earnings Yield,1.78%,0.48%,1.33%,1.95%,1.37%,2.89%,2.84%,0.86%,-0.21%,-6.93%,-3.47%
FCF Yield,3.49%,5.71%,-0.83%,-2.91%,4.58%,1.10%,0.97%,2.76%,-1.59%,-0.14%,-1.81%
Buyback Yield / Dilution,-1.47%,-1.88%,-0.03%,-0.67%,-2.17%,-1.08%,-0.07%,-1.14%,-1.33%,-1.46%,-8.26%
Total Shareholder Return,-1.47%,-1.88%,-0.03%,-0.67%,-2.17%,-1.08%,-0.07%,-1.14%,-1.33%,-1.46%,-8.26%
