,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,251.7,259.4,233.74,233.11,268.42,314.27,367.3,394.91,445.73,540.54
Revenue Growth (YoY),4.81%,3.06%,-9.89%,-0.27%,15.15%,17.08%,16.87%,7.52%,12.87%,21.27%
Cost of Revenue,158.09,155.13,128.16,136.23,160.74,185.87,214.19,230.35,304.5,367.02
Gross Profit,93.61,104.27,105.57,96.87,107.69,128.4,153.1,164.56,141.24,173.51
"Selling, General & Admin",55.68,55.76,50.46,47.64,50.83,60.34,59.49,67.48,96.43,131.91
Research & Development,25.52,46.49,35.04,28.47,26.43,34.23,46.48,53.76,54.69,64.26
Other Operating Expenses,0,0,0,0,0,0,0,0,0,156.02
Operating Expenses,81.19,102.25,85.5,76.11,77.26,94.58,105.97,121.25,151.12,352.18
Operating Income,12.42,2.01,20.07,20.77,30.43,33.83,47.14,43.31,-9.89,-178.66
Interest Expense / Income,0,0,0,0,0,-4.67,-4.83,0.62,5.44,9.37
Other Expense / Income,-2.48,0.12,8.12,2.91,2.76,-13.58,5.04,18.83,-0.77,2.84
Pretax Income,14.9,1.89,11.95,17.86,27.66,52.08,46.92,23.87,-14.56,-190.88
Income Tax,1.18,-1,2.98,4.76,9.8,4.64,5.85,0.54,-10.37,-14.66
Net Income,13.72,2.9,8.97,13.1,17.86,47.44,41.07,23.33,-4.19,-176.21
Net Income Growth,31.57%,-78.90%,209.71%,46.11%,36.36%,165.57%,-13.42%,-43.20%,-,-
Shares Outstanding (Basic),22,23,23,23,23,24,24,24,25,25
Shares Outstanding (Diluted),23,23,23,23,24,24,24,24,25,25
Shares Change,1.47%,1.88%,0.03%,0.67%,2.17%,1.08%,0.07%,1.14%,1.33%,1.46%
EPS (Basic),0.61,0.13,0.39,0.57,0.76,2.00,1.73,0.97,-0.17,-7.04
EPS (Diluted),0.60,0.13,0.39,0.56,0.75,1.97,1.71,0.96,-0.17,-7.04
EPS Growth,27.66%,-78.33%,200.00%,43.59%,33.93%,162.67%,-13.20%,-43.86%,-,-
Free Cash Flow,26.86,34.13,-5.57,-19.52,59.65,18.05,13.96,75.27,-31.91,-3.47
Free Cash Flow Per Share,1.20,1.49,-0.24,-0.85,2.54,0.76,0.59,3.13,-1.29,-0.14
Gross Margin,37.19%,40.20%,45.17%,41.56%,40.12%,40.86%,41.68%,41.67%,31.69%,32.10%
Operating Margin,4.93%,0.78%,8.59%,8.91%,11.34%,10.76%,12.83%,10.97%,-2.22%,-33.05%
Profit Margin,5.45%,1.12%,3.84%,5.62%,6.65%,15.09%,11.18%,5.91%,-0.94%,-32.60%
Free Cash Flow Margin,10.67%,13.16%,-2.38%,-8.37%,22.22%,5.74%,3.80%,19.06%,-7.16%,-0.64%
Effective Tax Rate,7.91%,-52.93%,24.96%,26.64%,35.43%,8.91%,12.46%,2.26%,-,-
EBITDA,24.05,10.26,15.8,22.91,33.65,55.08,56.56,48.9,58.52,-73.46
EBITDA Margin,9.56%,3.95%,6.76%,9.83%,12.53%,17.52%,15.40%,12.38%,13.13%,-13.59%
Depreciation & Amortization,9.16,8.37,3.86,5.05,5.98,7.67,14.46,24.41,67.64,108.05
EBIT,14.9,1.89,11.95,17.86,27.66,47.41,42.09,24.49,-9.12,-181.51
EBIT Margin,5.92%,0.73%,5.11%,7.66%,10.31%,15.08%,11.46%,6.20%,-2.05%,-33.58%
