,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"37,291","33,487","37,272","39,422","43,504","89,590","83,235","60,673","33,294","39,856","41,775","51,634","46,232","48,533","42,774","42,833","40,355","33,223","38,981","39,127","33,944","45,296","47,267","46,657","47,949","31,530","34,307","27,909","30,946","37,703","41,283","37,919","35,961","42,878","38,003","37,490","40,639","39,363","38,594","36,943","38,032"
Market Cap Growth,-2.67%,-16.41%,-5.67%,6.99%,16.66%,167.54%,123.32%,53.91%,-23.47%,-55.51%,-49.81%,-14.90%,38.86%,21.77%,2.39%,-17.04%,-12.71%,-31.55%,-8.87%,-8.65%,-15.89%,36.34%,21.26%,19.24%,41.26%,-30.39%,-27.42%,-40.18%,-35.46%,19.58%,20.34%,35.86%,16.21%,13.73%,-7.95%,-1.13%,13.01%,-8.20%,1.55%,-1.46%,-
Enterprise Value,"72,886","70,185","74,053","76,893","86,003","134,590","127,625","105,127","76,292","83,488","85,215","92,739","85,598","87,529","80,646","80,566","77,934","70,966","76,208","73,273","67,988","80,905","83,113","82,933","81,231","66,115","68,228","61,994","64,451","69,560","73,178","70,641","68,141","74,877","69,425","68,748","71,682","70,453","69,489","67,864","68,953"
PE Ratio,31.26,28.19,31.19,31.84,42.40,76.70,68.39,56.49,146.67,538.59,564.52,-152.31,83.75,71.69,62.81,34.49,1494.62,299.31,-96.01,-832.49,22.92,29.19,21.01,22.62,21.90,23.74,198.31,228.77,260.05,20.56,24.09,21.62,20.16,41.15,15.61,14.91,15.95,15.38,15.37,14.98,15.70
PS Ratio,2.65,2.22,2.39,2.44,2.68,5.68,5.44,4.12,2.31,2.85,3.05,3.88,3.54,3.65,3.17,3.18,2.95,2.42,2.83,2.80,2.40,3.20,3.39,3.42,3.63,2.45,2.81,2.34,2.65,2.73,2.87,2.48,2.17,2.73,2.15,1.97,2.12,2.09,2.25,2.33,2.40
PB Ratio,2.85,2.62,2.95,3.14,1.28,2.56,2.37,1.71,0.95,1.13,1.19,1.49,1.34,1.40,1.22,1.22,1.20,0.99,1.18,1.17,1.01,1.35,1.41,1.39,1.42,0.95,1.08,0.88,0.98,1.17,1.34,1.24,1.17,1.40,1.24,1.22,1.32,1.28,1.26,1.22,1.26
P/FCF Ratio,49.52,38.94,45.07,40.60,50.88,95.21,83.07,102.14,22.87,29.97,21.78,20.27,20.96,21.42,21.26,24.39,26.36,22.06,23.90,25.98,15.13,22.03,21.86,18.84,18.73,10.75,11.79,9.04,7.91,7.44,7.63,6.86,7.44,10.98,9.66,10.12,12.12,11.24,11.61,10.82,11.14
P/OCF Ratio,9.05,7.49,8.12,8.18,9.74,19.45,17.33,13.54,6.27,7.80,8.16,9.73,9.72,10.56,9.34,9.39,8.77,7.09,7.95,8.38,6.73,9.63,10.11,9.74,10.10,6.30,7.03,5.69,6.80,6.82,7.33,6.64,6.30,8.72,7.53,7.76,8.18,7.55,7.42,6.63,6.82
Debt / Equity Ratio,2.76,2.91,2.94,3.02,1.26,1.29,1.27,1.26,1.23,1.25,1.24,1.20,1.16,1.14,1.09,1.09,1.13,1.13,1.14,1.12,1.11,1.07,1.07,1.09,1.02,1.06,1.08,1.10,1.10,1.03,1.08,1.07,1.08,1.05,1.03,1.03,1.03,1.02,1.03,1.02,1.02
Quick Ratio,0.38,0.39,0.31,0.36,0.31,0.25,0.23,0.26,0.38,0.31,0.22,0.27,0.35,0.25,0.26,0.28,0.28,0.30,0.30,0.88,0.63,0.31,0.25,0.22,0.49,0.28,0.31,0.41,0.49,0.61,0.55,0.26,0.47,0.27,0.31,0.38,0.37,0.36,0.32,0.25,0.25
Current Ratio,0.64,0.60,0.52,0.57,0.59,0.49,0.45,0.50,0.70,0.56,0.38,0.56,0.55,0.40,0.43,0.42,0.44,0.48,0.49,1.05,0.76,0.45,0.41,0.35,0.64,0.55,0.48,0.61,0.63,0.81,0.85,0.46,0.66,0.47,0.52,0.62,0.55,0.56,0.49,0.39,0.39
Interest Coverage,1.95,2.09,2.05,2.33,1.31,2.28,2.11,1.54,-0.24,2.06,2.24,1.40,1.91,2.48,2.28,2.16,1.70,2.47,0.64,2.96,2.66,2.58,2.47,2.47,3.41,0.44,-0.35,2.55,3.06,5.67,-1.64,2.71,3.05,3.59,3.31,2.78,3.04,2.97,2.70,2.48,2.79
Return on Capital (ROIC),Upgrade,5.21%,5.44%,5.86%,6.00%,3.72%,3.61%,3.57%,3.16%,1.90%,1.68%,1.72%,0.03%,1.02%,1.13%,1.12%,3.10%,-1.17%,-1.03%,-1.49%,-0.61%,4.04%,4.21%,4.89%,4.20%,4.95%,3.88%,2.42%,2.25%,1.73%,3.99%,3.33%,3.42%,3.44%,2.38%,4.89%,5.00%,5.09%,5.32%,5.38%,5.41%
Dividend Yield,4.30%,4.90%,4.50%,4.40%,4.00%,4.10%,4.70%,6.70%,12.90%,9.00%,6.70%,3.80%,2.40%,2.30%,2.60%,2.60%,2.80%,3.30%,3.30%,3.70%,4.70%,4.00%,4.10%,4.40%,4.50%,7.20%,6.70%,8.30%,7.60%,6.30%,5.80%,6.40%,6.80%,5.70%,6.50%,6.60%,6.10%,6.30%,6.50%,6.80%,6.60%
Payout Ratio,124.20%,146.40%,155.60%,134.40%,2200.00%,225.00%,320.00%,612.50%,-154.50%,104.20%,83.30%,-125.00%,156.20%,69.40%,83.30%,83.30%,-26.60%,56.80%,-250.00%,64.50%,95.20%,83.30%,108.70%,113.60%,92.60%,-178.60%,-93.90%,131.50%,97.40%,42.40%,-79.40%,122.70%,96.40%,93.10%,99.30%,111.20%,95.90%,92.70%,108.50%,117.50%,103.67%
Buyback Yield / Dilution,0.38%,0.87%,0.96%,0.77%,-9.75%,-109.04%,-112.74%,-114.30%,-96.04%,-3.63%,-1.92%,-1.23%,-0.18%,-0.04%,-0.04%,-0.04%,0.13%,1.03%,1.17%,1.17%,-0.85%,-2.49%,-2.63%,-2.68%,-0.80%,-0.09%,0.04%,0.04%,0.18%,-,-0.18%,-0.18%,-0.27%,-0.13%,-,0.62%,1.01%,0.88%,1.24%,1.02%,1.02%
Total Shareholder Return,4.68%,5.77%,5.46%,5.17%,-5.75%,-104.94%,-108.04%,-107.60%,-83.14%,5.37%,4.78%,2.57%,2.22%,2.26%,2.56%,2.56%,2.93%,4.33%,4.47%,4.87%,3.85%,1.51%,1.47%,1.72%,3.70%,7.11%,6.74%,8.34%,7.78%,6.30%,5.62%,6.22%,6.53%,5.57%,6.50%,7.22%,7.11%,7.18%,7.74%,7.82%,7.62%
