,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"18,037","20,348","21,838","20,206","27,004","30,242","39,058","47,680","47,345","50,995","31,059"
Market Cap Growth,18.56%,12.81%,7.32%,-7.47%,33.65%,11.99%,29.15%,22.07%,-0.70%,7.71%,-
Enterprise Value,"20,350","22,493","24,650","23,230","29,743","32,871","50,514","59,893","61,246","68,275","48,780"
PE Ratio,17.60,19.10,18.74,16.15,17.55,19.03,22.81,17.96,19.73,21.11,16.28
PS Ratio,1.03,1.08,1.07,0.92,1.15,1.18,1.41,1.41,1.38,1.35,0.80
PB Ratio,3.34,3.56,4.06,3.74,4.41,4.71,5.83,7.16,7.56,9.20,4.81
P/FCF Ratio,18.73,21.30,24.58,19.17,23.34,21.42,26.83,16.72,26.30,118.81,67.04
P/OCF Ratio,14.87,15.33,15.69,12.59,14.98,14.11,17.45,12.30,16.52,25.70,14.26
EV/Sales Ratio,1.16,1.19,1.21,1.06,1.27,1.28,1.82,1.77,1.79,1.80,1.25
EV/EBITDA Ratio,9.93,10.65,10.75,9.51,12.35,12.79,18.00,14.51,15.86,16.85,13.48
EV/EBIT Ratio,11.85,12.71,12.71,11.26,14.84,15.54,21.94,16.85,19.02,20.52,17.42
EV/FCF Ratio,21.13,23.55,27.75,22.04,25.71,23.28,34.71,21.01,34.02,159.07,105.28
Debt / Equity Ratio,0.52,0.48,0.55,0.59,0.49,0.45,1.75,2.04,2.28,3.19,2.80
Debt / EBITDA Ratio,1.37,1.29,1.30,1.31,1.25,1.11,4.17,3.29,3.69,4.36,5.00
Debt / FCF Ratio,2.93,2.85,3.34,3.05,2.60,2.03,8.04,4.77,7.91,41.15,39.04
Quick Ratio,0.28,0.30,0.08,0.07,0.09,0.08,0.05,0.24,0.06,0.06,0.05
Current Ratio,1.77,1.80,1.72,1.40,1.43,1.55,1.14,1.21,1.05,1.29,1.22
Asset Turnover,1.63,1.74,1.82,1.89,1.92,1.98,1.25,1.31,1.33,1.34,1.30
Interest Coverage,19.30,20.05,22.31,21.09,20.66,21.18,22.89,23.64,20.45,15.75,8.63
Return on Equity (ROE),19.40%,20.30%,21.60%,23.20%,26.70%,25.00%,25.70%,37.60%,38.60%,40.60%,31.70%
Return on Assets (ROA),9.60%,9.80%,10.40%,10.80%,12.60%,12.30%,7.70%,10.30%,9.30%,8.50%,6.40%
Return on Capital (ROIC),13.30%,13.29%,14.61%,15.24%,17.74%,17.98%,9.73%,13.69%,12.30%,11.12%,8.84%
Earnings Yield,5.68%,5.24%,5.34%,6.19%,5.70%,5.26%,4.38%,5.57%,5.07%,4.74%,6.18%
FCF Yield,5.34%,4.69%,4.07%,5.22%,4.28%,4.67%,3.73%,5.98%,3.80%,0.84%,1.49%
Dividend Yield,0.00%,0.00%,1.20%,1.40%,1.00%,1.00%,0.80%,0.70%,0.80%,1.00%,1.67%
Payout Ratio,0.00%,0.00%,22.20%,22.50%,18.40%,19.40%,19.20%,13.50%,16.40%,20.50%,27.16%
Buyback Yield / Dilution,3.17%,5.61%,3.43%,4.39%,3.15%,2.65%,3.03%,3.09%,5.70%,4.03%,2.61%
Total Shareholder Return,3.17%,5.61%,4.63%,5.79%,4.15%,3.65%,3.83%,3.79%,6.50%,5.03%,4.28%
