,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"11,355","9,427","9,519","18,083","20,011","18,457","35,622","48,113","49,457","37,464","38,528"
Market Cap Growth,-50.26%,-16.98%,0.97%,89.97%,10.66%,-7.77%,93.00%,35.07%,2.79%,-24.25%,-
Enterprise Value,"16,462","13,597","13,000","19,886","20,755","19,273","39,976","48,985","50,685","39,839","41,401"
PE Ratio,-4.48,18.56,43.27,-28.75,-175.53,54.13,12.70,17.01,42.42,-87.33,-36.12
PS Ratio,1.35,1.38,1.56,2.71,2.71,2.55,3.66,4.18,4.05,3.14,3.49
PB Ratio,1.14,0.92,0.84,1.69,1.90,1.76,1.66,2.09,2.25,1.94,2.02
P/FCF Ratio,-31.81,23.69,11.41,10.94,15.91,22.54,24.86,10.16,18.25,33.90,49.33
P/OCF Ratio,7.36,6.56,4.44,6.49,9.42,10.10,12.43,9.86,11.56,11.63,12.20
EV/Sales Ratio,1.96,1.99,2.14,2.98,2.81,2.66,4.10,4.26,4.15,3.34,3.74
EV/EBITDA Ratio,-10.14,6.38,6.47,13.85,8.25,8.97,6.78,7.98,10.43,16.34,21.11
EV/EBIT Ratio,-5.51,13.05,14.32,89.17,16.55,20.63,10.15,12.75,19.97,157.47,-871.31
EV/FCF Ratio,-46.11,34.16,15.59,12.03,16.50,23.53,27.90,10.34,18.70,36.05,53.01
Debt / Equity Ratio,0.67,0.65,0.52,0.43,0.39,0.41,0.32,0.29,0.29,0.32,0.32
Debt / EBITDA Ratio,-4.15,3.12,2.92,3.21,1.62,1.98,1.16,1.09,1.30,2.52,3.10
Debt / FCF Ratio,-18.88,16.70,7.03,2.79,3.23,5.20,4.77,1.42,2.33,5.55,7.79
Quick Ratio,0.77,1.34,1.83,1.80,2.55,2.07,1.20,1.86,2.04,1.41,1.17
Current Ratio,1.78,2.48,3.52,2.67,3.62,2.95,2.63,2.52,2.90,2.23,2.12
Asset Turnover,0.31,0.27,0.24,0.28,0.35,0.35,0.28,0.28,0.30,0.30,0.29
Interest Coverage,-9.85,3.16,3.06,0.82,5.20,4.51,13.08,12.47,9.26,1.11,-0.17
Return on Equity (ROE),-21.70%,5.00%,2.00%,-5.60%,-1.10%,3.20%,15.40%,12.60%,5.10%,-2.10%,-4.20%
Return on Assets (ROA),-9.40%,2.00%,0.90%,-2.70%,-0.50%,1.70%,8.10%,7.00%,2.90%,-1.10%,-2.10%
Return on Capital (ROIC),-21.83%,4.19%,0.96%,-0.10%,-0.97%,2.51%,3.49%,7.56%,2.29%,-13.14%,-1.28%
Earnings Yield,-22.32%,5.39%,2.31%,-3.48%,-0.57%,1.85%,7.87%,5.88%,2.36%,-1.15%,-2.11%
FCF Yield,-3.14%,4.22%,8.76%,9.14%,6.29%,4.44%,4.02%,9.84%,5.48%,2.95%,2.03%
Dividend Yield,5.30%,1.20%,0.60%,0.40%,0.70%,1.60%,3.30%,1.70%,3.50%,4.70%,4.79%
Payout Ratio,-24.10%,22.10%,23.30%,-10.50%,-119.00%,87.50%,37.70%,29.50%,150.70%,-407.40%,-169.90%
Buyback Yield / Dilution,-0.31%,-1.16%,-6.08%,-0.31%,-0.49%,0.13%,-37.99%,-9.36%,0.62%,0.75%,-0.13%
Total Shareholder Return,4.99%,0.04%,-5.48%,0.09%,0.21%,1.73%,-34.69%,-7.66%,4.12%,5.45%,4.66%
