,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"22,111","17,238","32,285","49,485","37,033","49,508","42,786","53,816","47,130","66,230","70,965"
Market Cap Growth,49.57%,-22.04%,87.29%,53.27%,-25.16%,33.69%,-13.58%,25.78%,-12.42%,40.53%,-
Enterprise Value,"25,778","21,249","39,933","57,340","46,064","61,105","53,108","63,659","57,721","78,652","83,387"
PE Ratio,29.36,20.07,39.96,33.92,19.42,38.89,-160.25,48.97,19.99,21.48,23.74
PS Ratio,1.60,1.19,2.10,2.42,1.78,2.36,4.05,3.88,2.27,2.79,2.99
PB Ratio,-10.05,-4.80,6.03,13.82,16.64,70.42,99.50,38.06,82.98,-97.11,-97.11
P/FCF Ratio,27.20,14.25,22.74,24.90,20.56,47.97,28.45,54.14,23.21,24.37,26.11
P/OCF Ratio,18.06,11.38,19.94,22.22,15.71,29.38,26.10,45.72,19.94,20.89,22.39
EV/Sales Ratio,1.87,1.47,2.59,2.80,2.22,2.91,5.02,4.59,2.78,3.32,3.52
EV/EBITDA Ratio,19.08,13.61,24.47,16.16,15.52,25.50,116.21,33.59,15.19,18.64,19.76
EV/EBIT Ratio,21.43,14.94,27.11,17.54,17.16,30.66,-2528.94,39.79,16.41,19.95,21.15
EV/FCF Ratio,31.71,17.56,28.12,28.86,25.58,59.21,35.31,64.04,28.42,28.94,30.68
Debt / Equity Ratio,-1.71,-1.14,1.59,2.30,4.20,16.82,26.04,7.95,19.54,-18.71,-18.71
Debt / EBITDA Ratio,2.79,2.63,5.21,2.32,3.15,4.93,24.51,5.93,2.92,3.02,3.02
Debt / FCF Ratio,4.64,3.39,5.99,4.15,5.19,11.46,7.45,11.30,5.46,4.69,4.69
Quick Ratio,0.40,0.37,0.50,0.41,0.38,0.39,0.46,0.53,0.42,0.39,0.39
Current Ratio,0.53,0.43,0.66,0.47,0.42,0.47,0.49,0.57,0.45,0.43,0.43
Asset Turnover,2.03,2.29,1.00,0.85,0.87,0.84,0.42,0.56,0.84,0.94,0.94
Interest Coverage,10.46,8.51,6.29,11.35,7.90,5.06,-0.05,3.81,8.73,6.98,6.98
Return on Equity (ROE),-40.80%,-27.00%,79.40%,32.10%,69.60%,116.10%,-190.70%,130.80%,182.30%,-864.20%,-864.20%
Return on Assets (ROA),11.10%,13.50%,5.20%,6.10%,8.00%,5.10%,-1.10%,4.40%,9.50%,12.20%,12.20%
Return on Capital (ROIC),51.06%,178.73%,6.70%,10.36%,16.63%,11.44%,0.72%,12.88%,22.47%,29.20%,29.20%
Earnings Yield,3.41%,4.98%,2.50%,2.95%,5.15%,2.57%,-0.62%,2.04%,5.00%,4.65%,4.34%
FCF Yield,3.68%,7.02%,4.40%,4.02%,4.86%,2.08%,3.52%,1.85%,4.31%,4.10%,3.83%
Dividend Yield,1.00%,1.40%,1.40%,1.00%,1.40%,1.20%,0.40%,0.00%,0.70%,0.90%,0.86%
Payout Ratio,29.60%,29.50%,41.40%,33.20%,28.60%,48.30%,-58.50%,0.00%,13.80%,19.20%,20.43%
Buyback Yield / Dilution,5.40%,9.26%,-51.86%,6.63%,6.43%,4.16%,0.80%,-0.42%,2.81%,7.22%,7.22%
Total Shareholder Return,6.40%,10.66%,-50.46%,7.63%,7.83%,5.36%,1.20%,-0.42%,3.51%,8.12%,8.08%
