,2016-09-30,2016-12-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,4.28,4.82,4.1,187.61,218.28,220.98,232.69,226.04,214,220.75,222.51,237.54,255,257.9,339.65,373.02,374.31,376.4,375.7,383.15,416.63,662.62,751.54,769.91,877.65,898.16,904.32
Revenue Growth (YoY),-,-,-,-,4996.33%,4481.69%,5572.53%,20.48%,-1.96%,-0.10%,-4.37%,5.09%,19.16%,16.83%,52.64%,57.04%,46.79%,45.95%,10.61%,2.72%,11.30%,76.04%,100.04%,100.94%,110.66%,35.55%,20.33%
Cost of Revenue,2.16,2.78,1.88,23.68,21.34,23.45,29.65,24.75,4.09,4.85,5.42,4.54,5.07,4.88,11.94,11.54,11.48,12.22,12.08,12.79,13.67,21.42,23.05,24.09,24.29,25.12,24.51
Gross Profit,2.12,2.04,2.22,163.93,196.94,197.53,203.04,201.29,209.91,215.9,217.09,233,249.93,253.03,327.72,361.48,362.83,364.18,363.63,370.36,402.95,641.2,728.5,745.82,853.36,873.04,879.81
"Selling, General & Admin",0.46,0.44,0.29,9.94,7.31,7.16,5.68,4.28,6.23,6.52,6.72,5.11,7.02,7.5,8.05,8.1,8.09,7.63,8.38,9.03,9.47,11.78,12.06,15.03,15.01,14.92,14.42
Other Operating Expenses,1.66,1.6,1.93,9.79,0.91,0.92,13.26,1.32,1.82,3.89,1.99,1.13,154.89,-63.11,179.99,-14.84,5.13,-27.56,9.98,6.38,82.35,569.32,235.53,-26.87,111.33,-39.69,100.57
Operating Expenses,2.12,2.04,2.22,19.73,8.21,8.08,18.94,5.61,8.04,10.4,8.71,6.24,161.91,-55.61,188.04,-6.74,13.22,-19.93,18.36,15.41,91.82,581.1,247.59,-11.84,126.34,-24.77,115
Operating Income,0,0,0,144.2,188.72,189.45,184.1,195.68,201.87,205.5,208.38,226.76,88.02,308.64,139.68,368.22,349.61,384.11,345.27,354.95,311.14,60.1,480.91,757.65,727.02,897.81,764.81
Interest Expense / Income,0,0,0,63.35,52.88,51.44,54.05,54.3,53.59,54.82,68.53,71.45,76.09,77.69,77.4,77.42,77.05,79.81,165.1,70.44,68.14,133.13,169.35,169.33,204.36,203.59,204.93
Other Expense / Income,-,-,-,40.08,23.34,-1.48,0.09,-1.71,-3.09,-1.93,-4.61,56.07,35.49,1.23,-335.62,2.35,2.28,2.34,17.92,2.27,2.21,-16.35,-19.77,-16.76,2.83,1.62,2.91
