,2015-12-31,2016-09-30,2016-12-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,-,-,-,"6,781","7,639","8,003","6,953","8,855","9,058","10,442","11,779","7,796","9,461","12,472","13,685","15,155","16,658","15,257","18,938","21,299","28,688","28,748","31,204","32,740","31,563","29,491","30,550"
Market Cap Growth,-,-,-,-,-,-,-,-,-,30.60%,18.57%,30.48%,69.41%,-11.97%,4.46%,19.44%,16.18%,94.41%,76.07%,22.34%,38.38%,40.54%,72.21%,88.42%,64.77%,53.71%,10.02%,2.58%,-
Enterprise Value,-0,-,-1,0,"4,588","9,968","10,805","11,979","10,477","12,356","11,949","14,104","15,468","12,179","12,539","19,090","20,135","21,602","23,024","19,280","22,892","26,028","41,795","41,960","44,735","49,098","47,449","45,673","46,732"
PE Ratio,-,-,-,-,-,-,26.00,18.89,13.28,15.75,15.74,17.70,21.57,21.01,21.10,17.76,15.35,12.78,13.26,14.95,18.68,21.64,45.83,36.16,27.92,23.45,14.72,12.44,12.15
PS Ratio,-,-,-,-,-,-,12.11,9.31,7.74,9.91,10.14,11.82,13.16,8.33,9.72,11.44,11.17,11.27,11.38,10.18,12.55,13.73,15.61,12.99,12.00,10.69,9.57,8.55,8.85
PB Ratio,-,-,-,-,-,1.12,1.25,1.31,1.02,1.27,1.13,1.31,1.48,1.02,1.05,1.34,1.45,1.59,1.73,1.27,1.56,1.38,1.32,1.32,1.42,1.40,1.33,1.22,1.26
P/FCF Ratio,-,-,-,-,-,55.52,61.62,17.50,13.82,17.83,17.43,17.12,17.34,11.14,12.90,15.96,15.54,16.85,17.14,16.08,21.19,20.63,19.96,16.49,15.92,15.01,15.32,13.99,14.49
P/OCF Ratio,-,-,-,-,-,55.36,61.52,17.47,13.79,17.81,17.41,17.04,17.27,11.07,12.83,15.90,15.49,16.80,17.13,16.07,21.13,20.60,19.92,16.46,15.90,14.99,15.29,13.96,14.47
Debt / Equity Ratio,0.00,-,0.00,0.00,1.02,0.68,0.68,0.67,0.60,0.59,0.52,0.52,0.60,0.88,0.75,0.73,0.72,0.71,0.70,0.39,0.39,0.34,0.63,0.63,0.63,0.71,0.70,0.69,0.69
Quick Ratio,0.44,-,0.97,0.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Current Ratio,0.85,-,1.61,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Interest Coverage,-,1.00,1.00,-,1.64,3.13,3.71,3.40,3.64,3.82,3.78,3.11,2.39,0.69,3.96,6.14,4.73,4.51,4.78,1.98,5.01,4.53,0.57,2.96,4.57,3.54,4.40,3.72,4.04
Return on Capital (ROIC),,-,-,0.00%,-,1.59%,1.85%,1.85%,6.95%,6.91%,6.94%,6.48%,6.68%,6.58%,5.05%,5.27%,4.74%,5.58%,7.15%,7.54%,8.62%,8.51%,6.72%,3.01%,3.40%,4.51%,5.07%,7.08%,7.69%
Dividend Yield,-,-,-,-,-,0.90%,2.00%,3.30%,5.30%,5.10%,5.20%,5.10%,4.60%,7.10%,5.90%,5.20%,4.90%,4.60%,4.30%,4.80%,4.60%,5.00%,4.80%,4.90%,4.60%,4.70%,5.00%,5.40%,5.62%
Payout Ratio,-,-,-,-,0.00%,48.50%,69.20%,82.00%,77.60%,77.60%,77.60%,95.80%,148.50%,-594.00%,63.20%,44.00%,61.10%,66.00%,58.90%,124.10%,80.00%,102.90%,-600.00%,114.70%,59.10%,75.00%,56.50%,75.50%,68.31%
Buyback Yield / Dilution,-,-,-,-,-,-,-50.24%,-50.24%,-69.37%,-18.36%,-11.58%,-25.84%,-22.11%,-14.57%,-18.50%,-15.12%,-15.31%,-17.12%,-13.33%,-6.66%,-17.15%,-26.27%,-61.70%,-68.59%,-51.70%,-45.92%,-12.43%,-5.13%,-5.13%
Total Shareholder Return,-,-,-,-,-,0.90%,-48.24%,-46.94%,-64.07%,-13.26%,-6.38%,-20.74%,-17.51%,-7.47%,-12.60%,-9.92%,-10.41%,-12.52%,-9.03%,-1.86%,-12.55%,-21.27%,-56.90%,-63.69%,-47.10%,-41.22%,-7.43%,0.27%,0.49%
