,2015-12-31,2016-09-30,2016-12-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,0.35,-,0.92,0.08,197.41,932.02,954.55,145.28,598.45,622.64,"1,234",463.51,"1,102","2,371","3,681",144.06,315.99,322.53,407.52,669.51,739.61,568.7,614,518.38,208.93,247.67,738.79,510.88
Cash & Cash Equivalents,0.35,0,0.92,0.08,197.41,932.02,954.55,145.28,598.45,622.64,"1,234",463.51,"1,102","2,371","3,681",144.06,315.99,322.53,407.52,669.51,739.61,568.7,614,518.38,208.93,247.67,738.79,510.88
Cash Growth,-,-,-,-,56141.03%,-,103655.22%,172853.57%,203.16%,-33.19%,29.23%,219.04%,84.13%,280.81%,198.37%,-68.92%,-71.32%,-86.40%,-88.93%,364.76%,134.06%,76.33%,50.67%,-22.57%,-71.75%,-56.45%,20.32%,-1.45%
Receivables,0.18,-,0.08,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inventory,0.44,-,0.37,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Current Assets,0.07,-,0.28,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Current Assets,1.04,-,1.64,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Property, Plant & Equipment",90.99,-,88.83,88.35,147.9,147.34,146.63,168.08,95.79,166.49,94.71,94.71,94.71,94.71,94.71,158.19,158.19,158.05,157.37,153.58,153.58,153.58,153.58,153.56,153.56,153.56,150.73,150.73
Total Long-Term Assets,90.99,-,88.83,88.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Assets,92.03,-,90.48,89.25,"9,740","10,486","10,565","10,569","11,333","11,449","12,522","12,581","13,266","14,907","16,278","16,852","17,064","17,085","17,220","17,549","17,597","21,741","37,289","37,308","37,576","41,853","42,251","42,832"
Accounts Payable,0.34,-,0.31,0.19,0,9.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deferred Revenue,0,-,0,0,68.12,60.93,71.96,0.7,43.61,0.36,0.01,0.25,70.34,0.48,0.36,0.31,0,0.49,0.35,0.46,0,0,0,0,0,0,0,0
Current Debt,0.05,-,0.01,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Current Liabilities,0.83,-,0.71,0.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Current Liabilities,1.22,-,1.02,0.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Long-Term Debt,0.28,-,0.27,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Long-Term Liabilities,5.15,-,5.04,5.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Long-Term Liabilities,5.44,-,5.31,5.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Liabilities,6.66,-,6.33,6.26,"4,963","4,351","4,392","4,361","4,432","4,403","4,450","4,507","5,217","7,183","7,203","7,482","7,570","7,485","7,484","5,420","5,410","6,258","15,174","15,246","15,286","18,178","18,166","18,296"
Total Debt,0.33,-,0.28,0.25,"4,786","4,119","4,120","4,121","4,122","4,123","4,124","4,125","4,792","6,754","6,758","6,762","6,766","6,769","6,773","4,692","4,695","5,297","13,722","13,731","13,740","16,606","16,624","16,693"
Debt Growth,-,-,-,-,1441392.77%,-,1476653.05%,1654981.53%,-13.86%,0.10%,0.10%,0.10%,16.24%,63.81%,63.86%,63.90%,41.20%,0.22%,0.22%,-30.61%,-30.61%,-21.75%,102.59%,192.63%,192.67%,213.50%,21.15%,21.57%
Common Stock,85.32,-,84.09,82.94,"4,649","5,956","5,957","5,957","6,652","6,782","7,819","7,821","7,822","8,023","9,302","9,367","9,369","9,370","9,372","11,759","11,761","14,979","21,654","21,652","21,655","22,921","23,025","23,326"
Retained Earnings,0.05,-,0.05,0.05,42.66,95.56,137.44,160.92,187.1,219.79,239.3,246.59,208.07,-262.47,-191.84,29.34,139.45,232.04,355.52,290.97,346.03,315.81,-88.61,-133.31,93.15,220.25,518.06,652.4
Comprehensive Income,0,-,0,0,0,0,-4.64,5.47,-22.12,-39.32,-70,-77.12,-65.08,-118.22,-117.27,-104.26,-92.52,-80.14,-70.82,0,0.88,109.5,197.28,191.31,185.35,170.44,173.67,186.24
Shareholders' Equity,85.38,-,84.14,83,"4,691","6,052","6,090","6,124","6,817","6,962","7,989","7,990","7,965","7,643","8,993","9,292","9,416","9,522","9,657","12,050","12,108","15,405","21,762","21,710","21,934","23,311","23,717","24,165"
Net Cash / Debt,0.02,0,0.64,-0.17,"-4,588.35","-3,187.24","-3,165.59","-3,975.87","-3,523.82","-3,500.71","-2,890.9","-3,661.96","-3,689.67","-4,383.4","-3,077.6","-6,617.78","-6,449.54","-6,446.68","-6,365.38","-4,022.52","-3,954.91","-4,728.31","-13,107.5","-13,212.12","-13,530.74","-16,358.57","-15,885.4","-16,181.84"
Net Cash Per Share,-,-,-,-,-20.13,-9.29,-8.56,-10.74,-9.13,-8.62,-7.00,-7.86,-7.83,-9.42,-6.29,-12.34,-11.86,-11.83,-11.48,-7.03,-6.21,-6.87,-14.62,-13.70,-14.00,-16.30,-15.76,-15.96
Working Capital,-0.18,-,0.62,-0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,-,-,0.34,0.34,20.59,17.65,16.46,16.55,17.67,17.16,19.38,17.34,17.28,16.43,18.39,17.42,17.55,17.75,17.99,21.71,19.24,22.51,24.27,22.55,22.76,23.28,23.55,23.86
