,2016-09-30,2016-12-31,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,0,0,0,42.66,112.12,139.04,129.91,142.54,150.85,152.05,144.44,98.63,-24.01,229.4,398.27,288.01,269.8,300.71,161.86,281.48,240.38,-57.71,330.91,604.05,518.74,690.7,556.33
Depreciation & Amortization,-,0.8,-,0.75,0.91,0.92,0.93,0.93,0.93,1.02,1,0.88,0.87,1.21,0.91,0.74,0.79,-0.73,0.03,3,0.03,1.53,0.82,3.09,0.03,1.67,1.01
Share-Based Compensation,-,0,-,1.39,0.39,0.47,0.62,0.86,1.05,1.37,1.4,1.4,1.35,2.01,2.01,2.01,2.28,2.34,2.37,2.39,2.6,3.26,3.49,3.71,3.47,4.03,4.02
Other Operating Activities,-,-0.47,-,84.64,9.06,-16.25,-49.61,31.24,-37.19,-7.13,27.42,144.04,159.24,-51.58,-180.17,53.36,-117.14,-50.85,33.71,4.32,50.2,710.83,169.13,-103.43,-7.97,-158.27,-9.25
Operating Cash Flow,-,0.34,-,129.44,122.48,124.18,81.85,175.57,115.64,147.3,174.26,244.96,137.45,181.05,221.02,344.12,155.73,251.47,197.97,291.18,293.22,657.92,504.34,507.43,514.27,538.14,552.11
Operating Cash Flow Growth,-,-,-,-,-,36968.66%,-,35.63%,-5.59%,18.62%,112.89%,39.53%,18.85%,22.91%,26.84%,40.48%,13.30%,38.90%,-10.43%,-15.38%,88.29%,161.62%,154.76%,74.26%,75.39%,-18.21%,9.47%
Capital Expenditures,-,-0.08,-,-0.05,-0.35,-0.21,-0,-0.34,-0.15,-0.29,-1.99,-0.3,-1.33,-0.86,-0.34,-0.24,-1.25,1.23,0,-2.49,0,-0.69,-0.47,-1.81,0,-1.32,-0.58
Acquisitions,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,574.44",-0.1,0,"-1,266.91",0,0
Change in Investments,-,0,-,"-1,136.2",0,-39.91,-788.57,-463.91,-100.53,-446.94,-805,1.47,-837.56,0.4,"-3,746.95",-11.67,34.26,11.26,-18.6,24.44,"-4,027.66",-32.48,-246.46,-413.3,-200.74,252.46,-733.28
Other Investing Activities,-,-,-,-,-,-,-3.44,155.85,-0.49,-0.62,0.15,-6.69,-0.69,-0.39,31.37,19.5,-0.6,-1.29,-3.52,-1.99,-0.14,-6.96,0.29,-0.9,-0.22,5.96,-0.27
Investing Cash Flow,-,-0.08,-,"-1,136.25",-0.35,-40.12,-792.01,-308.41,-101.16,-447.85,-806.84,-5.52,-839.58,-0.85,"-3,715.92",7.59,32.41,11.2,-22.12,19.96,"-4,027.79","-4,614.57",-246.74,-416.01,"-1,467.87",257.11,-734.12
Dividends Paid,-,0,-,0,0,-59.28,-97.02,-106.39,-116.34,-118.08,-132.44,-137.1,-137.13,-139.4,-158.65,-177.03,-178.01,178.01,0,-758.79,0,-497.19,-346.52,"-1,219.12",0,-778.91,-382.86
Share Issuance / Repurchase,-,0,-,963.78,"1,307",0,0,694.37,128.09,"1,037",-0.65,-0.05,199.71,"1,277",63.03,-0,-1.52,1.52,0,"2,384",0,"3,213",0,"3,213",-4.6,"1,373",298.67
Debt Issued / Paid,-,-0.01,-,111.06,-690.78,-0.28,-0.11,0,0,-5.37,-2.36,538.13,"1,911",-6.11,55.4,-0.01,0,0,"-2,123.17",-7.96,572.72,"4,281",-0.16,-0.01,102.7,0,55.5
Other Financing Activities,-,-0.16,-,73.6,-3.86,-1.98,-1.98,-1.98,-2.03,-2.01,-2.01,-2.03,-2.04,-2.04,-1.36,-2.74,-2.07,-356.07,"2,207","-1,857","2,990","-2,994.26",-6.55,"-2,365.69",913.81,-918.37,-16.89
Financing Cash Flow,-,-0.18,-,"1,148",612.48,-61.54,-99.11,586.01,9.71,911.46,-137.46,398.95,"1,971","1,129",-41.59,-179.77,-181.6,-176.55,83.67,-239.71,"3,563","4,003",-353.22,-371.88,"1,012",-323.9,-45.58
Exchange Rate Effect,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.12,-0.31
Net Cash Flow,-,0.08,-,141.64,734.62,22.53,-809.27,453.17,24.2,610.91,-770.04,638.38,"1,269","1,309","-3,536.48",171.94,6.54,86.13,259.52,71.43,-171.76,46.15,-95.62,-280.46,58.4,471.46,-227.91
Free Cash Flow,-,0.26,-,129.39,122.14,123.97,81.85,175.22,115.5,147.01,172.27,244.67,136.12,180.19,220.68,343.88,154.48,252.71,197.97,288.69,293.22,657.23,503.87,505.62,514.27,536.82,551.53
Free Cash Flow Growth,-,-,-,-,-,47764.09%,-,35.42%,-5.44%,18.59%,110.46%,39.63%,17.86%,22.57%,28.11%,40.55%,13.49%,40.24%,-10.29%,-16.05%,89.81%,160.08%,154.52%,75.14%,75.39%,-18.32%,9.46%
Free Cash Flow Margin,-,5.37%,-,68.97%,55.96%,56.10%,35.18%,77.52%,53.97%,66.60%,77.42%,103.00%,53.38%,69.87%,64.97%,92.19%,41.27%,67.14%,52.69%,75.35%,70.38%,99.19%,67.04%,65.67%,58.60%,59.77%,60.99%
Free Cash Flow Per Share,-,0.00,-,0.57,0.36,0.34,0.22,0.45,0.28,0.36,0.37,0.53,0.29,0.37,0.41,0.64,0.29,0.47,0.36,0.46,0.43,0.73,0.52,0.53,0.51,0.53,0.54
