,2019-12-31,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,-,-,-,-,-,-,"18,375","18,707","27,190","28,192","25,680","29,700","35,079","41,840"
Market Cap Growth,-,-,-,-,-,-,-,-,-,-,39.76%,58.77%,29.01%,-
Enterprise Value,"7,170","6,253",-,-,"3,986","5,451","20,735","20,738","28,773","31,091","30,030","34,851","39,820","46,581"
PE Ratio,-,-,-,-,-,-,26.48,29.05,-180.07,-176.20,-151.95,38.32,20.71,25.17
PS Ratio,-,-,-,-,-,-,0.93,0.89,1.20,1.15,0.97,1.13,1.33,1.58
PB Ratio,-,-,-,-,-,-,1.65,1.70,2.52,2.55,2.37,2.61,2.98,3.55
P/FCF Ratio,-,-,-,-,-,-,68.56,-16.58,-7.60,-6.83,-3.85,-4.21,-5.04,-5.04
P/OCF Ratio,-,-,-,-,-,-,11.31,66.34,-12.12,-11.55,-5.43,-6.15,-7.58,-7.58
Debt / Equity Ratio,0.62,0.58,-,-,0.65,0.73,0.52,0.44,0.50,0.52,0.61,0.63,0.69,0.69
Quick Ratio,0.66,0.53,-,-,0.71,0.65,0.89,0.85,0.78,0.79,0.85,0.78,1.09,1.09
Current Ratio,0.97,1.33,-,-,1.10,1.00,1.37,1.38,1.24,1.19,1.39,1.47,1.90,1.90
Interest Coverage,-,3.84,-12.50,1.64,11.18,3.21,1.95,-6.84,-3.15,3.34,3.12,12.41,12.41,7.99
Return on Capital (ROIC),,-,-0.15%,-,-,0.47%,0.62%,11.99%,12.09%,6.82%,6.31%,1.17%,2.19%,6.08%
Dividend Yield,-,-,-,-,-,-,0.30%,0.50%,0.50%,0.70%,0.90%,0.90%,0.90%,0.86%
Payout Ratio,-,-,-,-,-,-,44.10%,-41.50%,-24.70%,141.00%,97.20%,11.00%,12.40%,21.65%
Buyback Yield / Dilution,-,-,-,-,-,-,-0.31%,-0.31%,-0.31%,-1.53%,-0.31%,0.91%,1.52%,1.53%
Total Shareholder Return,-,-,-,-,-,-,-0.01%,0.19%,0.19%,-0.83%,0.59%,1.81%,2.42%,2.39%
