,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
profitLoss,5105000000,3378000000,3074000000,3253000000,7512000000,6004000000,5987000000,7308000000,11380000000,13064000000,11622000000,8824000000,14401000000,13078000000,9547000000,6900000000,13871000000,13072000000,10223000000,7748000000,16009000000,18024000000,13569000000,10677000000,20548000000,18361000000,10516000000,7796000000,17813000000,17891000000,20591000000,17488000000,19931000000,20065000000,13822000000,11519000000,24084000000,19965000000,11561000000,10044000000,24313000000,22236000000,11249000000,11253000000,24689000000,28755000000,23630000000,21744000000,20551000000,34630000000,25010000000,19442000000,20721000000,29998000000,24160000000,19881000000,22956000000
cashflowFromInvestment,-3771000000,-3958000000,-83000000,-5430000000,-4383000000,-10729000000,-1522000000,-15032000000,-13136000000,-17128000000,-14476000000,-12310000000,-4313000000,-13521000000,-14357000000,-6507000000,611000000,-15103000000,11741000000,-22214000000,2997000000,-21165000000,-22331000000,-11403000000,-1375000000,-20450000000,-13660000000,-4470000000,-7397000000,-19122000000,-14202000000,-3180000000,-9942000000,-13590000000,28710000000,3947000000,-3001000000,5844000000,13348000000,27502000000,-798000000,-13668000000,9013000000,-5165000000,5531000000,-8584000000,-10368000000,3572000000,835000000,-16106000000,-9265000000,4234000000,-1217000000,-1445000000,2319000000,437000000,2394000000
cashflowFromFinancing,319000000,523000000,162000000,316000000,256000000,429000000,547000000,37000000,431000000,69000000,310000000,-55000000,-2022000000,-4497000000,-2248000000,-2126000000,-7508000000,-7749000000,-2655000000,-2830000000,-2807000000,-6923000000,-2734000000,-2997000000,-6299000000,-1681000000,6884000000,-9441000000,-6889000000,-12225000000,418000000,-2078000000,-4089000000,-7501000000,-26272000000,-31523000000,-22580000000,-13676000000,-29457000000,-26804000000,-21039000000,-25407000000,-20940000000,-19116000000,-21357000000,-32249000000,-11326000000,-29396000000,-20382000000,-28159000000,-28351000000,-27445000000,-26794000000,-35563000000,-25724000000,-24048000000,-23153000000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,2010000000,4296000000,-4818000000,-198000000,1400000000,7998000000,-2480000000,1474000000,8990000000,-8778000000,4770000000,-1012000000,3974000000,-28000000,4000000,-2000000,-22000000,-54000000,12000000,-84000000,-3980000000,-7902000000,-1958000000,7550000000,-365000000,-7153000000,44000000,0,6000000000,-4000000000,-2000000000,3998000000,7942000000,-2030000000,-16428000000,0,0,3986000000
paymentsForRepurchaseOfCommonStock,None,None,None,None,None,None,None,None,None,0,0,0,0,1950000000,0,16000000000,4910000000,5029000000,17971000000,5000000000,17000000000,5030000000,6970000000,10000000000,13253000000,6863000000,6667000000,10166000000,6026000000,10851000000,7161000000,7093000000,7795000000,10095000000,22756000000,20783000000,19104000000,8796000000,23702000000,16955000000,17444000000,20706000000,18574000000,15891000000,17187000000,24775000000,18548000000,22900000000,19748000000,20478000000,22631000000,21865000000,24428000000,19475000000,None,17478000000,21003000000
paymentsForRepurchaseOfEquity,None,None,None,None,None,None,None,None,None,0,0,0,0,1950000000,0,16000000000,4910000000,5029000000,17971000000,5000000000,17000000000,5030000000,6970000000,10000000000,13253000000,6863000000,6667000000,10166000000,6026000000,10851000000,7161000000,7093000000,7795000000,10095000000,22756000000,20783000000,19104000000,8796000000,23702000000,16955000000,17444000000,20706000000,18574000000,15891000000,17187000000,24775000000,18548000000,22900000000,19748000000,20478000000,22631000000,21865000000,24428000000,19475000000,0,0,21003000000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,None,None,None,None,None,None,None,None,None,0,0,0,2500000000,2486000000,2490000000,2789000000,2763000000,2739000000,2655000000,2830000000,2807000000,2750000000,2734000000,2997000000,2950000000,2898000000,2879000000,3117000000,3071000000,3130000000,2988000000,3365000000,3270000000,3339000000,3190000000,3653000000,3530000000,3568000000,3443000000,3629000000,3479000000,3539000000,3375000000,3656000000,3511000000,3613000000,3447000000,3767000000,3640000000,3732000000,3595000000,3811000000,3703000000,3768000000,3650000000,3849000000,3758000000
dividendPayoutCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,2488000000,2493000000,2491000000,2811000000,2769000000,2769000000,2661000000,2867000000,2829000000,2801000000,2743000000,3053000000,2964000000,2898000000,2879000000,3117000000,3071000000,3042000000,2988000000,3281000000,3252000000,3232000000,3190000000,3653000000,3530000000,3568000000,3443000000,3629000000,3479000000,3539000000,3375000000,3656000000,3511000000,3613000000,3447000000,3767000000,3640000000,3732000000,3595000000,3811000000,3703000000,3768000000,3650000000,3849000000,3758000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,187000000,374000000,160000000,199000000,179000000,208000000,286000000,83000000,254000000,91000000,286000000,56000000,232000000,76000000,199000000,60000000,195000000,134000000,207000000,94000000,295000000,80000000,229000000,15000000,219000000,1000000,246000000,0,248000000,0,273000000,1000000,281000000,None,0,1000000,341000000,0,390000000,1000000,390000000,2000000,428000000,0,450000000,0,561000000,0,544000000,None,None,None,None,0,0,0,0
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,11960000000,0,3485000000,7847000000,9980000000,5802000000,0,15584000000,2400000000,6970000000,0,10975000000,10750000000,6937000000,6969000000,0,0,0,0,0,0,6963000000,2210000000,0,8425000000,5456000000,0,13923000000,0,6470000000,None,0,0,5465000000,0,0,0,0
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,187000000,374000000,160000000,199000000,179000000,208000000,286000000,83000000,254000000,91000000,286000000,56000000,232000000,-1874000000,199000000,-15940000000,-4715000000,-4895000000,-17764000000,-4906000000,-16705000000,-4950000000,-6741000000,-9985000000,-13034000000,-6862000000,-6421000000,-10166000000,-5778000000,-10851000000,-6888000000,-7092000000,-7514000000,-10095000000,-22429000000,-20782000000,-18763000000,-8796000000,-23312000000,-16954000000,-17054000000,-20704000000,-18146000000,-15891000000,-16737000000,-24775000000,-17987000000,-22900000000,-19204000000,-20478000000,-22631000000,-21865000000,-24428000000,-19475000000,0,0,-21003000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,-342000000,2346000000,2409000000,-313000000,1556000000,-527000000,5244000000,-3887000000,-2276000000,495000000,-189000000,-2176000000,2801000000,5408000000,-4101000000,-805000000,3011000000,-182000000,4872000000,-5972000000,867000000,5634000000,-4989000000,830000000,5801000000,-4431000000,4825000000,-3277000000,2247000000,-4113000000,-1214000000,3414000000,1718000000,7202000000,17568000000,-13088000000,-6058000000,18858000000,11561000000,10044000000,24313000000,-8559000000,10896000000,10865000000,24689000000,-2070000000,23630000000,21744000000,653000000,2701000000,25010000000,19442000000,-3884000000,-3003000000,5155000000,2769000000,839000000
changeInExchangeRate,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,2532000000,3378000000,3074000000,3253000000,4308000000,6004000000,5987000000,7308000000,6623000000,13064000000,11622000000,8824000000,8223000000,13078000000,9547000000,6900000000,7512000000,13072000000,10223000000,7748000000,8467000000,18024000000,13569000000,10677000000,11124000000,18361000000,10516000000,7796000000,9014000000,17891000000,11029000000,8717000000,10714000000,20065000000,13822000000,11519000000,14125000000,19965000000,11561000000,10044000000,13686000000,22236000000,11249000000,11253000000,12673000000,28755000000,23630000000,21744000000,20551000000,34630000000,25010000000,19442000000,20721000000,29998000000,24160000000,19881000000,22956000000
freeCashflow,2651000000.0,5405000000.0,2056000000.0,4206000000.0,4923000000.0,8559000000.0,5595000000.0,10331000000.0,8784000000.0,16233000000.0,12520000000.0,8133000000.0,5675000000.0,21109000000.0,10496000000.0,5943000000.0,7953000000.0,20685000000.0,9537000000.0,5370000000.0,12183000000.0,59407000000.0,11093000000.0,8588000000.0,-47016000000.0,24542000000.0,-12089000000.0,7729000000.0,12495000000.0,23814000000.0,9681000000.0,6395000000.0,11540000000.0,25329000000.0,11089000000.0,11221000000.0,16482000000.0,23335000000.0,8792000000.0,9636000000.0,17133000000.0,28409000000.0,11458000000.0,14706000000.0,18792000000.0,35263000000.0,21712000000.0,19001000000.0,16977000000.0,44163000000.0,25652000000.0,20790000000.0,20838000000.0,30218000000.0,25644000000.0,24287000000.0,19435000000.0
