,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"11,595","11,261","6,834","10,797","18,058","17,757","9,524","16,626","16,301","13,452","17,659"
Market Cap Growth,-7.74%,-2.88%,-39.31%,58.00%,67.24%,-1.66%,-46.37%,74.57%,-1.96%,-17.47%,-
Enterprise Value,"7,581","7,422","3,870","7,869","14,593","15,651","8,310","14,662","14,803","12,771","17,430"
PE Ratio,18.17,20.11,29.84,22.45,155.67,15.19,11.63,22.78,17.40,10.56,26.62
PS Ratio,1.83,1.84,1.23,1.97,3.05,2.89,1.76,2.90,2.58,2.12,2.89
PB Ratio,3.06,3.30,2.37,3.88,7.93,16.29,39.35,24.27,19.45,11.61,22.93
P/FCF Ratio,10.27,10.30,7.46,13.31,11.70,15.20,9.23,10.78,16.55,15.50,17.14
P/OCF Ratio,8.59,8.88,7.02,10.95,12.22,13.24,8.98,12.47,13.46,12.15,14.72
EV/Sales Ratio,1.20,1.21,0.70,1.43,2.47,2.55,1.54,2.55,2.34,2.01,2.86
EV/EBITDA Ratio,7.05,7.28,6.20,9.29,10.45,10.68,6.99,12.01,11.01,9.35,13.42
EV/EBIT Ratio,10.23,10.41,11.22,12.67,12.17,12.34,8.80,15.24,13.52,11.98,17.57
EV/FCF Ratio,6.72,6.79,4.22,9.70,9.46,13.40,8.05,9.51,15.03,14.71,16.92
Debt / Equity Ratio,0.26,0.44,0.81,0.72,0.85,1.64,6.89,3.84,3.15,2.06,3.11
Debt / EBITDA Ratio,0.92,1.46,3.75,2.35,1.38,1.22,1.40,2.16,1.96,1.75,1.84
Debt / FCF Ratio,0.88,1.36,2.55,2.46,1.25,1.54,1.62,1.71,2.68,2.75,2.32
Quick Ratio,2.17,2.25,1.67,1.37,1.82,1.32,1.07,1.61,1.36,1.17,0.91
Current Ratio,2.40,2.50,1.76,1.50,1.97,1.45,1.18,1.74,1.50,1.35,1.07
Asset Turnover,0.69,0.66,0.61,0.61,0.60,0.71,0.72,0.66,0.67,0.66,0.64
Return on Equity (ROE),16.10%,15.80%,7.60%,17.40%,4.60%,81.00%,170.40%,160.70%,117.20%,123.70%,70.90%
Return on Assets (ROA),7.00%,6.00%,2.50%,5.30%,1.20%,13.50%,10.80%,8.40%,9.90%,13.10%,7.30%
Return on Capital (ROIC),13.23%,11.47%,4.43%,10.08%,2.67%,39.05%,42.93%,23.59%,28.50%,34.29%,21.25%
Earnings Yield,5.50%,4.97%,3.35%,4.45%,0.64%,6.58%,8.60%,4.39%,5.75%,9.47%,3.92%
FCF Yield,9.74%,9.71%,13.40%,7.51%,8.54%,6.58%,10.84%,9.27%,6.04%,6.45%,5.83%
Dividend Yield,1.70%,1.80%,3.00%,1.90%,1.20%,2.20%,4.50%,2.60%,2.70%,3.20%,2.33%
Payout Ratio,32.10%,37.30%,92.30%,43.40%,186.00%,34.80%,53.90%,58.40%,47.60%,34.10%,62.11%
Buyback Yield / Dilution,5.43%,7.76%,7.48%,5.39%,1.78%,6.16%,10.04%,3.00%,-1.33%,3.93%,4.09%
Total Shareholder Return,7.13%,9.56%,10.48%,7.29%,2.98%,8.36%,14.54%,5.60%,1.37%,7.13%,6.42%
