,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"39,180","34,340","37,913","33,925","24,274","19,705","19,366","10,080","7,825","12,944","13,949","14,425","17,961","19,310","17,376","20,320","27,446","25,439","25,006","20,170","14,940","18,678","16,842","13,885","19,036","9,794","16,799","22,713","37,804","48,028","54,386","47,756","61,279","72,361","42,405","39,062","54,314","58,530","57,331","53,460","55,681"
Market Cap Growth,20.68%,9.26%,44.58%,-1.19%,-38.05%,-42.62%,-48.92%,-70.29%,-67.76%,-34.31%,-27.97%,43.11%,129.52%,49.18%,24.57%,40.87%,52.81%,31.74%,43.91%,-0.74%,-45.57%,-26.57%,-32.65%,-31.16%,27.42%,-47.56%,-0.25%,63.58%,98.59%,390.38%,223.74%,110.26%,62.10%,50.66%,-22.03%,-18.21%,-11.37%,-19.11%,35.20%,36.86%,-
Enterprise Value,"57,901","53,848","56,751","53,004","42,659","39,468","39,802","30,440","27,972","33,390","32,916","32,299","29,743","30,672","28,063","30,145","36,149","33,343","32,274","26,741","21,864","25,750","24,135","21,557","26,842","18,266","25,248","30,340","43,858","53,257","57,768","49,749","62,661","73,644","44,005","41,174","56,677","61,313","60,143","56,423","58,644"
PE Ratio,14.74,13.63,15.05,15.07,-18.56,-4.59,-2.92,-0.92,-0.64,-0.93,-1.11,-1.69,-4.32,74.85,17.29,19.03,15.11,11.15,8.68,6.39,5.74,9.62,16.84,58.59,-79.65,-12.87,-26.41,-227.13,63.11,26.56,19.16,12.22,14.23,14.15,8.70,10.07,15.66,22.48,27.21,24.79,26.06
PS Ratio,1.87,1.61,1.68,1.54,1.21,1.03,1.10,0.66,0.54,0.92,1.03,1.03,1.21,1.29,1.14,1.29,1.67,1.42,1.29,1.01,0.80,1.06,1.06,0.98,1.32,0.73,1.30,1.67,2.66,2.96,2.87,2.26,2.68,2.94,1.75,1.69,2.38,2.71,2.62,2.35,2.45
PB Ratio,1.87,1.62,1.78,1.57,1.33,1.25,1.40,0.92,1.00,3.51,3.49,3.05,2.97,3.06,2.60,2.91,3.44,2.94,2.64,2.02,1.53,1.91,1.74,1.47,2.05,1.11,1.88,2.46,3.72,4.40,4.53,3.58,4.38,4.87,2.85,2.61,3.49,3.65,3.54,3.25,3.38
P/FCF Ratio,35.85,53.41,197.46,-1169.82,7.35,7.66,7.26,5.03,34.17,7.73,5.39,3.76,2.51,2.63,2.28,2.56,7.83,6.35,6.09,5.18,7.41,18.08,111.54,-13.56,-39.82,-9.20,-16.73,249.59,20.71,15.44,10.72,8.20,10.33,11.66,8.29,10.77,28.11,64.32,99.88,72.74,75.76
P/OCF Ratio,6.38,5.28,5.53,4.91,4.31,3.83,4.01,2.71,2.43,3.99,4.58,4.50,4.81,5.10,4.40,4.89,5.88,4.85,4.53,3.62,3.87,6.17,7.41,11.11,12.84,10.76,19.83,12.21,12.53,11.63,9.01,7.06,7.94,8.69,5.61,6.15,10.57,13.01,12.60,10.63,11.07
Debt / Equity Ratio,0.99,0.99,0.95,0.91,1.03,1.29,1.51,1.89,2.60,5.63,4.83,4.01,2.65,2.43,2.30,2.12,1.66,1.34,1.17,1.12,1.14,1.01,1.02,1.05,1.06,1.14,1.11,1.09,0.95,0.90,0.81,0.72,0.68,0.65,0.74,0.71,0.68,0.60,0.59,0.57,0.57
Quick Ratio,0.81,0.69,0.56,0.47,0.33,0.67,0.58,0.46,0.23,0.29,0.25,0.44,1.26,0.98,1.11,1.08,1.19,1.13,1.30,1.46,1.52,1.11,1.02,0.88,0.86,0.67,0.75,1.06,1.33,1.26,1.34,1.56,1.57,1.53,1.76,1.57,1.51,1.51,1.54,1.49,1.49
Current Ratio,2.09,1.75,1.36,1.42,1.75,2.01,1.84,1.69,1.73,1.63,2.36,2.56,2.45,2.02,2.11,2.02,2.16,2.33,2.72,2.84,3.14,2.79,2.66,2.47,2.47,2.34,2.46,2.61,2.72,2.35,2.28,2.50,2.52,2.37,2.73,2.56,2.46,2.79,2.94,2.90,2.90
Interest Coverage,8.34,6.45,6.00,6.77,-27.34,-20.64,-16.70,-25.45,-22.74,-20.39,-0.74,1.72,3.27,3.43,3.81,3.19,8.01,8.93,10.75,8.54,0.87,1.93,0.34,0.06,2.54,-3.34,2.30,6.22,6.59,9.01,12.39,15.69,11.12,19.51,10.04,6.14,10.15,8.70,6.16,11.02,8.68
Return on Capital (ROIC),Upgrade,8.26%,7.81%,8.13%,7.29%,-4.43%,-14.59%,-24.14%,-41.21%,-47.76%,-58.66%,-51.09%,-30.74%,-13.45%,5.73%,7.40%,6.24%,11.52%,14.54%,17.40%,18.36%,13.76%,10.73%,5.61%,1.98%,0.46%,-2.42%,-1.99%,0.65%,5.13%,11.78%,16.84%,21.25%,23.25%,25.83%,23.21%,19.00%,16.23%,12.99%,11.10%,11.66%
Dividend Yield,6.00%,6.80%,3.40%,3.80%,5.40%,6.60%,5.30%,7.50%,6.80%,1.50%,0.90%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.70%,1.50%,1.60%,1.70%,2.10%,1.50%,3.00%,1.30%,0.60%,0.20%,0.00%,0.20%,0.50%,0.50%,0.80%,1.50%,1.90%,1.60%,1.50%,1.50%,1.60%,1.54%
Payout Ratio,45.90%,63.70%,67.80%,58.90%,-11.40%,-13.20%,-2.80%,-1.40%,-1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.30%,13.20%,15.20%,250.00%,-100.00%,-33.30%,-,-14.70%,0.00%,0.00%,0.00%,0.00%,10.10%,7.90%,10.00%,14.30%,25.90%,53.60%,30.60%,32.60%,62.50%,48.40%,40.16%
Buyback Yield / Dilution,-9.20%,-9.55%,-6.20%,-0.29%,2.30%,0.38%,0.48%,-2.39%,-15.38%,-20.29%,-22.02%,-26.14%,-19.27%,-16.23%,-14.50%,-7.62%,-3.70%,-0.28%,-0.34%,-0.28%,-0.07%,0.07%,0.48%,0.41%,0.48%,0.34%,-0.48%,-0.62%,-2.34%,-1.72%,-1.71%,-1.57%,-0.89%,0.54%,1.75%,3.03%,3.10%,1.77%,1.03%,-0.28%,-0.28%
