,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"18,588","15,282","7,173","11,494","16,210","13,045","12,149","19,919","14,844","12,812","18,336"
Market Cap Growth,15.64%,-17.78%,-53.07%,60.25%,41.03%,-19.53%,-6.87%,63.96%,-25.48%,-13.69%,-
Enterprise Value,"19,850","16,952","10,133","13,976","19,176","15,078","14,602","23,849","19,875","17,477","23,218"
PE Ratio,11.84,8.77,28.92,14.89,13.71,6.48,12.10,15.16,9.00,-24.22,-24.53
PS Ratio,1.35,1.11,0.64,1.07,1.45,1.26,1.16,1.87,1.27,1.74,2.83
PB Ratio,6.56,5.06,4.50,8.43,9.74,6.03,6.80,31.57,136.18,-10.69,-9.85
P/FCF Ratio,9.28,8.03,6.56,7.76,8.92,10.01,10.75,17.60,11.63,11.04,17.23
P/OCF Ratio,7.27,5.77,4.27,6.00,7.67,7.41,7.09,12.25,8.96,13.60,24.71
EV/Sales Ratio,1.45,1.23,0.91,1.30,1.71,1.45,1.39,2.23,1.70,2.37,3.59
EV/EBITDA Ratio,7.55,5.62,7.90,7.83,8.52,7.06,9.06,12.14,8.35,52.96,357.21
EV/EBIT Ratio,11.34,7.79,21.70,13.48,11.59,9.45,11.84,15.21,10.31,-95.50,-75.05
EV/FCF Ratio,9.91,8.91,9.27,9.43,10.55,11.57,12.92,21.07,15.58,15.07,21.82
Debt / Equity Ratio,1.38,1.38,2.57,3.68,2.89,1.97,2.34,8.14,51.80,-4.55,-3.13
Debt / EBITDA Ratio,1.49,1.38,3.19,2.81,2.14,1.99,2.59,2.62,2.37,16.52,87.22
Debt / FCF Ratio,1.96,2.18,3.74,3.39,2.65,3.26,3.69,4.54,4.42,4.70,5.33
Quick Ratio,1.83,1.80,1.09,1.42,0.95,1.44,1.04,0.81,0.60,0.54,0.50
Current Ratio,2.41,2.38,1.57,1.92,1.35,1.96,1.51,1.29,1.13,1.12,1.04
Asset Turnover,1.51,1.36,1.30,1.20,1.24,1.16,1.19,1.22,1.29,0.92,0.87
Interest Coverage,8.98,10.52,2.42,4.67,7.01,7.13,6.13,7.13,7.74,-0.58,-0.91
Return on Equity (ROE),53.90%,54.10%,14.10%,51.30%,88.70%,105.50%,55.90%,133.90%,398.10%,70.00%,50.90%
Return on Assets (ROA),17.30%,17.20%,2.90%,8.60%,13.10%,22.50%,11.30%,15.00%,18.30%,-6.60%,-9.70%
Return on Capital (ROIC),26.54%,25.37%,7.09%,15.64%,21.01%,33.99%,21.21%,25.21%,33.36%,-8.04%,-7.63%
Earnings Yield,8.45%,11.40%,3.46%,6.72%,7.29%,15.42%,8.26%,6.60%,11.11%,-4.13%,-3.97%
FCF Yield,10.77%,12.45%,15.24%,12.89%,11.22%,9.99%,9.30%,5.68%,8.60%,9.05%,5.80%
Dividend Yield,2.90%,4.30%,10.10%,6.50%,4.50%,5.30%,5.40%,3.10%,4.00%,4.50%,3.20%
Payout Ratio,35.80%,38.10%,292.80%,96.60%,61.50%,35.30%,67.40%,49.00%,36.90%,-109.40%,-79.80%
Buyback Yield / Dilution,9.16%,4.61%,8.76%,0.99%,2.34%,2.40%,7.02%,7.55%,8.57%,7.59%,-1.46%
Total Shareholder Return,12.06%,8.91%,18.86%,7.49%,6.84%,7.70%,12.42%,10.65%,12.57%,12.09%,1.74%
