,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"3,276","4,334","4,505","5,307","5,617","8,144","9,624","11,089","11,705","12,261","18,890"
Market Cap Growth,67.18%,32.29%,3.95%,17.79%,5.84%,45.00%,18.17%,15.22%,5.55%,4.74%,-
Enterprise Value,"4,675","5,740","5,915","6,753","7,148","9,620","11,388","12,773","14,109","14,917","21,922"
PE Ratio,14.11,18.64,15.32,20.35,18.62,19.46,19.94,18.21,25.08,45.11,46.81
PS Ratio,0.60,0.82,0.83,0.91,0.91,1.22,1.29,1.41,1.40,1.32,1.83
PB Ratio,19.09,23.24,11.03,9.25,9.99,12.06,11.24,10.35,11.19,12.36,17.39
P/FCF Ratio,10.51,15.82,24.67,16.16,19.32,19.85,22.73,17.48,17.83,23.28,68.21
P/OCF Ratio,9.85,13.98,18.08,13.88,15.22,16.30,17.45,15.43,15.89,20.34,53.63
EV/Sales Ratio,0.85,1.09,1.09,1.16,1.16,1.43,1.53,1.63,1.69,1.61,2.12
EV/EBITDA Ratio,8.80,11.03,11.56,12.33,12.39,14.28,14.01,14.49,15.71,21.02,23.23
EV/EBIT Ratio,10.19,12.54,13.14,13.84,13.95,15.90,16.84,17.18,20.26,30.54,30.42
EV/FCF Ratio,14.99,20.95,32.39,20.57,24.59,23.44,26.90,20.13,21.49,28.32,79.15
Debt / Equity Ratio,9.67,8.65,3.91,2.90,3.23,2.61,2.93,2.50,2.96,3.09,3.35
Debt / EBITDA Ratio,3.12,3.10,3.12,3.04,3.15,2.61,3.08,3.04,3.45,4.31,3.85
Debt / FCF Ratio,5.32,5.89,8.75,5.07,6.26,4.29,5.92,4.21,4.72,5.81,13.12
Quick Ratio,1.28,1.25,1.15,1.10,1.38,1.37,1.66,1.86,1.51,1.15,1.61
Current Ratio,1.37,1.35,1.27,1.18,1.45,1.44,1.75,2.04,1.59,1.21,1.68
Asset Turnover,1.78,1.84,1.85,1.83,1.73,1.79,1.61,1.51,1.40,1.48,1.53
Interest Coverage,5.88,6.37,6.36,7.83,6.23,6.76,6.98,9.15,7.54,4.07,4.46
Return on Equity (ROE),82.30%,119.90%,92.90%,49.20%,53.30%,64.30%,57.40%,60.90%,44.60%,24.10%,39.30%
Return on Assets (ROA),7.50%,8.10%,10.10%,8.20%,8.50%,11.20%,10.40%,11.70%,7.80%,4.30%,6.10%
Return on Capital (ROIC),15.34%,15.37%,17.18%,13.86%,15.31%,20.09%,16.58%,18.51%,12.77%,8.13%,10.95%
Earnings Yield,7.09%,5.37%,6.53%,4.91%,5.37%,5.14%,5.01%,5.49%,3.99%,2.22%,2.17%
FCF Yield,9.52%,6.32%,4.05%,6.19%,5.18%,5.04%,4.40%,5.72%,5.61%,4.30%,1.47%
Dividend Yield,10.90%,5.00%,1.80%,1.80%,1.80%,1.40%,1.50%,1.60%,1.80%,1.90%,1.40%
Payout Ratio,148.10%,92.40%,27.30%,35.60%,34.10%,27.20%,30.30%,29.50%,44.50%,86.30%,65.59%
Buyback Yield / Dilution,-2.13%,-0.57%,0.65%,-0.78%,3.26%,3.43%,-0.09%,1.79%,3.23%,0.74%,1.40%
Total Shareholder Return,8.77%,4.43%,2.45%,1.02%,5.06%,4.83%,1.41%,3.39%,5.03%,2.64%,2.80%
