,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"45,816","53,578","63,865","54,209","50,455","50,287","48,059","39,980","38,914","39,911","45,904","53,253","58,280","56,270","52,254","55,862","62,396","60,913","72,028","73,889","50,573","55,209","54,063","43,097","48,729","20,907","29,486","20,926","29,093","42,326","48,696","46,866","51,974","69,800","64,686","65,479","76,079","67,371","66,931","73,807","66,223"
Market Cap Growth,40.03%,53.95%,78.26%,17.55%,10.13%,-6.14%,-24.75%,-26.25%,-22.87%,-20.63%,-4.48%,33.20%,49.77%,40.99%,13.83%,4.90%,7.06%,8.25%,37.84%,32.27%,-18.95%,-9.36%,-24.94%,-41.67%,-3.65%,-62.13%,-45.46%,-51.44%,-40.30%,102.44%,65.15%,123.96%,78.65%,64.91%,32.84%,39.71%,46.38%,-3.48%,3.47%,12.72%,-
Enterprise Value,"50,411","57,820","68,544","58,638","54,278","55,060","53,092","45,667","44,851","46,228","52,110","59,190","63,666","61,710","57,592","61,403","67,948","66,532","77,454","79,049","55,101","60,551","58,478","47,075","52,245","23,545","33,047","23,836","31,875","44,340","50,194","47,940","52,114","71,113","66,920","65,526","75,481","66,527","66,316","72,624","65,040"
PE Ratio,20.85,22.67,26.50,17.77,17.31,24.12,34.73,-10.53,-8.60,-8.27,-8.96,-42.99,-53.14,-94.35,-186.10,5724.19,24.16,19.08,18.63,14.91,14.79,16.16,15.16,14.41,17.82,9.91,83.83,-68.52,-48.09,682.68,25.92,15.54,11.14,15.95,11.33,8.77,9.81,7.17,7.69,9.36,8.43
PS Ratio,3.16,3.52,4.10,3.16,2.80,3.09,3.30,3.45,4.44,5.12,6.47,7.56,7.62,6.32,5.36,5.44,5.57,4.96,5.18,4.61,2.93,3.13,2.99,2.44,2.80,1.16,2.04,1.69,2.64,4.23,3.73,3.01,2.79,3.69,2.91,2.62,2.96,2.43,2.58,3.01,2.70
PB Ratio,2.97,3.34,3.82,3.06,2.85,2.88,2.76,3.01,3.01,3.22,3.81,4.51,4.17,4.04,3.76,4.01,3.83,3.62,4.13,3.99,2.61,2.77,2.62,2.04,2.25,0.97,1.45,1.04,1.43,2.04,2.33,2.15,2.34,3.24,2.90,2.75,3.07,2.65,2.55,2.66,2.39
P/FCF Ratio,44.51,44.42,89.12,63.09,51.93,17669.33,-1781.36,-86.00,-31.76,-43.56,-88.84,-6358.54,65.08,48.15,43.02,70.96,169.62,126.02,127.13,60.23,26.35,38.66,23.60,18.45,25.91,6.57,17.23,10.48,16.77,23.90,17.45,14.53,10.05,16.80,15.36,10.00,11.81,8.19,8.09,12.66,11.36
P/OCF Ratio,6.25,6.56,7.77,6.35,5.83,6.85,7.63,7.85,10.82,13.64,18.06,24.54,24.70,18.97,14.76,14.93,14.63,12.38,12.46,10.54,6.51,7.06,6.31,5.11,5.97,2.29,4.51,3.68,5.81,9.86,8.45,6.95,5.91,9.01,7.85,6.05,6.86,4.98,4.87,6.32,5.67
Debt / Equity Ratio,0.38,0.37,0.35,0.33,0.33,0.39,0.37,0.48,0.51,0.56,0.58,0.59,0.50,0.50,0.50,0.46,0.39,0.38,0.37,0.35,0.31,0.33,0.27,0.26,0.26,0.26,0.29,0.30,0.30,0.26,0.26,0.25,0.24,0.25,0.24,0.22,0.22,0.16,0.16,0.15,0.15
Quick Ratio,1.04,1.02,0.89,1.03,1.14,1.10,1.17,0.91,0.91,0.94,1.00,1.14,1.39,1.35,1.02,0.96,0.89,0.89,0.68,0.77,0.93,0.78,0.72,0.78,0.90,1.01,1.56,1.39,1.40,1.57,1.47,1.85,1.87,1.15,1.18,1.50,1.59,1.77,1.88,1.95,1.95
Current Ratio,1.42,1.42,1.34,1.45,1.60,1.55,1.64,1.38,1.43,1.53,1.43,1.58,1.67,1.67,1.24,1.27,1.20,1.26,0.99,1.09,1.36,1.14,1.02,1.08,1.18,1.51,2.13,1.69,1.69,1.87,1.73,2.11,2.12,1.35,1.41,1.78,1.90,2.17,2.39,2.43,2.43
Interest Coverage,18.50,21.55,22.22,35.51,24.09,-3.43,0.81,-102.60,-5.33,-9.40,-4.35,-2.84,-1.72,1.55,1.89,3.11,7.52,14.13,15.07,23.73,20.43,16.07,22.83,21.13,21.48,1.69,-20.20,0,9.08,19.74,25.98,30.77,66.76,11.35,61.04,90.34,69.07,62.79,57.74,72.47,65.60
