,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,137.83,164.53,197.89,268.25,343.8,420.07,530.86,681,863.38,"1,190"
Revenue Growth (YoY),20.11%,19.37%,20.28%,35.55%,28.17%,22.18%,26.37%,28.28%,26.78%,37.82%
Cost of Revenue,51.99,62.98,69.25,97.71,136.71,161.49,223.57,264.67,322.47,461.3
Gross Profit,85.84,101.55,128.65,170.54,207.09,258.58,307.29,416.33,540.91,728.64
"Selling, General & Admin",46.56,54.16,69.7,108.08,138.69,156.89,212.96,307.29,515.01,401.58
Research & Development,9.89,14.89,23.61,30.61,55.37,76.86,100.72,123.2,194.03,233.81
Other Operating Expenses,1.45,0,0,0,0,0,0,0,0,0
Operating Expenses,57.9,69.04,93.31,138.69,194.07,233.74,313.68,430.48,709.03,635.39
Operating Income,27.95,32.51,35.34,31.85,13.02,24.84,-6.39,-14.15,-168.12,93.25
Other Expense / Income,-0.09,0.19,-0.03,0.35,-2.74,-3.26,-8.46,-7.86,-26.75,-103.27
Pretax Income,28.03,32.31,35.36,31.5,15.76,28.1,2.07,-6.29,-141.38,196.52
Income Tax,9.79,12.39,15.43,14.2,10.55,-1.1,1.19,-4.57,-81.36,49.38
Net Income,18.24,19.92,19.93,17.3,5.21,29.21,0.88,-1.72,-60.02,147.14
Net Income Growth,23.79%,9.18%,0.08%,-13.22%,-69.90%,460.88%,-96.98%,-,-,-
Shares Outstanding (Basic),52,53,54,53,53,56,59,62,66,71
Shares Outstanding (Diluted),54,55,55,54,54,58,60,62,66,73
Shares Change,-1.04%,0.64%,0.25%,-2.02%,0.68%,7.47%,3.62%,2.94%,7.14%,9.58%
EPS (Basic),0.35,0.38,0.37,0.33,0.10,0.52,0.01,-0.03,-0.91,2.07
EPS (Diluted),0.34,0.37,0.36,0.32,0.10,0.50,0.01,-0.03,-0.91,2.03
EPS Growth,25.93%,8.82%,-2.70%,-11.11%,-68.75%,400.00%,-98.00%,-,-,-
Free Cash Flow,30.68,32.94,40.48,16.22,8.08,52.74,49.73,-34.05,74.65,179.85
Free Cash Flow Per Share,0.59,0.62,0.76,0.31,0.15,0.94,0.84,-0.55,1.13,2.53
Gross Margin,62.28%,61.72%,65.01%,63.57%,60.24%,61.56%,57.88%,61.13%,62.65%,61.23%
Operating Margin,20.28%,19.76%,17.86%,11.87%,3.79%,5.91%,-1.20%,-2.08%,-19.47%,7.84%
Profit Margin,13.24%,12.11%,10.07%,6.45%,1.51%,6.95%,0.17%,-0.25%,-6.95%,12.37%
Free Cash Flow Margin,22.26%,20.02%,20.46%,6.05%,2.35%,12.55%,9.37%,-5.00%,8.65%,15.11%
Effective Tax Rate,34.92%,38.36%,43.63%,45.08%,66.96%,-3.92%,57.39%,-,-,25.13%
EBITDA,33.17,36.63,38.65,35.16,23.8,38.72,17,10.29,-117.11,227.62
EBITDA Margin,24.06%,22.26%,19.53%,13.11%,6.92%,9.22%,3.20%,1.51%,-13.56%,19.13%
Depreciation & Amortization,5.13,4.32,3.29,3.66,8.04,10.62,14.93,16.58,24.27,31.11
EBIT,28.03,32.31,35.36,31.5,15.76,28.1,2.07,-6.29,-141.38,196.52
EBIT Margin,20.34%,19.64%,17.87%,11.74%,4.58%,6.69%,0.39%,-0.92%,-16.37%,16.52%
