,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,824,"1,391",927,"1,267","1,402","2,557","4,349","7,787","10,749","11,808","20,217"
Market Cap Growth,79.18%,68.85%,-33.31%,36.64%,10.64%,82.37%,70.05%,79.07%,38.05%,9.85%,-
Enterprise Value,772,"1,310",818,"1,178","1,320","2,208","3,998","7,225","10,327","11,545","19,738"
PE Ratio,45.14,69.82,46.53,73.27,269.29,87.56,4930.28,-4516.69,-179.10,80.25,138.36
PS Ratio,5.98,8.45,4.69,4.72,4.08,6.09,8.19,11.43,12.45,9.92,13.78
PB Ratio,7.60,10.77,5.91,8.40,8.37,5.47,8.00,7.98,10.26,9.31,13.29
P/FCF Ratio,26.85,42.22,22.91,78.13,173.62,48.49,87.44,-228.67,144.00,65.66,151.71
P/OCF Ratio,25.40,39.25,19.97,59.96,75.91,40.03,66.21,202.35,86.34,50.17,112.10
EV/Sales Ratio,5.60,7.96,4.13,4.39,3.84,5.26,7.53,10.61,11.96,9.70,13.45
EV/EBITDA Ratio,23.29,35.75,21.16,33.52,55.47,57.02,235.19,702.26,-88.18,50.72,116.56
EV/EBIT Ratio,27.55,40.53,23.12,37.41,83.77,78.55,1931.27,-1148.43,-73.05,58.75,147.38
EV/FCF Ratio,25.18,39.76,20.20,72.64,163.47,41.86,80.38,-212.16,138.33,64.19,148.11
Debt / Equity Ratio,0.00,0.00,-,-,-,-,-,-,0.02,0.56,0.47
Debt / EBITDA Ratio,0.00,0.00,-,-,-,-,-,-,-0.17,3.12,4.20
Debt / FCF Ratio,0.00,0.00,-,-,-,-,-,-,0.27,3.95,5.34
Quick Ratio,3.19,3.50,3.64,1.87,1.28,2.89,2.54,3.09,1.83,2.21,2.28
Current Ratio,4.21,4.21,4.23,2.27,1.90,3.36,3.12,3.83,2.65,3.00,3.15
Asset Turnover,1.09,0.99,0.93,1.08,1.07,0.69,0.68,0.57,0.55,0.56,0.48
Return on Equity (ROE),19.80%,16.60%,13.30%,11.90%,3.20%,7.40%,0.20%,-0.20%,-5.60%,12.20%,10.40%
Return on Assets (ROA),14.40%,12.00%,9.40%,6.90%,1.60%,4.80%,0.10%,-0.10%,-3.80%,6.90%,4.80%
Return on Capital (ROIC),16.77%,15.51%,12.69%,11.59%,2.57%,5.52%,-0.50%,-1.45%,-15.74%,3.53%,6.57%
Earnings Yield,2.22%,1.43%,2.15%,1.36%,0.37%,1.14%,0.02%,-0.02%,-0.56%,1.25%,0.72%
FCF Yield,3.72%,2.37%,4.36%,1.28%,0.58%,2.06%,1.14%,-0.44%,0.69%,1.52%,0.66%
Buyback Yield / Dilution,1.04%,-0.64%,-0.25%,2.02%,-0.68%,-7.47%,-3.62%,-2.94%,-7.14%,-9.58%,-4.73%
Total Shareholder Return,1.04%,-0.64%,-0.25%,2.02%,-0.68%,-7.47%,-3.62%,-2.94%,-7.14%,-9.58%,-4.73%
