,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"16,135","17,026","14,191","12,395","14,875","6,886","8,161","8,006","10,617","8,182","6,941"
Market Cap Growth,39.28%,5.52%,-16.65%,-12.66%,20.01%,-53.71%,18.52%,-1.90%,32.61%,-22.94%,-
Enterprise Value,"19,991","21,835","19,486","16,830","19,233","12,715","14,775","15,093","17,891","14,825","13,857"
PE Ratio,17.16,17.23,14.66,14.51,13.20,7.80,18.50,27.80,9.18,18.30,11.79
PS Ratio,3.47,3.31,2.77,2.62,2.88,1.30,1.33,1.30,1.54,1.35,1.21
PB Ratio,1.92,2.05,1.80,1.65,1.71,0.80,0.59,0.56,0.69,0.54,0.46
P/FCF Ratio,23.32,15.95,14.14,24.48,14.22,9.48,8.22,7.18,10.95,16.03,8.14
P/OCF Ratio,20.68,14.18,12.58,18.95,12.85,8.31,7.31,6.51,9.85,11.63,6.61
EV/Sales Ratio,4.30,4.24,3.80,3.55,3.73,2.39,2.42,2.46,2.59,2.45,2.41
EV/EBITDA Ratio,13.04,14.17,12.64,12.13,11.97,9.14,13.27,13.49,8.04,11.52,12.17
EV/EBIT Ratio,13.83,15.04,13.46,13.09,12.91,10.18,15.79,16.48,8.86,13.59,14.52
EV/FCF Ratio,28.89,20.46,19.41,33.24,18.39,17.51,14.89,13.53,18.46,29.05,16.25
Debt / Equity Ratio,0.69,0.81,0.95,0.87,0.79,0.89,0.60,0.61,0.61,0.53,0.56
Debt / EBITDA Ratio,3.76,4.36,4.87,4.69,4.28,5.49,7.47,7.86,4.24,6.28,7.44
Debt / FCF Ratio,8.34,6.30,7.48,12.85,6.57,10.51,8.38,7.89,9.72,15.83,9.93
Asset Turnover,0.25,0.26,0.22,0.20,0.18,0.17,0.17,0.17,0.21,0.20,0.19
Interest Coverage,8.61,19.86,17.72,13.77,15.72,11.20,6.89,7.08,21.32,12.81,13.38
Return on Equity (ROE),11.30%,11.80%,12.00%,11.10%,13.80%,10.00%,3.50%,2.10%,7.70%,3.00%,2.40%
Return on Assets (ROA),5.00%,4.90%,4.10%,3.60%,3.90%,2.80%,1.20%,0.80%,3.50%,1.50%,1.20%
Return on Capital (ROIC),5.82%,6.08%,6.25%,6.02%,6.63%,5.77%,2.57%,2.65%,5.20%,3.85%,2.52%
Earnings Yield,5.83%,5.80%,6.82%,6.89%,7.58%,12.82%,5.40%,3.60%,10.89%,5.46%,5.18%
FCF Yield,4.29%,6.27%,7.07%,4.08%,7.03%,10.55%,12.16%,13.93%,9.13%,6.24%,12.29%
Dividend Yield,2.30%,2.50%,4.00%,3.70%,3.10%,7.10%,6.80%,4.40%,2.90%,4.10%,5.18%
Payout Ratio,40.40%,43.00%,58.80%,53.90%,41.80%,55.60%,95.30%,68.00%,22.10%,48.90%,61.07%
Buyback Yield / Dilution,0.17%,2.81%,1.62%,3.62%,-0.36%,-,-10.76%,-1.15%,-0.41%,1.39%,1.39%
Total Shareholder Return,2.47%,5.31%,5.62%,7.32%,2.74%,7.10%,-3.96%,3.25%,2.49%,5.49%,6.57%
