,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,"3,575","4,515","4,396","4,845","5,150","4,950","5,537","5,629","6,991","7,426"
Revenue Growth (YoY),-5.85%,26.29%,-2.64%,10.21%,6.30%,-3.88%,11.86%,1.66%,24.20%,6.22%
Cost of Revenue,"1,347","1,429","1,354","1,298","1,277","1,322","1,369","1,494","1,859","1,792"
Gross Profit,"2,228","3,086","3,042","3,547","3,873","3,628","4,168","4,135","5,132","5,634"
"Selling, General & Admin","1,090","1,033","1,028","1,112","1,110","1,162","1,137","1,281","1,634","1,705"
Research & Development,"1,125","1,094","1,109","1,205","1,320","1,433","1,559","1,778","2,186","2,328"
Other Operating Expenses,-20,11,7,6,9,37,27,30,183,269
Operating Expenses,"2,195","2,138","2,144","2,323","2,439","2,632","2,723","3,089","4,003","4,302"
Operating Income,33,948,898,"1,224","1,434",996,"1,445","1,046","1,129","1,332"
Other Expense / Income,26,23,21,14,-15,-83,-63,29,48,6
Pretax Income,7,925,877,"1,210","1,449","1,079","1,508","1,017","1,081","1,326"
Income Tax,-1,50,-279,243,406,60,"-1,531",180,292,524
Net Income,8,875,"1,156",967,"1,043","1,019","3,039",837,789,802
Net Income Growth,-91.84%,10837.50%,32.11%,-16.35%,7.86%,-2.30%,198.23%,-72.46%,-5.73%,1.65%
Shares Outstanding (Basic),308,311,310,303,308,303,293,289,284,277
Shares Outstanding (Diluted),316,325,330,314,312,306,295,292,286,278
Shares Change,0.96%,2.85%,1.54%,-4.85%,-0.64%,-1.92%,-3.59%,-1.02%,-2.05%,-2.80%
EPS (Basic),0.03,2.81,3.73,3.19,3.39,3.36,10.37,2.90,2.78,2.90
EPS (Diluted),0.03,2.69,3.50,3.08,3.34,3.33,10.30,2.87,2.76,2.88
EPS Growth,-90.32%,8866.67%,30.11%,-12.00%,8.44%,-0.30%,209.31%,-72.14%,-3.83%,4.35%
Free Cash Flow,615,972,"1,372","1,455","1,585","1,428","1,657","1,810","1,711","1,343"
Free Cash Flow Per Share,2.00,3.13,4.43,4.80,5.15,4.71,5.66,6.26,6.03,4.85
Dividend Per Share,-,-,-,-,-,-,-,0.340,0.680,0.760
Dividend Growth,-,-,-,-,-,-,-,-,100.00%,11.76%
Gross Margin,62.32%,68.35%,69.20%,73.21%,75.20%,73.29%,75.28%,73.46%,73.41%,75.87%
Operating Margin,0.92%,21.00%,20.43%,25.26%,27.84%,20.12%,26.10%,18.58%,16.15%,17.94%
Profit Margin,0.22%,19.38%,26.30%,19.96%,20.25%,20.59%,54.89%,14.87%,11.29%,10.80%
Free Cash Flow Margin,17.20%,21.53%,31.21%,30.03%,30.78%,28.85%,29.93%,32.15%,24.47%,18.09%
Effective Tax Rate,-14.29%,5.41%,-31.81%,20.08%,28.02%,5.56%,-101.53%,17.70%,27.01%,39.52%
EBITDA,234,"1,145","1,074","1,382","1,585","1,224","1,658","1,198","1,567","1,862"
EBITDA Margin,6.55%,25.36%,24.43%,28.52%,30.78%,24.73%,29.94%,21.28%,22.41%,25.07%
Depreciation & Amortization,227,220,197,172,136,145,150,181,486,536
EBIT,7,925,877,"1,210","1,449","1,079","1,508","1,017","1,081","1,326"
EBIT Margin,0.20%,20.49%,19.95%,24.97%,28.14%,21.80%,27.23%,18.07%,15.46%,17.86%
