,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"8,981","18,235","20,448","27,596","37,188","30,448","29,017","38,936","35,577","33,031","38,039"
Market Cap Growth,69.09%,103.03%,12.14%,34.95%,34.76%,-18.12%,-4.70%,34.18%,-8.63%,-7.16%,-
Enterprise Value,"7,196","15,847","17,766","24,054","32,849","25,997","24,278","34,446","34,393","32,144","36,816"
PE Ratio,1122.65,20.84,17.69,28.54,35.66,29.88,9.55,46.52,45.09,41.19,35.84
PS Ratio,2.51,4.04,4.65,5.70,7.22,6.15,5.24,6.92,5.09,4.45,4.97
PB Ratio,3.71,6.01,6.02,6.80,8.09,5.71,3.89,4.97,4.67,4.53,5.05
P/FCF Ratio,14.60,18.76,14.90,18.97,23.46,21.32,17.51,21.51,20.79,24.59,17.63
P/OCF Ratio,12.61,17.09,13.96,17.49,21.98,19.68,16.15,20.13,18.73,21.31,16.17
EV/Sales Ratio,2.01,3.51,4.04,4.96,6.38,5.25,4.38,6.12,4.92,4.33,4.81
EV/EBITDA Ratio,30.75,13.84,16.54,17.41,20.72,21.24,14.64,28.75,21.95,17.26,19.00
EV/EBIT Ratio,1028.03,17.13,20.26,19.88,22.67,24.09,16.10,33.87,31.82,24.24,24.38
EV/FCF Ratio,11.70,16.30,12.95,16.53,20.72,18.21,14.65,19.03,20.10,23.93,17.07
Debt / Equity Ratio,0.24,0.21,0.34,0.24,0.22,0.19,0.13,0.24,0.25,0.26,0.25
Debt / EBITDA Ratio,2.48,0.55,1.07,0.72,0.63,0.81,0.60,1.57,1.20,1.01,0.97
Debt / FCF Ratio,0.94,0.65,0.84,0.68,0.63,0.70,0.60,1.04,1.10,1.40,0.87
Quick Ratio,1.13,1.23,1.68,2.03,2.29,2.68,2.33,2.32,1.06,1.05,1.21
Current Ratio,1.31,1.35,1.80,2.15,2.41,2.82,2.45,2.43,1.18,1.21,1.33
Asset Turnover,0.68,0.76,0.70,0.67,0.63,0.57,0.52,0.47,0.52,0.56,0.57
Return on Equity (ROE),0.30%,31.50%,35.90%,25.90%,23.80%,19.20%,42.90%,10.60%,10.20%,10.60%,14.50%
Return on Assets (ROA),0.20%,14.70%,18.30%,13.40%,12.80%,11.80%,28.50%,6.90%,5.90%,6.00%,8.10%
Return on Capital (ROIC),1.26%,24.44%,26.03%,19.37%,18.48%,14.87%,34.43%,8.86%,8.67%,8.78%,11.07%
Earnings Yield,0.09%,4.80%,5.65%,3.50%,2.80%,3.35%,10.47%,2.15%,2.22%,2.43%,2.84%
FCF Yield,6.85%,5.33%,6.71%,5.27%,4.26%,4.69%,5.71%,4.65%,4.81%,4.07%,5.67%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.50%,0.60%,0.53%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.70%,24.50%,26.20%,19.14%
Buyback Yield / Dilution,-0.96%,-2.85%,-1.54%,4.85%,0.64%,1.92%,3.59%,1.02%,2.05%,2.80%,2.52%
Total Shareholder Return,-0.96%,-2.85%,-1.54%,4.85%,0.64%,1.92%,3.59%,1.32%,2.55%,3.40%,3.05%
