,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"9,386","10,225","11,144","10,802","11,928","13,949","15,196","16,139","16,236","15,850","17,475","16,995","18,901","22,483","21,827","18,264","16,764","18,066","19,500","16,782","17,516","19,796","20,112","15,668","7,877","11,589","12,949","18,729","24,762","24,061","24,719","27,384","30,476","14,898","14,762","13,674","14,879","16,203","14,777","21,076","17,686"
Market Cap Growth,15.50%,25.80%,58.17%,18.96%,27.09%,36.41%,36.36%,49.41%,36.11%,13.63%,14.99%,5.31%,16.42%,41.85%,24.90%,7.47%,-11.31%,-19.65%,-10.66%,-8.12%,4.48%,9.57%,3.14%,-6.64%,-55.03%,-41.46%,-35.62%,19.54%,214.35%,107.62%,90.90%,46.21%,23.08%,-38.08%,-40.28%,-50.07%,-51.18%,8.76%,0.10%,54.14%,-
Enterprise Value,"8,435","9,073","10,210","10,756","11,600","13,011","16,171","17,601","17,310","16,669","18,770","18,267","18,683","21,876","22,235","19,129","16,362","17,398","19,663","17,769","17,071","18,469","20,572","16,518","10,342","14,899","17,196","23,299","27,379","24,933","26,952","30,189","30,410","13,609","14,899","14,327","12,996","13,967","14,823","21,954","18,564"
PE Ratio,29.08,30.02,26.11,27.13,26.13,17.08,18.03,21.11,26.54,81.81,92.04,60.27,62.06,68.14,54.21,48.32,51.27,66.67,43.92,41.34,39.81,31.83,39.75,27.73,-12.44,-7.39,-5.89,-6.97,-12.43,-15.62,-25.83,-101.80,141.75,45.01,32.73,38.85,45.23,18.02,17.55,26.44,25.47
PS Ratio,1.89,1.95,2.01,1.87,2.01,2.29,2.40,2.42,2.25,2.05,2.09,1.94,2.09,2.38,2.22,1.82,1.62,1.69,1.78,1.50,1.55,1.71,1.69,1.30,0.68,1.28,1.84,3.60,5.85,4.16,3.42,3.19,3.17,1.40,1.30,1.17,1.23,1.32,1.18,1.64,1.38
PB Ratio,4.70,5.45,5.91,6.05,7.17,6.61,6.23,3.32,3.51,3.77,4.50,4.11,4.62,5.32,4.74,4.04,4.00,4.55,4.45,4.09,4.29,4.56,4.81,3.95,3.47,6.68,7.93,12.40,20.48,21.95,15.42,13.31,14.67,7.80,6.51,5.99,8.12,9.21,8.83,13.74,11.53
P/FCF Ratio,16.84,14.19,10.70,10.40,10.94,15.09,24.22,27.78,28.32,21.60,27.24,21.24,13.69,15.13,17.55,16.09,15.27,15.27,16.24,15.30,11.77,11.44,17.15,9.75,-5.88,-2.74,-3.18,-4.04,-15.89,8.52,10.21,8.91,7.80,4.89,4.50,4.92,5.19,6.98,7.78,11.43,9.59
P/OCF Ratio,11.00,9.94,8.23,7.90,8.25,8.92,11.33,11.80,11.39,11.07,12.75,10.97,8.88,10.16,11.19,9.90,9.15,9.28,9.66,8.50,7.16,7.14,8.82,5.66,-47.45,-3.68,-4.17,-4.89,-28.14,6.91,8.03,7.31,6.67,4.04,3.78,3.97,4.13,5.19,5.38,7.83,6.57
Debt / Equity Ratio,0.63,0.67,0.93,0.98,1.05,1.17,1.01,0.65,0.69,0.76,0.82,0.76,0.78,0.76,0.92,0.94,1.02,1.07,0.85,0.91,1.02,0.96,1.28,1.38,3.25,5.82,5.73,5.78,7.36,8.11,5.52,4.28,3.88,3.70,2.89,2.87,3.57,3.72,3.91,4.28,4.28
Quick Ratio,0.68,0.69,0.79,0.61,0.57,0.76,0.46,0.47,0.50,0.51,0.50,0.53,0.62,0.64,0.68,0.67,0.69,0.69,0.67,0.61,0.67,0.72,0.72,0.67,0.66,0.99,1.05,0.90,0.83,0.81,0.83,0.77,0.79,0.76,0.76,0.74,0.75,0.76,0.74,0.72,0.72
Current Ratio,0.75,0.75,0.85,0.70,0.65,0.84,0.53,0.50,0.55,0.56,0.55,0.56,0.66,0.69,0.72,0.70,0.74,0.74,0.70,0.65,0.72,0.76,0.75,0.72,0.80,1.14,1.20,1.04,1.01,0.95,0.93,0.87,0.89,0.85,0.83,0.82,0.83,0.83,0.80,0.78,0.78
Interest Coverage,0.36,5.93,12.58,4.44,2.54,21.37,11.50,0.85,-2.77,1.31,8.84,3.59,-2.09,2.40,10.50,2.50,-2.08,0.92,13.89,2.17,-2.51,6.92,15.08,3.23,-26.66,-8.99,-0.91,-3.77,-6.62,-1.64,6.38,6.50,-1.56,-0.74,12.05,4.08,-0.08,8.57,10.10,3.74,5.60
Return on Capital (ROIC),Upgrade,11.23%,12.76%,12.89%,12.00%,10.98%,7.41%,7.35%,4.06%,3.59%,3.68%,4.37%,5.30%,5.66%,6.02%,6.07%,5.82%,4.94%,5.26%,7.50%,7.19%,7.22%,8.16%,5.82%,6.62%,-5.58%,-13.50%,-19.61%,-26.56%,-17.74%,-10.79%,-5.15%,0.56%,2.90%,8.60%,9.79%,9.62%,10.31%,10.69%,10.08%,9.72%
