,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"27,886","31,430","32,030","52,328","57,153","75,402","668,905","1,061,287","388,972","789,898","636,799"
Market Cap Growth,51.21%,12.71%,1.91%,63.37%,9.22%,31.93%,787.12%,58.66%,-63.35%,103.07%,-
Enterprise Value,"28,439","32,906","35,660","59,119","65,246","82,553","661,260","1,050,414","369,886","766,034","612,935"
PE Ratio,-94.84,-35.37,-47.46,-26.67,-58.56,-87.47,927.75,192.30,30.98,52.67,46.50
PS Ratio,8.72,7.77,4.58,4.45,2.66,3.07,21.21,19.72,4.78,8.16,6.58
PB Ratio,30.59,29.00,6.74,12.35,11.61,11.39,30.10,35.16,8.70,12.61,10.17
P/FCF Ratio,-27.15,-14.56,-20.48,-12.63,-258.61,77.49,246.74,212.98,51.44,181.29,146.16
P/OCF Ratio,-486.36,-59.92,-258.67,-857.83,27.24,31.35,112.55,92.31,26.42,59.59,48.04
EV/Sales Ratio,8.89,8.13,5.09,5.03,3.04,3.36,20.97,19.52,4.54,7.92,6.33
EV/EBITDA Ratio,590.26,-98.47,71.65,334.01,39.64,39.56,161.95,110.57,20.99,51.69,41.36
EV/EBIT Ratio,-154.77,-43.48,-79.35,-40.52,-255.87,-1232.13,375.50,159.42,26.65,75.46,60.38
EV/FCF Ratio,-27.69,-15.24,-22.80,-14.27,-295.23,84.84,243.92,210.80,48.92,175.82,140.68
Debt / Equity Ratio,2.73,2.49,1.50,2.43,2.43,2.03,0.53,0.23,0.07,0.08,0.08
Debt / EBITDA Ratio,51.64,-8.07,14.32,58.28,7.27,6.43,2.88,0.72,0.18,0.35,0.35
Debt / FCF Ratio,-2.42,-1.25,-4.56,-2.49,-54.17,13.79,4.33,1.37,0.41,1.20,1.20
Quick Ratio,1.03,0.49,0.69,0.53,0.48,0.71,1.49,1.00,0.94,1.13,1.13
Current Ratio,1.51,0.99,1.07,0.86,0.83,1.14,1.88,1.38,1.53,1.73,1.73
Asset Turnover,0.61,0.57,0.50,0.44,0.75,0.77,0.73,0.94,1.12,1.02,1.02
Interest Coverage,-1.82,-6.37,-2.26,-3.10,-0.38,-0.10,2.35,17.76,72.66,65.08,65.08
Return on Equity (ROE),-31.50%,-90.20%,-24.70%,-41.20%,-21.90%,-15.00%,5.00%,21.00%,32.40%,27.90%,27.90%
Return on Assets (ROA),-5.60%,-12.60%,-4.80%,-7.30%,-3.40%,-2.70%,1.70%,9.70%,17.20%,15.90%,15.90%
Return on Capital (ROIC),-5.49%,-18.96%,-5.62%,-11.21%,-2.30%,-0.34%,4.18%,15.64%,26.20%,19.66%,19.66%
Earnings Yield,-1.05%,-2.83%,-2.11%,-3.75%,-1.71%,-1.14%,0.11%,0.52%,3.23%,1.90%,2.36%
FCF Yield,-3.68%,-6.87%,-4.88%,-7.92%,-0.39%,1.29%,0.41%,0.47%,1.94%,0.55%,0.68%
Buyback Yield / Dilution,-4.29%,-2.94%,-12.49%,-15.11%,-2.77%,-3.99%,-5.15%,-5.75%,-5.78%,-1.41%,-1.41%
Total Shareholder Return,-4.29%,-2.94%,-12.49%,-15.11%,-2.77%,-3.99%,-5.15%,-5.75%,-5.78%,-1.41%,-1.41%
