,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"13,899","15,142","13,379","11,860","11,270","11,256","8,947","9,501","9,972","10,755","11,430","11,640","12,495","12,488","14,233","15,733","15,168","11,322","13,076","10,382","13,595","14,562","14,480","16,743","12,115","13,900","15,598","18,193","19,699","21,675","22,386","26,148","22,602","17,490","16,735","19,005","21,228","20,649","19,514","21,517","22,587"
Market Cap Growth,9.18%,13.95%,-12.74%,-27.89%,-18.92%,-25.67%,-33.13%,-19.89%,-11.52%,-4.45%,27.76%,22.52%,25.30%,16.11%,24.52%,35.16%,21.39%,-9.33%,-8.12%,-34.01%,-10.37%,28.61%,10.73%,61.27%,-10.89%,-4.55%,7.72%,8.66%,62.60%,55.94%,43.52%,43.72%,14.74%,-19.31%,-25.24%,-27.32%,-6.08%,18.06%,16.60%,13.21%,-
Enterprise Value,"16,092","17,242","15,396","14,209","13,575","13,267","10,970","11,894","12,745","13,451","14,043","14,912","15,715","15,719","17,380","18,547","18,259","14,339","16,148","13,150","16,640","17,545","17,231","19,417","15,069","16,756","18,308","20,789","22,225","24,157","24,707","28,887","25,408","20,304","20,060","22,303","24,432","23,786","22,382","24,578","25,648"
PE Ratio,14.58,18.09,16.73,15.30,13.67,11.94,9.97,10.92,13.13,19.71,23.35,22.87,21.48,19.90,21.04,19.38,19.68,15.16,18.03,18.21,24.97,24.16,22.23,24.70,16.19,20.59,23.30,26.62,26.62,24.64,23.74,23.27,20.23,15.31,14.37,17.84,19.88,20.24,19.05,20.36,21.47
PS Ratio,1.93,2.10,1.83,1.53,1.47,1.51,1.24,1.37,1.45,1.58,1.70,1.93,2.00,1.99,2.25,2.31,2.21,1.63,1.89,1.49,1.92,2.05,2.02,2.35,1.71,2.06,2.34,2.72,2.86,2.92,2.91,3.31,2.79,2.13,2.00,2.23,2.49,2.44,2.30,2.55,2.68
PB Ratio,3.71,3.89,3.41,3.21,3.15,3.13,2.51,2.61,2.70,2.90,3.02,3.06,3.16,3.07,3.33,3.59,3.41,3.99,4.76,3.75,4.79,4.93,4.80,5.52,4.06,4.50,4.81,5.37,5.63,5.83,5.75,6.24,5.22,3.99,4.19,4.43,4.76,4.43,4.04,4.21,4.42
P/FCF Ratio,14.68,17.07,15.82,14.39,11.61,12.33,11.03,13.66,14.66,15.50,15.79,15.76,18.41,21.32,23.68,23.23,24.73,17.78,20.54,16.39,20.98,20.88,18.23,21.95,14.92,15.63,17.70,19.22,18.56,20.74,21.28,27.48,29.12,25.45,28.72,32.17,26.23,24.69,19.96,18.74,19.68
P/OCF Ratio,12.95,14.73,13.75,12.15,10.13,10.66,9.27,11.38,11.95,12.86,13.18,13.49,15.45,17.35,19.13,18.83,19.64,13.94,16.34,13.00,16.83,16.99,15.02,17.71,12.16,13.12,14.88,16.47,16.33,18.15,18.55,23.43,23.49,19.85,21.07,23.59,20.74,19.86,16.84,16.10,16.90
Debt / Equity Ratio,0.71,0.68,0.69,0.82,0.79,0.73,0.75,0.76,0.82,0.79,0.83,0.95,0.92,0.87,0.81,0.81,0.78,1.15,1.19,1.14,1.16,1.12,1.02,1.01,1.16,1.13,0.97,0.92,0.88,0.83,0.79,0.75,0.71,0.76,0.91,0.86,0.78,0.73,0.65,0.68,0.68
Quick Ratio,1.40,1.50,1.47,0.92,0.94,1.08,1.11,1.08,0.86,0.87,0.91,0.83,0.74,0.77,0.82,0.90,0.86,0.84,0.79,0.89,0.78,0.82,0.88,0.92,0.83,0.85,0.92,0.95,1.00,1.02,1.04,0.77,0.77,0.80,0.62,0.68,0.69,0.76,0.84,0.76,0.76
