,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net Income,480.25,502.14,529.35,636,857,"1,034",818,"1,403","1,505","1,733"
Depreciation & Amortization,64.16,68.32,72.38,84,99,112,119,134,145,165
Share-Based Compensation,62.17,71.49,76.43,109,99,112,120,132,192,237
Other Operating Activities,-99,256.75,"-1,251.48",-954,-171,-681,"3,016","4,978","-1,774","-5,655"
Operating Cash Flow,507.59,898.69,-573.32,-125,884,577,"4,073","6,647",72,"-3,514"
Operating Cash Flow Growth,-23.07%,77.05%,-,-,-,-34.73%,605.89%,63.20%,-98.92%,-
Capital Expenditures,-60.15,-74.11,-121.73,-190,-134,-138,-124,-74,-91,-173
Acquisitions,-2.01,-15.82,-175.28,0,-159,-5,-5,-266,"1,461",0
Change in Investments,"-2,034.32","-2,069.77","-2,558.87","-3,261","-3,209","-1,753","-4,797","-4,781","-8,428",-32
Other Investing Activities,-0.29,-16.9,-62.02,75,26,-1,-59,-19,-93,-69
Investing Cash Flow,"-2,096.76","-2,176.61","-2,917.9","-3,376","-3,476","-1,897","-4,985","-5,140","-7,151",-274
Dividends Paid,-88.1,-103.14,-113.44,-127,-151,-191,-205,-218,-277,-355
Share Issuance / Repurchase,-8.43,-88.54,-162.5,-34,-62,-778,-291,-150,-216,-862
Debt Issued / Paid,545.14,6.35,697.81,"1,376",-615,-5,489,706,58,-191
Other Financing Activities,775.35,"1,915","2,119","2,850","2,248","2,347","4,581","4,894","6,314","2,846"
Financing Cash Flow,"1,224","1,730","2,540","4,065","1,420","1,373","4,574","5,232","5,879","1,438"
Exchange Rate Effect,-32.34,-50.18,0.19,47,-33,-23,1,76,-590,239
Net Cash Flow,-397.55,401.94,-950.55,611,"-1,205",30,"3,663","6,815","-1,790","-2,111"
Free Cash Flow,447.44,824.58,-695.05,-315,750,439,"3,949","6,573",-19,"-3,687"
Free Cash Flow Growth,-23.77%,84.29%,-,-,-,-41.47%,799.54%,66.45%,-,-
Free Cash Flow Margin,9.20%,15.85%,-12.86%,-4.94%,10.31%,5.67%,49.42%,67.35%,-0.17%,-31.73%
Free Cash Flow Per Share,2.13,3.86,-3.27,-1.47,3.44,2.08,19.13,31.95,-0.09,-17.41
