,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"7,569","7,146","8,247","12,159","13,429","11,449","9,980","18,990","21,328","20,974","24,768"
Market Cap Growth,29.89%,-5.59%,15.41%,47.43%,10.44%,-14.74%,-12.83%,90.29%,12.31%,-1.66%,-
Enterprise Value,"7,504","6,744","9,400","8,519","10,358","8,691","7,773","3,613","10,464","11,902","14,485"
PE Ratio,15.76,14.23,15.58,19.12,15.67,11.07,12.20,13.54,14.17,12.10,14.85
PS Ratio,1.56,1.37,1.53,1.91,1.85,1.48,1.25,1.95,1.94,1.81,2.09
PB Ratio,1.83,1.58,1.68,2.18,2.11,1.74,1.40,2.30,2.26,2.05,2.30
P/FCF Ratio,16.92,8.67,-11.87,-38.60,17.91,26.08,2.53,2.89,-1122.52,-5.69,-750.31
P/OCF Ratio,14.91,7.95,-14.39,-97.27,15.19,19.84,2.45,2.86,296.22,-5.97,150.11
EV/Sales Ratio,1.54,1.30,1.74,1.34,1.42,1.12,0.97,0.37,0.95,1.02,1.22
EV/EBITDA Ratio,9.24,7.78,10.77,8.44,7.35,5.84,6.64,1.88,4.83,4.87,5.97
EV/EBIT Ratio,10.03,8.45,11.74,9.21,7.90,6.32,7.39,2.02,5.17,5.22,6.41
EV/FCF Ratio,16.77,8.18,-13.52,-27.04,13.81,19.80,1.97,0.55,-550.73,-3.23,-418.60
Debt / Equity Ratio,0.52,0.49,0.57,0.63,0.45,0.49,0.45,0.38,0.40,0.34,0.34
Debt / EBITDA Ratio,2.63,2.54,3.21,3.47,2.04,2.16,2.72,1.65,1.75,1.42,1.51
Debt / FCF Ratio,4.77,2.67,-4.03,-11.13,3.83,7.32,0.81,0.48,-199.74,-0.94,-117.87
Asset Turnover,0.21,0.21,0.19,0.19,0.20,0.20,0.18,0.17,0.14,0.15,0.15
Return on Equity (ROE),12.10%,11.40%,11.20%,12.00%,14.20%,16.20%,11.80%,18.10%,16.60%,17.30%,16.80%
Return on Assets (ROA),2.10%,2.00%,1.80%,1.90%,2.30%,2.70%,1.80%,2.50%,2.00%,2.20%,2.20%
Return on Capital (ROIC),7.32%,7.62%,6.95%,7.35%,9.28%,10.56%,7.94%,12.96%,11.39%,12.70%,11.96%
Earnings Yield,6.34%,7.03%,6.42%,5.23%,6.38%,9.03%,8.20%,7.39%,7.06%,8.26%,6.96%
FCF Yield,5.91%,11.54%,-8.43%,-2.59%,5.58%,3.83%,39.57%,34.61%,-0.09%,-17.58%,-0.13%
Dividend Yield,1.20%,1.50%,1.40%,1.00%,1.20%,1.60%,2.00%,1.10%,1.40%,1.70%,1.52%
Payout Ratio,18.80%,20.50%,21.50%,19.90%,18.70%,18.60%,24.90%,15.30%,19.00%,20.60%,22.56%
Buyback Yield / Dilution,-2.17%,-1.64%,0.98%,-1.44%,-1.50%,3.23%,2.64%,-0.43%,-1.94%,-0.74%,2.99%
Total Shareholder Return,-0.97%,-0.14%,2.38%,-0.44%,-0.30%,4.83%,4.64%,0.67%,-0.54%,0.96%,4.51%
