,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"126,550","136,199","141,933","164,096","103,780","132,389","128,930","147,899","156,896","146,050","139,178"
Market Cap Growth,-9.35%,7.62%,4.21%,15.62%,-36.76%,27.57%,-2.61%,14.71%,6.08%,-6.91%,-
Enterprise Value,"154,323","161,262","166,761","189,988","128,946","156,573","153,186","171,209","196,812","190,899","184,027"
PE Ratio,16.89,19.82,20.37,27.19,13.12,18.43,16.00,16.24,17.34,18.69,17.86
PS Ratio,4.25,5.08,5.32,5.71,3.50,4.44,4.49,4.71,4.94,4.15,3.96
PB Ratio,-10.02,-10.28,-11.19,-13.58,-8.33,-11.44,-10.26,-14.63,-17.52,-13.01,-13.01
P/FCF Ratio,19.22,19.72,20.56,22.28,12.90,14.33,14.00,13.18,16.13,18.53,17.66
P/OCF Ratio,16.35,17.32,17.57,18.41,10.95,13.12,13.14,12.36,14.52,15.87,15.12
EV/Sales Ratio,5.18,6.02,6.25,6.61,4.35,5.25,5.34,5.45,6.20,5.43,5.23
EV/EBITDA Ratio,12.32,14.24,14.67,15.66,10.74,14.22,12.73,12.77,15.19,15.14,14.59
EV/EBIT Ratio,13.26,15.26,15.69,16.88,11.70,15.58,13.86,13.80,16.57,17.02,16.41
EV/FCF Ratio,23.43,23.35,24.15,25.80,16.03,16.95,16.63,15.26,20.24,24.22,23.34
Debt / Equity Ratio,-2.33,-2.15,-2.29,-2.84,-2.55,-2.68,-2.51,-2.75,-4.81,-4.27,-4.27
Debt / EBITDA Ratio,2.35,2.52,2.56,2.83,2.64,2.82,2.62,2.07,3.33,3.80,3.80
Debt / FCF Ratio,4.47,4.12,4.21,4.66,3.95,3.36,3.42,2.48,4.43,6.08,6.08
Quick Ratio,0.38,0.40,0.47,0.76,0.59,0.56,0.56,0.44,0.29,0.28,0.28
Current Ratio,1.02,1.03,1.07,1.35,1.13,1.09,1.10,0.92,0.72,0.75,0.75
Asset Turnover,0.83,0.81,0.75,0.72,0.73,0.74,0.72,0.77,0.69,0.56,0.56
Interest Coverage,11.07,10.49,11.93,12.32,16.57,17.63,17.88,19.76,20.20,10.57,10.57
Return on Equity (ROE),-73.70%,-51.30%,-55.60%,-50.40%,-65.30%,-62.80%,-65.00%,-84.10%,-97.20%,-79.60%,-79.60%
Return on Assets (ROA),21.00%,20.80%,19.60%,15.10%,19.40%,17.70%,20.10%,22.30%,19.60%,12.40%,12.40%
Return on Capital (ROIC),49.21%,50.12%,47.64%,30.37%,45.03%,41.01%,47.50%,56.68%,28.72%,24.24%,24.24%
Earnings Yield,5.92%,5.05%,4.91%,3.68%,7.62%,5.43%,6.25%,6.16%,5.77%,5.35%,5.61%
FCF Yield,5.20%,5.07%,4.86%,4.49%,7.75%,6.98%,7.14%,7.59%,6.20%,5.40%,5.66%
Dividend Yield,4.80%,4.60%,4.50%,4.00%,6.70%,5.40%,5.70%,5.20%,5.00%,5.50%,5.80%
Payout Ratio,81.50%,91.40%,92.00%,108.80%,88.40%,100.20%,91.90%,84.00%,86.60%,102.40%,103.59%
Buyback Yield / Dilution,3.02%,0.28%,-0.13%,-0.12%,-0.09%,-0.09%,-0.09%,0.03%,0.43%,-0.14%,-0.14%
Total Shareholder Return,7.82%,4.88%,4.37%,3.88%,6.61%,5.31%,5.61%,5.23%,5.43%,5.36%,5.66%
