,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"3,914","5,274","6,794","17,221","15,893","15,540","21,985","44,172","37,081","73,267","81,430"
Market Cap Growth,-,34.73%,28.82%,153.47%,-7.71%,-2.22%,41.48%,100.92%,-16.05%,97.59%,-
Enterprise Value,"3,508","4,628","5,966","15,723","13,972","12,898","19,184","40,820","34,058","68,259","76,422"
PE Ratio,56.82,44.28,37.13,40.77,48.46,18.08,34.65,52.53,27.42,35.10,39.78
PS Ratio,6.70,6.30,6.02,10.46,7.39,6.45,9.49,14.98,8.46,12.50,13.90
PB Ratio,7.05,6.69,6.13,10.36,7.42,5.37,6.62,11.10,7.59,10.15,11.28
P/FCF Ratio,32.97,24.22,44.44,27.94,33.16,16.40,30.55,46.44,82.74,36.64,40.72
P/OCF Ratio,29.68,22.18,38.98,27.26,31.59,16.14,29.91,43.48,75.24,36.02,40.03
EV/Sales Ratio,6.01,5.53,5.28,9.55,6.49,5.35,8.28,13.85,7.77,11.65,13.04
EV/EBITDA Ratio,29.27,28.77,22.61,31.79,44.18,14.16,24.25,40.89,20.48,27.19,30.44
EV/EBIT Ratio,31.94,31.45,24.44,33.17,48.41,14.97,25.96,43.85,21.53,28.18,31.55
EV/FCF Ratio,29.54,21.25,39.02,25.51,29.15,13.62,26.66,42.92,75.99,34.14,38.22
Debt / Equity Ratio,0.08,0.05,0.04,0.02,0.02,0.03,0.02,0.01,-,-,-
Debt / EBITDA Ratio,0.36,0.26,0.15,0.08,0.11,0.09,0.09,0.06,-,-,-
Debt / FCF Ratio,0.36,0.19,0.26,0.06,0.07,0.09,0.10,0.06,-,-,-
Quick Ratio,3.78,3.54,2.44,3.36,3.77,5.22,4.25,3.54,3.05,3.16,3.16
Current Ratio,4.71,4.15,3.32,4.28,4.48,5.81,5.00,4.34,4.29,4.39,4.39
Asset Turnover,0.93,0.82,0.78,0.74,0.76,0.66,0.53,0.55,0.71,0.68,0.68
Interest Coverage,17.49,46.69,77.85,-,-,-,-,-,-,-,-
Return on Equity (ROE),17.20%,17.10%,18.80%,29.30%,17.10%,32.80%,20.70%,22.40%,31.00%,33.50%,33.50%
Return on Assets (ROA),10.90%,11.60%,12.60%,19.10%,11.60%,23.60%,14.40%,15.80%,21.80%,24.00%,24.00%
Return on Capital (ROIC),13.96%,14.89%,16.11%,24.66%,14.25%,26.98%,17.71%,20.70%,26.72%,26.95%,26.95%
Earnings Yield,1.76%,2.26%,2.69%,2.45%,2.06%,5.53%,2.89%,1.90%,3.65%,2.85%,2.56%
FCF Yield,3.03%,4.13%,2.25%,3.58%,3.02%,6.10%,3.27%,2.15%,1.21%,2.73%,2.46%
Buyback Yield / Dilution,-81.66%,-30.81%,-2.54%,-7.86%,-2.36%,-0.04%,1.75%,-0.43%,0.87%,-0.21%,-0.21%
Total Shareholder Return,-81.66%,-30.81%,-2.54%,-7.86%,-2.36%,-0.04%,1.75%,-0.43%,0.87%,-0.21%,-0.21%
