,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"42,513","41,250","36,553","44,746","48,752","33,680","37,683","30,916","40,915","36,601","38,728"
Market Cap Growth,72.55%,-2.97%,-11.39%,22.41%,8.95%,-30.91%,11.89%,-17.96%,32.34%,-10.54%,-
Enterprise Value,"68,496","65,467","56,230","59,549","62,732","49,061","52,890","49,057","57,830","46,996","47,666"
PE Ratio,-63.74,29.87,6.48,10.24,6.20,8.27,9.00,-82.66,5.30,-25.45,68.77
PS Ratio,1.02,0.76,0.64,0.76,0.82,0.54,0.58,0.54,0.58,0.61,0.74
PB Ratio,1.21,0.99,0.87,0.98,0.90,0.69,0.60,0.46,0.66,1.20,1.50
P/FCF Ratio,5.03,2.13,2.62,3.01,3.62,1.55,1.92,3.69,4.17,7.10,8.09
P/OCF Ratio,5.03,2.13,2.62,3.01,3.62,1.55,1.92,3.69,4.17,7.10,8.09
EV/Sales Ratio,1.65,1.21,0.98,1.01,1.05,0.78,0.82,0.86,0.82,0.78,0.91
EV/EBITDA Ratio,-52.13,27.73,7.18,9.89,9.44,9.70,9.46,24528.36,6.02,-27.91,62.23
EV/EBIT Ratio,-39.71,37.84,7.29,10.44,9.76,10.02,10.30,-107.82,6.15,-25.99,67.80
EV/FCF Ratio,8.11,3.38,4.03,4.00,4.66,2.26,2.70,5.86,5.89,9.11,9.96
Debt / Equity Ratio,1.06,0.94,0.89,0.63,0.52,0.63,0.50,0.47,0.48,0.90,1.00
Debt / EBITDA Ratio,-28.48,16.58,4.76,4.80,4.28,6.08,5.64,15921.00,3.10,-16.42,33.72
Debt / FCF Ratio,4.43,2.02,2.67,1.94,2.12,1.42,1.61,3.81,3.04,5.36,5.40
Asset Turnover,0.06,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.08,0.08,0.08
Return on Equity (ROE),-1.80%,3.40%,13.20%,8.50%,15.70%,8.30%,6.80%,-0.60%,12.60%,-4.80%,2.10%
Return on Assets (ROA),-0.10%,0.20%,0.70%,0.60%,1.00%,0.50%,0.50%,0.00%,0.80%,-0.20%,0.10%
Return on Capital (ROIC),-2.32%,1.74%,7.18%,5.84%,9.60%,5.07%,4.38%,-0.33%,8.41%,-3.05%,1.18%
Earnings Yield,-1.57%,3.35%,15.44%,9.76%,16.13%,12.10%,11.11%,-1.21%,18.88%,-3.93%,1.58%
FCF Yield,19.86%,47.02%,38.14%,33.25%,27.61%,64.32%,52.08%,27.07%,23.98%,14.09%,12.36%
Dividend Yield,1.90%,2.40%,3.00%,2.70%,2.60%,4.40%,4.30%,5.60%,4.20%,4.80%,4.85%
Payout Ratio,-111.60%,66.80%,19.70%,28.40%,16.50%,37.30%,39.10%,-440.00%,23.40%,-122.10%,333.33%
Buyback Yield / Dilution,0.22%,1.08%,1.54%,4.23%,1.40%,2.59%,2.66%,1.49%,4.55%,2.65%,2.42%
Total Shareholder Return,2.12%,3.48%,4.54%,6.93%,4.00%,6.99%,6.96%,7.09%,8.75%,7.45%,7.27%
