,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,"41,461","54,105","57,119","58,779","59,689","62,992","64,807","57,033","70,934","60,050"
Revenue Growth (YoY),-51.13%,30.50%,5.57%,2.91%,1.55%,5.53%,2.88%,-12.00%,24.37%,-15.34%
Cost of Revenue,"31,894","38,566","36,318","39,418","39,707","43,936","43,974","41,222","44,814","46,001"
Gross Profit,"9,567","15,539","20,801","19,361","19,982","19,056","20,833","15,811","26,120","14,049"
"Selling, General & Admin","11,251","13,780","13,032","13,656","13,495","14,222","15,748","16,134","15,679","14,922"
Other Operating Expenses,0,0,0,0,0,0,0,0,"1,060",903
Operating Expenses,"11,251","13,780","13,032","13,656","13,495","14,222","15,748","16,134","16,739","15,825"
Operating Income,"-1,684","1,759","7,769","5,705","6,487","4,834","5,085",-323,"9,381","-1,776"
Other Expense / Income,41,29,55,2,62,-62,-48,132,-17,32
Pretax Income,"-1,725","1,730","7,714","5,703","6,425","4,896","5,133",-455,"9,398","-1,808"
Income Tax,"-1,058",349,"2,072","1,335","-1,438",822,947,-81,"1,674",-370
Net Income,-667,"1,381","5,642","4,368","7,863","4,074","4,186",-374,"7,724","-1,438"
Net Income Growth,-,-,308.54%,-22.58%,80.01%,-48.19%,2.75%,-,-,-
Shares Outstanding (Basic),461,456,449,430,424,413,402,396,378,368
Shares Change,-0.22%,-1.08%,-1.54%,-4.23%,-1.40%,-2.59%,-2.66%,-1.49%,-4.55%,-2.65%
EPS (Basic),-1.55,3.25,12.37,9.85,18.19,9.64,10.23,-1.00,19.65,-3.93
EPS (Diluted),-1.55,3.23,12.17,9.71,17.86,9.50,10.11,-1.00,19.51,-3.93
EPS Growth,-,-,276.78%,-20.21%,83.93%,-46.81%,6.42%,-,-,-
Free Cash Flow,"8,445","19,396","13,942","14,876","13,460","21,664","19,625","8,368","9,812","5,158"
Free Cash Flow Per Share,18.32,42.53,31.05,34.59,31.75,52.45,48.82,21.13,25.96,14.02
Dividend Per Share,1.730,2.170,2.440,2.800,3.000,3.600,4.000,4.400,4.600,4.800
Dividend Growth,8.12%,25.43%,12.44%,14.75%,7.14%,20.00%,11.11%,10.00%,4.55%,4.35%
Gross Margin,23.07%,28.72%,36.42%,32.94%,33.48%,30.25%,32.15%,27.72%,36.82%,23.40%
Operating Margin,-4.06%,3.25%,13.60%,9.71%,10.87%,7.67%,7.85%,-0.57%,13.22%,-2.96%
Profit Margin,-1.61%,2.55%,9.88%,7.43%,13.17%,6.47%,6.46%,-0.66%,10.89%,-2.39%
Free Cash Flow Margin,20.37%,35.85%,24.41%,25.31%,22.55%,34.39%,30.28%,14.67%,13.83%,8.59%
Effective Tax Rate,-,20.17%,26.86%,23.41%,-22.38%,16.79%,18.45%,-,17.81%,-
EBITDA,"-1,314","2,361","7,827","6,021","6,647","5,057","5,593",2,"9,602","-1,684"
EBITDA Margin,-3.17%,4.36%,13.70%,10.24%,11.14%,8.03%,8.63%,0.00%,13.54%,-2.80%
Depreciation & Amortization,411,631,113,318,222,161,460,457,204,124
EBIT,"-1,725","1,730","7,714","5,703","6,425","4,896","5,133",-455,"9,398","-1,808"
EBIT Margin,-4.16%,3.20%,13.51%,9.70%,10.76%,7.77%,7.92%,-0.80%,13.25%,-3.01%
