,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"5,855","7,866","9,844","9,749","10,314","10,634","13,686","11,317","18,548","12,608","11,868"
Market Cap Growth,-1.57%,34.35%,25.15%,-0.96%,5.79%,3.10%,28.70%,-17.31%,63.90%,-32.02%,-
Enterprise Value,"9,325","11,394","13,387","13,129","13,964","13,973","18,558","16,465","24,125","18,255","17,775"
PE Ratio,142.49,52.23,29.24,33.73,87.52,53.37,75.67,188.50,127.23,152.81,26.14
PS Ratio,7.72,9.62,11.00,10.16,10.36,10.16,11.88,9.12,14.37,8.31,7.35
PB Ratio,2.08,2.88,3.40,3.15,3.65,3.66,4.08,3.50,5.39,3.08,2.86
P/FCF Ratio,-57.39,180.27,-1448.49,98.38,217.29,36.26,-14.41,-114.47,-20.05,280.89,34.82
P/OCF Ratio,17.22,19.80,21.46,18.17,19.88,18.97,21.70,18.73,27.94,15.37,14.28
EV/Sales Ratio,12.29,13.93,14.96,13.68,14.02,13.35,16.11,13.27,18.69,12.03,11.01
EV/EBITDA Ratio,18.22,17.98,15.94,15.39,20.34,18.06,21.39,18.54,25.19,19.78,13.44
EV/EBIT Ratio,57.00,42.25,29.21,30.72,55.85,41.34,51.59,61.09,71.43,75.07,28.04
EV/FCF Ratio,-91.41,261.12,-1969.86,132.48,294.19,47.65,-19.54,-166.54,-26.08,406.68,52.15
Debt / Equity Ratio,1.25,1.30,1.23,1.10,1.30,1.22,1.46,1.60,1.63,1.39,1.43
Debt / EBITDA Ratio,6.88,5.63,4.25,3.99,5.35,4.59,5.65,5.82,5.85,6.15,4.49
Debt / FCF Ratio,-34.54,81.71,-525.43,34.33,77.35,12.10,-5.17,-52.31,-6.06,126.46,17.43
Asset Turnover,0.11,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.14
Interest Coverage,1.30,2.07,3.76,3.47,1.94,2.52,2.10,1.33,1.81,1.56,3.59
Return on Equity (ROE),1.40%,5.50%,11.80%,9.70%,4.10%,7.20%,5.80%,1.80%,4.70%,2.20%,11.10%
Return on Assets (ROA),0.60%,2.20%,4.70%,3.80%,1.50%,2.60%,2.10%,0.60%,1.40%,0.80%,4.10%
Return on Capital (ROIC),2.20%,2.23%,2.49%,5.94%,3.51%,5.48%,2.62%,2.85%,2.93%,2.56%,6.23%
Earnings Yield,0.70%,1.91%,3.42%,2.96%,1.14%,1.87%,1.32%,0.53%,0.79%,0.65%,3.80%
FCF Yield,-1.74%,0.55%,-0.07%,1.02%,0.46%,2.76%,-6.94%,-0.87%,-4.99%,0.36%,2.87%
Dividend Yield,4.00%,3.30%,2.90%,3.20%,3.20%,3.20%,2.90%,3.70%,2.40%,3.90%,4.66%
Payout Ratio,587.50%,170.00%,84.20%,106.70%,278.40%,172.70%,214.30%,711.50%,295.30%,578.10%,121.74%
Buyback Yield / Dilution,-4.65%,-1.39%,-4.07%,-1.35%,-0.57%,-0.24%,-6.13%,-3.12%,-2.30%,-6.96%,-1.08%
Total Shareholder Return,-0.65%,1.91%,-1.17%,1.85%,2.63%,2.96%,-3.23%,0.58%,0.10%,-3.06%,3.58%
