,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"5,505","8,492","11,540","16,892","13,386","17,281","15,314","15,761","19,420","25,729","25,839"
Market Cap Growth,-11.50%,54.26%,35.89%,46.38%,-20.76%,29.10%,-11.38%,2.92%,23.21%,32.49%,-
Enterprise Value,"5,086","7,953","11,065","16,477","12,989","16,872","16,750","16,612","20,835","26,894","27,817"
PE Ratio,27.14,33.03,36.06,41.23,24.11,26.24,21.69,89.64,19.70,20.71,21.60
PS Ratio,2.06,2.62,2.94,3.48,2.28,2.57,2.07,2.56,2.25,2.52,2.37
PB Ratio,5.49,6.81,8.00,10.90,7.55,9.49,8.05,7.88,12.65,13.13,12.74
P/FCF Ratio,54.13,57.57,150.45,64.74,39.53,27.14,19.08,23.94,21.89,21.99,30.50
P/OCF Ratio,16.80,21.41,30.70,26.63,17.18,18.07,13.91,19.45,18.33,17.36,20.40
EV/Sales Ratio,1.90,2.45,2.82,3.39,2.21,2.51,2.26,2.70,2.41,2.63,2.56
EV/EBITDA Ratio,11.72,14.64,16.45,19.03,12.49,14.88,11.35,20.70,11.31,12.33,12.86
EV/EBIT Ratio,15.52,19.34,21.80,25.13,16.51,19.75,18.59,70.15,16.06,16.41,17.27
EV/FCF Ratio,50.01,53.91,144.24,63.15,38.35,26.50,20.87,25.23,23.49,22.99,32.83
Debt / Equity Ratio,-,-,-,-,-,-,1.02,0.95,1.20,0.97,1.04
Debt / EBITDA Ratio,-,-,-,-,-,-,1.31,2.36,1.00,0.87,0.97
Debt / FCF Ratio,-,-,-,-,-,-,2.41,2.88,2.08,1.63,2.48
Quick Ratio,1.75,1.65,1.36,0.95,0.77,0.66,0.56,0.92,0.43,0.56,0.18
Current Ratio,3.76,3.51,3.47,2.90,2.64,2.33,1.81,1.87,1.46,1.61,1.52
Asset Turnover,1.82,1.76,1.81,2.02,2.11,2.13,1.54,1.17,1.72,1.98,2.02
Interest Coverage,-,-,-,-,-,-,-,41.29,780.21,-,-
Return on Equity (ROE),22.60%,22.30%,23.40%,28.70%,33.30%,36.30%,37.50%,9.50%,54.40%,67.20%,61.40%
Return on Assets (ROA),13.80%,13.90%,14.80%,17.00%,19.90%,20.90%,14.70%,3.40%,19.60%,24.10%,22.90%
Return on Capital (ROIC),20.22%,20.57%,22.13%,26.40%,31.23%,35.97%,18.28%,4.62%,29.19%,32.07%,29.63%
Earnings Yield,3.68%,3.03%,2.77%,2.43%,4.15%,3.81%,4.61%,1.12%,5.08%,4.83%,4.79%
FCF Yield,1.85%,1.74%,0.66%,1.54%,2.53%,3.68%,5.24%,4.18%,4.57%,4.55%,3.28%
Buyback Yield / Dilution,-0.10%,-0.29%,0.58%,2.22%,1.39%,2.89%,3.45%,2.66%,3.04%,5.66%,4.26%
Total Shareholder Return,-0.10%,-0.29%,0.58%,2.22%,1.39%,2.89%,3.45%,2.66%,3.04%,5.66%,4.26%
