,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"38,249","28,681","22,223","27,338","23,611","16,364","15,727","22,999","19,539","10,958","7,328"
Market Cap Growth,58.21%,-25.01%,-22.52%,23.01%,-13.63%,-30.69%,-3.89%,46.23%,-15.04%,-43.92%,-
Enterprise Value,"44,316","35,365","30,354","36,115","33,488","34,621","35,519","41,331","32,579","25,347","22,496"
PE Ratio,20.36,9.69,15.73,21.68,10.17,4.74,4.75,9.50,4.30,9.93,-7.63
PS Ratio,2.73,2.29,1.75,2.08,0.89,0.62,0.58,0.91,0.68,0.36,0.24
PB Ratio,3.84,4.12,4.00,7.41,11.94,1.57,1.19,1.50,0.87,0.48,0.34
P/FCF Ratio,23.03,26.15,18.17,18.36,11.33,5.25,17.77,11.67,32.62,-78.83,-20.05
P/OCF Ratio,20.42,22.50,15.94,16.22,9.68,4.72,12.79,10.03,20.50,50.04,-110.52
EV/Sales Ratio,3.16,2.82,2.40,2.74,1.26,1.31,1.32,1.63,1.14,0.84,0.75
EV/EBITDA Ratio,12.95,8.36,11.18,14.30,7.19,6.30,7.59,9.36,4.96,9.50,-110.64
EV/EBIT Ratio,14.15,8.88,12.23,15.70,7.95,6.84,8.38,10.36,5.28,11.21,-36.48
EV/FCF Ratio,26.68,32.24,24.82,24.25,16.08,11.10,40.13,20.98,54.39,-182.35,-56.25
Debt / Equity Ratio,0.65,1.02,1.52,2.54,5.14,1.83,1.55,1.39,0.86,0.75,0.78
Debt / EBITDA Ratio,1.88,1.68,3.11,3.71,2.18,3.48,4.37,4.82,2.94,6.48,-79.68
Debt / FCF Ratio,3.87,6.48,6.91,6.30,4.88,6.13,23.08,10.82,32.23,-124.27,-40.51
Quick Ratio,0.86,0.96,1.04,1.06,1.00,0.97,0.83,1.21,1.40,0.92,0.87
Current Ratio,1.28,1.36,1.61,1.64,1.58,1.43,1.32,1.66,1.76,1.23,1.26
Asset Turnover,0.54,0.50,0.53,0.56,1.17,0.99,0.89,0.50,0.51,0.52,0.54
Interest Coverage,8.35,10.97,6.33,5.60,3.87,4.92,4.41,3.87,6.26,2.43,-0.70
Return on Equity (ROE),19.50%,37.00%,23.70%,25.30%,88.60%,80.80%,48.40%,16.90%,22.10%,4.80%,-5.00%
Return on Assets (ROA),7.20%,11.90%,5.90%,5.30%,10.30%,13.00%,10.80%,4.70%,8.10%,1.90%,-2.00%
Return on Capital (ROIC),12.60%,14.87%,12.71%,13.33%,29.82%,14.40%,12.10%,8.54%,8.14%,4.45%,-2.20%
Earnings Yield,4.91%,10.32%,6.36%,4.61%,9.83%,21.11%,21.03%,10.53%,23.25%,10.07%,-15.02%
FCF Yield,4.34%,3.82%,5.50%,5.45%,8.82%,19.06%,5.63%,8.57%,3.07%,-1.27%,-5.72%
Dividend Yield,0.80%,1.00%,1.30%,1.00%,1.20%,1.60%,1.90%,2.60%,3.20%,5.70%,1.67%
Payout Ratio,15.50%,10.00%,20.50%,23.20%,19.80%,12.90%,14.50%,24.40%,13.70%,59.60%,-32.60%
Buyback Yield / Dilution,5.56%,13.63%,9.02%,8.87%,6.87%,6.47%,-0.12%,-64.72%,-4.89%,-0.27%,-0.30%
Total Shareholder Return,6.36%,14.63%,10.32%,9.87%,8.07%,8.07%,1.78%,-62.12%,-1.69%,5.43%,1.36%
